date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,8.76,15.18,12.92,10.32,13.6,1.746,307
2019-12-10T00:00:00.000Z,7.12,21.42,15.86,12.73,17.13,3.747,408
2019-12-11T00:00:00.000Z,1.37,19.54,6.48,3.48,13.84,5.024,420
2019-12-12T00:00:00.000Z,6.33,16.96,13.05,11.22,14.27,2.317,480
2019-12-13T00:00:00.000Z,6.04,18.25,9.25,8.53,10.11,2.547,548
2019-12-14T00:00:00.000Z,6.65,14.57,9.26,8.3,10,1.461,387
2019-12-15T00:00:00.000Z,2.68,15.3,8.91,7.11,11.1,3.131,554
2019-12-16T00:00:00.000Z,3.7,10.72,6.78,6.2,7.76,1.662,278
2019-12-17T00:00:00.000Z,0.86,10.99,6.01,4.7,9.14,2.854,281
2019-12-18T00:00:00.000Z,5.48,25.41,12.21,10.09,17.25,4.915,452
2019-12-19T00:00:00.000Z,0.15,10.28,0.66,0.52,0.82,1.744,532
2019-12-20T00:00:00.000Z,0.6,12.39,3.25,1.63,5.2,2.106,566
2019-12-21T00:00:00.000Z,2.46,24.35,5.07,3.98,10.66,5.951,554
2019-12-22T00:00:00.000Z,14.26,29.52,22.36,20.07,24.18,2.915,561
2019-12-23T00:00:00.000Z,12.12,27.68,19.69,15.29,22.92,4.276,568
2019-12-24T00:00:00.000Z,10.3,31.56,16.3,14.07,18.89,4.479,571
2019-12-25T00:00:00.000Z,9.57,17.92,13.89,12.86,14.76,1.598,567
2019-12-26T00:00:00.000Z,10.62,21.7,14.82,13.42,17.11,2.36,572
2019-12-27T00:00:00.000Z,3.34,20.92,10.86,7.56,17.12,5.094,569
2019-12-28T00:00:00.000Z,2.58,15.24,4.83,3.52,6.14,3.229,566
2019-12-29T00:00:00.000Z,2.82,18.8,6.76,4.76,8.67,3.08,568
2019-12-30T00:00:00.000Z,1.54,7.95,4.65,2.23,5.99,1.891,565
2019-12-31T00:00:00.000Z,2.27,19.64,5.74,3.8,6.82,2.874,559
2020-01-01T00:00:00.000Z,0.2,11.92,1.36,0.7,1.97,1.541,564
2020-01-02T00:00:00.000Z,1.41,3.94,2.2,1.9,2.64,0.469,551
2020-01-03T00:00:00.000Z,1.61,143.9,4.87,3.31,6.71,10.965,524
2020-01-04T00:00:00.000Z,3.87,18.64,11.4,9.16,14.8,3.527,542
2020-01-05T00:00:00.000Z,0.28,3.7,1.44,1.2,1.72,0.535,548
2020-01-06T00:00:00.000Z,0.6,2.97,1.23,0.96,1.75,0.547,514
2020-01-07T00:00:00.000Z,0.7,5.88,3.87,1.23,4.8,1.679,512
2020-01-08T00:00:00.000Z,2.68,10.55,4.79,4.11,6.65,1.694,494
2020-01-09T00:00:00.000Z,0.8,19.23,6.25,2.27,9.82,3.879,512
2020-01-10T00:00:00.000Z,0.5,9.1,2.49,1.79,6.02,2.596,417
2020-01-11T00:00:00.000Z,3.38,18.35,9.83,6.52,13.81,4.018,511
2020-01-12T00:00:00.000Z,1.1,8.07,3.47,2.52,5,1.705,545
2020-01-13T00:00:00.000Z,0.78,4.92,1.94,1.5,2.27,0.571,471
2020-01-14T00:00:00.000Z,0.52,5.14,2.02,1.15,2.58,0.786,432
2020-01-15T00:00:00.000Z,1.6,13.82,7.79,3.85,10.89,3.681,453
2020-01-16T00:00:00.000Z,10.76,19.28,15.81,14.89,16.96,1.718,466
2020-01-17T00:00:00.000Z,1.65,11.65,3.16,2.4,5.41,2.089,453
2020-01-18T00:00:00.000Z,1.34,10.56,6.62,4.21,8.72,2.73,487
2020-01-19T00:00:00.000Z,5.89,16.2,9.86,8.17,10.94,1.877,456
2020-01-20T00:00:00.000Z,0.85,6.78,1.76,1.23,3.32,1.743,354
2020-01-21T00:00:00.000Z,0.35,3.76,1.02,0.75,1.49,0.792,448
2020-01-22T00:00:00.000Z,0.5,0.95,0.77,0.63,0.83,0.126,17
2020-01-23T00:00:00.000Z,0.65,2.31,1.23,1.1,1.44,0.301,84
2020-01-24T00:00:00.000Z,0.59,5.78,1.9,1.04,3.15,1.267,267
2020-01-25T00:00:00.000Z,0.25,1.6,0.8,0.56,1.05,0.3,301
2020-01-26T00:00:00.000Z,0.2,6.26,0.85,0.6,1.35,0.724,309
2020-01-27T00:00:00.000Z,0.15,5.15,0.88,0.48,1.36,0.659,254
2020-01-28T00:00:00.000Z,1.1,20.5,4.01,1.97,11.56,5.93,270
2020-01-29T00:00:00.000Z,12.64,31.29,21.05,19.44,23.8,4.054,308
2020-01-30T00:00:00.000Z,2.81,13,6.68,5.22,10.16,2.715,287
2020-01-31T00:00:00.000Z,6.7,26.19,11,8.86,12.86,3.31,287
2020-02-01T00:00:00.000Z,7.36,27.2,14.54,11.51,20.07,5.11,319
2020-02-02T00:00:00.000Z,1.14,22.56,5.76,3.09,11.12,5.317,328
2020-02-03T00:00:00.000Z,0.3,7.4,1.48,1,2,0.979,314
2020-02-04T00:00:00.000Z,0.33,1.91,0.75,0.52,1.21,0.416,253
2020-02-05T00:00:00.000Z,0.6,3.03,1.25,1.01,1.57,0.37,230
2020-02-06T00:00:00.000Z,0.3,4.5,0.84,0.64,1.21,0.663,232
2020-02-07T00:00:00.000Z,0.36,1.58,0.77,0.66,0.91,0.195,217
2020-02-08T00:00:00.000Z,0.8,8.82,4.05,1.3,6.4,2.48,195
2020-02-09T00:00:00.000Z,2.17,6.26,3.92,3.08,4.54,0.863,352
2020-02-10T00:00:00.000Z,2,8.64,5.25,3.72,6.65,1.725,368
2020-02-11T00:00:00.000Z,2.29,9.14,5.36,4.84,5.98,1.426,359
