date,min,max,median,q1,q3,stdev,count
19.06.2020 00:00,6.35,22.35,10.16,9.15,11.49,2.365,196
20.06.2020 00:00,3.62,23.6,8.64,6.62,11.31,3.537,576
21.06.2020 00:00,1.95,14.27,4.55,3.75,5.7,1.672,527
22.06.2020 00:00,1.3,22.57,4.57,3.45,6.22,2.98,505
23.06.2020 00:00,2.9,24.33,7.03,5.45,9.07,2.685,550
24.06.2020 00:00,1.77,15.4,4.78,3.85,5.65,1.614,566
25.06.2020 00:00,2.15,17.1,6.93,4.93,8.97,2.653,541
26.06.2020 00:00,2.62,16.48,6.15,4.22,8.6,2.637,542
27.06.2020 00:00,3.1,14.65,6.36,5.25,8.36,1.961,508
28.06.2020 00:00,3.05,15.15,6.4,5.12,8.43,2.217,393
29.06.2020 00:00,0.93,9.15,2.8,2.08,3.7,1.257,447
30.06.2020 00:00,1.8,14.1,4.45,3.7,5.22,1.614,455
01.07.2020 00:00,1.42,16.98,4.59,3.34,6.06,2.496,436
02.07.2020 00:00,2.92,29.17,8.8,6,12.82,4.558,446
03.07.2020 00:00,2.27,35.92,7.19,4.87,12.54,6.008,472
04.07.2020 00:00,3.62,51.58,8.44,6.85,11.05,6.373,493
05.07.2020 00:00,3.2,23.5,7.82,5.9,12.75,4.869,467
06.07.2020 00:00,2.33,17.25,4.53,3.53,11.32,4.046,283
07.07.2020 00:00,3.28,46.53,7.87,6.05,9.8,4.416,424
08.07.2020 00:00,0.8,14.52,8.31,5.4,10.18,3.246,442
09.07.2020 00:00,1,11.88,3.12,2.13,4.25,1.58,449
10.07.2020 00:00,1.02,11.15,3.44,2.35,4.62,1.758,414
11.07.2020 00:00,2.4,15.8,5.14,4.07,7.05,2.258,334
12.07.2020 00:00,3.25,15.35,6.65,5.53,8.43,2.184,400
13.07.2020 00:00,4,19.02,7.92,6.44,10.19,2.767,384
14.07.2020 00:00,2.02,19.39,9.32,7.34,11.74,3.851,437
15.07.2020 00:00,1.7,22.37,4.96,4.22,6.62,4.183,350
16.07.2020 00:00,1.2,18.75,3.35,2.7,6.45,3.865,313
17.07.2020 00:00,1,20,4.09,2.4,6.05,2.911,483
18.07.2020 00:00,2.7,35.53,5.79,4.59,7.85,3.194,446
19.07.2020 00:00,1.83,13.65,6.28,4.93,8.32,2.323,147
20.07.2020 00:00,2.5,17.1,9.03,5.78,10.52,3.036,174
21.07.2020 00:00,4,14.5,6.72,5.59,8.77,2.048,272
22.07.2020 00:00,1.73,12.27,5.53,3.97,6.75,1.941,274
23.07.2020 00:00,0.85,19.07,3.24,2.25,4.93,3.206,300
24.07.2020 00:00,1.23,44.03,4.51,3.15,8.97,6.173,372
25.07.2020 00:00,9.4,31.98,16,13.12,18.67,4.939,77
26.07.2020 00:00,3.4,21.5,9.01,6.53,11.48,3.159,440
27.07.2020 00:00,3.75,29.9,13.15,10.35,19.64,5.618,279
28.07.2020 00:00,3.62,33.47,7.65,5.8,17.61,8.21,421
29.07.2020 00:00,3.95,15.48,8.1,6.8,9.4,2.056,331
30.07.2020 00:00,1.2,17.3,4.22,3.25,6.1,2.301,358
31.07.2020 00:00,1.12,18.2,3.67,2.83,5.49,3.02,360
01.08.2020 00:00,2.85,45,7,5.15,8.88,3.574,361
02.08.2020 00:00,3.97,18.77,8.85,6,11.23,2.979,327
03.08.2020 00:00,3.5,33.33,7.69,5.05,12.02,5.44,350
04.08.2020 00:00,4.45,19.48,9.15,6.5,11.72,3.295,409
05.08.2020 00:00,7.55,27.87,13.45,11.15,15.9,3.937,315
06.08.2020 00:00,4.2,18.67,6.82,5.72,8,2.919,338
07.08.2020 00:00,0.88,17.73,5.53,3.4,8.07,3.478,412
08.08.2020 00:00,1.55,20.1,6.53,3.99,9.57,3.849,376
09.08.2020 00:00,1.98,25.35,6.53,3.86,9.14,3.304,436
10.08.2020 00:00,2.2,22.55,6.71,4.07,11.25,4.998,430
11.08.2020 00:00,1.4,12.48,3.88,3.04,5.05,2.071,440
12.08.2020 00:00,1.4,13.57,3.62,2.9,4.53,1.283,426
13.08.2020 00:00,1.48,17.17,3.78,3,4.7,1.565,427
14.08.2020 00:00,1.4,18.45,5.65,4.07,9.3,3.822,389
15.08.2020 00:00,1.55,20.73,7.43,4.65,13.64,4.944,456
16.08.2020 00:00,3.9,32.85,8.19,5.93,11.88,5.482,470
17.08.2020 00:00,2.45,23.23,6.32,4.2,9.25,2.908,451
18.08.2020 00:00,1.12,27.42,4.26,2.67,9.64,5.888,200
19.08.2020 00:00,3.05,23.15,6.18,5,7.57,2.245,339
