date,min,max,median,q1,q3,stdev,count
2020-06-19T00:00:00.000Z,4.82,18.05,7.21,6.67,8.28,1.992,196
2020-06-20T00:00:00.000Z,2.9,16.27,6.62,4.8,8.34,3.035,576
2020-06-21T00:00:00.000Z,1.6,12.82,2.52,2.17,3.1,0.951,527
2020-06-22T00:00:00.000Z,1.2,9.83,2.7,2.1,3.67,1.546,505
2020-06-23T00:00:00.000Z,1.77,9.48,4,3.03,5.68,1.537,550
2020-06-24T00:00:00.000Z,1.4,7.47,2.91,2.17,3.4,0.902,566
2020-06-25T00:00:00.000Z,1.73,11.65,4.82,2.64,6.65,2.5,541
2020-06-26T00:00:00.000Z,2.29,13.07,5.09,3.33,7.22,2.146,542
2020-06-27T00:00:00.000Z,2.8,9.32,4.97,4.26,6.55,1.524,508
2020-06-28T00:00:00.000Z,2.02,9.98,4.84,3.97,6.67,1.856,393
2020-06-29T00:00:00.000Z,0.9,5.55,1.7,1.37,2.1,0.577,447
2020-06-30T00:00:00.000Z,1.5,11.8,2.4,2.15,2.8,1.029,455
2020-07-01T00:00:00.000Z,1.3,15.43,2.75,1.99,4.05,2.158,436
2020-07-02T00:00:00.000Z,2.1,22.52,6.86,3.42,10.75,4.404,446
2020-07-03T00:00:00.000Z,1.6,32.72,5.36,3.3,9.86,5.56,472
2020-07-04T00:00:00.000Z,3.15,46.97,7.43,5.8,9.97,5.806,493
2020-07-05T00:00:00.000Z,2.67,20.83,6.5,4.72,11.45,4.533,467
2020-07-06T00:00:00.000Z,1.87,14.45,3.2,2.4,9.57,3.745,283
2020-07-07T00:00:00.000Z,2.29,13.25,5.69,4.71,7.17,2.249,424
2020-07-08T00:00:00.000Z,0.8,12.5,5.75,3.95,6.93,2.654,442
2020-07-09T00:00:00.000Z,0.9,5.57,1.77,1.4,2.38,0.675,449
2020-07-10T00:00:00.000Z,1,3.85,1.73,1.4,2.54,0.695,414
2020-07-11T00:00:00.000Z,1.8,12.1,2.94,2.4,4.32,1.756,334
2020-07-12T00:00:00.000Z,2.2,10.7,4.68,3.65,5.85,1.544,400
2020-07-13T00:00:00.000Z,2.62,14.98,6.09,4.96,8.1,2.359,384
2020-07-14T00:00:00.000Z,1.8,17.32,8,6.19,9.75,3.5,437
2020-07-15T00:00:00.000Z,1.48,17.8,3.97,3.1,5.03,3.315,350
2020-07-16T00:00:00.000Z,1.1,16.85,2.04,1.7,4.75,3.723,313
2020-07-17T00:00:00.000Z,1,14.77,2.78,1.45,4.15,2.168,483
2020-07-18T00:00:00.000Z,1.95,16.37,3.69,2.97,5.32,2.27,446
2020-07-19T00:00:00.000Z,1.62,6.85,4.53,3.8,5.68,1.214,147
2020-07-20T00:00:00.000Z,1.8,11.45,7.26,4.2,8.1,2.149,174
2020-07-21T00:00:00.000Z,3.3,12.3,5.28,4.42,7.37,1.66,272
2020-07-22T00:00:00.000Z,1.33,11,3.3,2.29,5.12,1.63,274
2020-07-23T00:00:00.000Z,0.82,11.6,1.65,1.33,2.4,1.927,300
2020-07-24T00:00:00.000Z,1.05,35.45,2.17,1.6,5.56,4.536,372
2020-07-25T00:00:00.000Z,6.95,26.55,9.4,8.11,12.74,4.83,77
2020-07-26T00:00:00.000Z,2.33,10.38,5.54,3.55,6.78,1.95,440
2020-07-27T00:00:00.000Z,3.1,26.65,9.25,7.4,16.67,5.314,279
2020-07-28T00:00:00.000Z,2.67,29.83,5.09,3.62,15.64,7.241,421
2020-07-29T00:00:00.000Z,3.2,11.38,6.07,4.55,7.47,1.73,331
2020-07-30T00:00:00.000Z,1,13.38,2.08,1.65,4,2.148,358
2020-07-31T00:00:00.000Z,1,13.8,2,1.52,2.8,2.356,360
2020-08-01T00:00:00.000Z,1.65,33.28,4.72,3.6,5.98,2.449,361
2020-08-02T00:00:00.000Z,3.1,14.18,7.55,4.97,8.9,2.228,327
2020-08-03T00:00:00.000Z,2.7,17.7,5.19,3.83,7.97,2.735,350
2020-08-04T00:00:00.000Z,3.95,11.65,6.28,4.97,8.43,1.982,409
2020-08-05T00:00:00.000Z,6.28,19.25,10,8.8,11.45,2.448,315
2020-08-06T00:00:00.000Z,2.8,13.6,4.48,3.87,5.93,2.391,338
2020-08-07T00:00:00.000Z,0.88,11.32,2.94,1.8,4.79,1.989,412
2020-08-08T00:00:00.000Z,1.3,13.25,4.55,2.29,6.42,2.841,376
2020-08-09T00:00:00.000Z,1.52,17.6,5.24,2.59,7.19,2.634,436
2020-08-10T00:00:00.000Z,1.9,15.82,4.79,2.92,8.15,3.535,430
2020-08-11T00:00:00.000Z,1.23,9.02,2.04,1.7,2.5,1.694,440
2020-08-12T00:00:00.000Z,1.2,9.94,2.1,1.8,2.6,0.769,426
2020-08-13T00:00:00.000Z,1.2,15.6,2.08,1.7,2.78,1.06,427
2020-08-14T00:00:00.000Z,1.23,12.25,3.22,2.5,6.11,2.334,389
2020-08-15T00:00:00.000Z,1.45,15.43,5.64,3.25,9.82,3.672,456
2020-08-16T00:00:00.000Z,2.9,29.8,6.42,4.55,10.32,5.003,470
2020-08-17T00:00:00.000Z,1.85,16.62,3.6,2.58,5.62,2.656,451
2020-08-18T00:00:00.000Z,1,13.07,1.9,1.5,6.01,3.05,200
2020-08-19T00:00:00.000Z,1.98,18.5,3.55,2.75,4.2,1.483,339
2020-08-20T00:00:00.000Z,1.37,35.17,2.9,2,4.7,2.479,455
2020-08-21T00:00:00.000Z,1.3,14.8,3.88,2.1,8.48,3.41,434
2020-08-22T00:00:00.000Z,1.73,24.45,4.68,2.8,10.7,5.471,395
2020-08-23T00:00:00.000Z,2.5,30.17,5.3,3.4,6.85,7.285,403
2020-08-24T00:00:00.000Z,3.2,32.45,5.03,4.32,6.35,2.88,347
2020-08-25T00:00:00.000Z,1.7,33.58,5.47,3.17,11.3,6.057,389
2020-08-26T00:00:00.000Z,1.5,31.83,12.18,3.86,17.68,7.455,381
2020-08-27T00:00:00.000Z,1.6,33.47,4.69,2.7,5.87,4.295,456
2020-08-28T00:00:00.000Z,1.8,25.88,3.8,3.2,6.68,2.715,393
2020-08-29T00:00:00.000Z,1.95,41.97,3.2,2.72,8.99,8.328,417
2020-08-30T00:00:00.000Z,3.08,18.7,6.47,4.45,9.57,3.861,382
2020-08-31T00:00:00.000Z,2.65,8.35,3.78,3.47,4.43,0.754,381
2020-09-01T00:00:00.000Z,0.85,7.9,3,1.62,4.57,1.784,341
2020-09-02T00:00:00.000Z,1.1,4.05,1.95,1.6,2.78,0.681,442
2020-09-03T00:00:00.000Z,1.5,4.59,2.36,2.02,2.97,0.671,414
2020-09-04T00:00:00.000Z,2.8,7.3,4.87,4.05,5.45,0.903,360
2020-09-05T00:00:00.000Z,3.5,15.18,6.62,5.9,8.82,2.535,468
2020-09-06T00:00:00.000Z,3,16.37,7.5,4.98,10.5,3.361,464
2020-09-07T00:00:00.000Z,2.08,18.35,7.15,4.25,10.25,3.37,445
2020-09-08T00:00:00.000Z,0.9,15.68,3,1.51,5.07,1.975,361
2020-09-09T00:00:00.000Z,0.9,11.73,2.27,1.7,3.28,1.651,373
2020-09-10T00:00:00.000Z,1.1,16.37,3.46,2.78,5.75,3.019,338
2020-09-11T00:00:00.000Z,0.82,3.5,1.4,1.17,2.1,0.581,292
2020-09-12T00:00:00.000Z,1.1,11.77,2.37,1.66,4.82,2.011,288
2020-09-13T00:00:00.000Z,1.75,7.3,3.87,2.78,4.78,1.209,347
2020-09-14T00:00:00.000Z,1.8,4.57,2.67,2.47,2.92,0.397,280
2020-09-15T00:00:00.000Z,1.25,3.9,2.02,1.7,2.5,0.579,239
2020-09-16T00:00:00.000Z,3.62,10.93,4.97,4.55,5.68,1.255,34
2020-09-17T00:00:00.000Z,0.87,10.82,5.12,4.42,7.35,2.291,145
2020-09-18T00:00:00.000Z,0.77,4.57,1.3,1.1,1.7,0.524,320
2020-09-19T00:00:00.000Z,1.2,19.62,2.29,1.9,2.72,1.343,286
2020-09-20T00:00:00.000Z,1.02,5.95,1.95,1.7,2.33,0.695,227
2020-09-21T00:00:00.000Z,1.2,4.15,1.98,1.65,2.4,0.577,202
2020-09-22T00:00:00.000Z,1.6,6.1,3.05,2.35,3.67,0.877,319
2020-09-23T00:00:00.000Z,3.3,29.6,6.28,4.47,11.4,4.55,435
2020-09-24T00:00:00.000Z,3.62,25.77,10.1,5.75,13.89,4.436,441
2020-09-25T00:00:00.000Z,6.05,23.77,11.75,9.02,18.1,5.004,329
2020-09-26T00:00:00.000Z,3.37,14.77,6.8,5.72,8.32,2.015,263
2020-09-27T00:00:00.000Z,2.85,7,4.03,3.5,4.78,0.855,215
2020-09-28T00:00:00.000Z,3.5,9.3,5.4,4.68,6.21,1.087,253
2020-09-29T00:00:00.000Z,4.03,8.63,5.65,5.18,6.22,0.912,250
2020-09-30T00:00:00.000Z,2.87,9.15,5.45,4.68,6.3,1.216,374
2020-10-01T00:00:00.000Z,2.83,9.4,6.14,4.05,6.95,1.645,288
2020-10-02T00:00:00.000Z,5.07,18.07,8.24,7.04,9.5,3.209,252
2020-10-03T00:00:00.000Z,7.12,23.7,14.63,9.44,19.09,4.877,249
2020-10-04T00:00:00.000Z,4.7,24.92,12.39,7.15,14.63,5.804,302
2020-10-05T00:00:00.000Z,3.85,17.1,11.87,8.64,13.31,3.096,312
2020-10-06T00:00:00.000Z,4.05,13.75,6.57,5.53,9.98,2.427,325
2020-10-07T00:00:00.000Z,5.53,13.32,7.82,6.93,8.8,1.174,330
2020-10-08T00:00:00.000Z,4.62,14.3,7,6.43,8.93,2.131,314
2020-10-09T00:00:00.000Z,4.9,15.32,8.48,6.25,11.6,2.974,331
2020-10-10T00:00:00.000Z,6.5,19.17,10.73,8.05,14.2,3.227,387
2020-10-11T00:00:00.000Z,6.93,16.37,9.94,9.19,11.67,1.906,408
2020-10-12T00:00:00.000Z,9.38,40.78,17.63,13.32,21.03,5.113,312
2020-10-13T00:00:00.000Z,9.23,34.13,20.55,18.6,22.67,3.985,386
2020-10-14T00:00:00.000Z,11.5,31.55,22.6,15.7,27.08,5.794,391
2020-10-15T00:00:00.000Z,1.08,21.27,3.18,2.1,14.23,6.21,386
2020-10-16T00:00:00.000Z,1.1,7.18,2.71,2,3.58,0.998,378
2020-10-17T00:00:00.000Z,2.4,15.75,6.53,4.18,11.27,3.876,371
2020-10-18T00:00:00.000Z,0.65,19.45,3.42,1.9,4.9,4.073,386
2020-10-19T00:00:00.000Z,0.95,5,2.08,1.63,3.17,0.948,369
2020-10-20T00:00:00.000Z,0.98,3.5,1.8,1.55,2.08,0.416,394
2020-10-21T00:00:00.000Z,1.2,19.05,5.4,2.6,7.03,2.593,291
2020-10-22T00:00:00.000Z,6.68,46.38,19.88,12.45,28.05,8.955,369
2020-10-23T00:00:00.000Z,1.27,40.04,4.3,2.2,6.35,7.258,371
2020-10-24T00:00:00.000Z,1.08,14.65,2.72,1.8,4.23,2.378,374
2020-10-25T00:00:00.000Z,1.5,8.94,3,2.5,3.7,1.141,299
2020-10-26T00:00:00.000Z,2,7.15,3.9,3.45,4.48,0.895,149
2020-10-27T00:00:00.000Z,3.53,14.13,7.02,5.8,10.75,2.794,396
2020-10-28T00:00:00.000Z,4.47,13.05,9.16,7.67,10.38,2.019,240
2020-10-29T00:00:00.000Z,3.28,12.3,7.22,6.45,8.38,1.442,254
2020-10-30T00:00:00.000Z,4.34,13.68,8.26,6.55,9.73,2.025,422
2020-10-31T00:00:00.000Z,6.03,19.25,12.07,10.23,13.35,2.306,404
2020-11-01T00:00:00.000Z,2,9.55,4.03,3.32,4.84,1.412,405
2020-11-02T00:00:00.000Z,4.3,19.32,10.1,6.75,13.1,3.82,407
2020-11-03T00:00:00.000Z,10.19,30.3,18.14,15.47,21.35,4.598,396
2020-11-04T00:00:00.000Z,4.9,24.85,9.23,7.63,13.48,4.141,307
2020-11-05T00:00:00.000Z,1.85,12.2,3.03,2.45,4.88,2.247,298
2020-11-06T00:00:00.000Z,0.9,4.25,2.1,1.58,2.47,0.564,294
2020-11-07T00:00:00.000Z,1.3,3.72,2.22,1.9,2.65,0.512,355
2020-11-08T00:00:00.000Z,1,2.4,1.5,1.3,1.8,0.32,307
2020-11-09T00:00:00.000Z,1.23,4.03,2.06,1.82,2.35,0.478,229
2020-11-10T00:00:00.000Z,1.3,4.25,2.16,1.9,2.35,0.374,298
2020-11-11T00:00:00.000Z,1.5,6.03,2.75,2.29,4.2,1.08,302
2020-11-12T00:00:00.000Z,3.97,10.45,5.9,5.21,6.7,1.173,261
2020-11-13T00:00:00.000Z,2.2,13.15,6.6,4.53,7.55,2.144,283
