date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
19.06.2020,19.3,749.2,763.0,0.3,98,"Штиль, безветрие",0,,,20–30%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,18.9,,,,,,,4.82,18.05,7.21,6.67,8.28,1.992,196
20.06.2020,20.3,747.1,760.9,0.0,79,"Штиль, безветрие",0,,,60%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,16.5,,,,,,,2.9,16.27,6.62,4.8,8.34,3.035,576
21.06.2020,17.9,748.3,762.2,0.9,82,"Ветер, дующий с северо-востока",3,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,14.8,,,,,,,1.6,12.82,2.52,2.17,3.1,0.951,527
22.06.2020,11.2,749.9,764.2,0.7,88,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,9.3,,,,,,,1.2,9.83,2.7,2.1,3.67,1.546,505
23.06.2020,15.3,748.7,762.8,0.1,73,"Штиль, безветрие",0,,,70 – 80%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,10.4,,,,,,,1.77,9.48,4.0,3.03,5.68,1.537,550
24.06.2020,16.0,750.1,764.1,0.8,81,"Штиль, безветрие",0,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,12.7,,,,,,,1.4,7.47,2.91,2.17,3.4,0.902,566
25.06.2020,15.6,754.6,768.7,0.9,57,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,7.1,,,,,,,1.73,11.65,4.82,2.64,6.65,2.5,541
26.06.2020,18.4,753.6,767.5,0.4,87,"Ветер, дующий с западо-северо-запада",1,,,70 – 80%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,16.2,,,,,,,2.29,13.07,5.09,3.33,7.22,2.146,542
27.06.2020,19.2,751.9,765.7,-0.6,76,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,14.9,,,,,,,2.8,9.32,4.97,4.26,6.55,1.524,508
28.06.2020,21.7,744.8,758.5,-0.1,64,"Штиль, безветрие",0,,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,14.5,,,,,,,2.02,9.98,4.84,3.97,6.67,1.856,393
29.06.2020,18.7,743.1,756.9,0.5,71,"Ветер, дующий с востоко-северо-востока",2,,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,13.3,,,,,,,0.9,5.55,1.7,1.37,2.1,0.577,447
30.06.2020,13.8,745.4,759.4,0.4,63,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,6.9,,,,,,,1.5,11.8,2.4,2.15,2.8,1.029,455
01.07.2020,19.5,740.0,753.7,-0.7,58,"Ветер, дующий с юго-юго-востока",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,11.1,,,,,,,1.3,15.43,2.75,1.99,4.05,2.158,436
02.07.2020,15.2,743.6,757.6,1.0,97,"Штиль, безветрие",0,,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,,14.7,,,,,,,2.1,22.52,6.86,3.42,10.75,4.404,446
03.07.2020,17.4,745.0,758.8,-0.3,96,"Штиль, безветрие",0,,,20–30%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,16.8,,,,,,,1.6,32.72,5.36,3.3,9.86,5.56,472
04.07.2020,17.9,746.2,760.0,-0.3,98,"Штиль, безветрие",0,,,70 – 80%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,17.5,,,,,,,3.15,46.97,7.43,5.8,9.97,5.806,493
05.07.2020,18.8,745.4,759.2,0.1,95,"Штиль, безветрие",0,,,20–30%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,17.9,,,,,,,2.67,20.83,6.5,4.72,11.45,4.533,467
