date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
18.09.2020,8.9,737.2,751.3,1.8,95,"Ветер, дующий с северо-запада",1,,10.0,70 – 80%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,8.2,,,,,,,0.2,4.68,0.64,0.4,1.05,0.852,76
19.09.2020,7.4,743.8,758.2,0.6,91,"Ветер, дующий с северо-запада",2,,,100%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,6.0,,,,,,,0.3,4.75,1.23,0.96,1.69,0.661,312
20.09.2020,8.8,745.1,759.5,0.2,78,"Ветер, дующий с северо-запада",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,5.1,,,,,,,0.4,3.03,0.9,0.7,1.36,0.499,240
21.09.2020,6.1,749.8,764.4,-0.2,85,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,3.7,,,,,,,0.35,2.97,1.2,0.98,1.42,0.392,226
22.09.2020,12.2,747.6,761.8,-0.1,81,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,9.0,,,,,,,1.0,3.28,1.86,1.5,2.2,0.474,338
23.09.2020,13.4,746.7,760.8,0.5,77,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,9.5,,,,,,,2.25,19.89,4.63,3.41,5.78,1.771,452
24.09.2020,10.6,748.7,763.0,0.5,97,"Штиль, безветрие",0,,,40%.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,10.2,,,,,,,2.0,24.52,5.35,4.3,6.53,2.444,463
25.09.2020,9.7,750.8,765.2,0.5,97,"Штиль, безветрие",0,,,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,,9.3,,,,,,,3.35,21.42,6.14,4.45,9.72,3.005,352
26.09.2020,10.8,751.0,765.4,0.3,89,"Штиль, безветрие",0,,,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,,9.1,,,,,,,2.6,14.4,4.47,3.92,5.09,1.64,279
27.09.2020,10.8,753.0,767.4,0.5,85,"Штиль, безветрие",0,,,"10%  или менее, но не 0", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,8.4,,,,,,,1.77,10.88,3.47,2.9,4.03,1.146,230
