date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.42,115.88,6.1,4.46,8.4,7.229,325
2021-09-08T00:00:00.000Z,2.33,29.48,9.77,6.93,12,3.942,567
2021-09-09T00:00:00.000Z,3.4,35.22,9.8,7.72,11.82,3.293,498
2021-09-10T00:00:00.000Z,2.6,23.73,11.82,8.02,14.95,4.537,551
2021-09-11T00:00:00.000Z,5.13,95.35,20.17,13,43.84,21.576,561
2021-09-12T00:00:00.000Z,12.05,119.35,27.47,21.75,38.35,21.923,554
2021-09-13T00:00:00.000Z,1.7,45.08,15.78,11.51,23.58,9.804,560
2021-09-14T00:00:00.000Z,0.93,25.1,3.8,2.65,5.57,2.579,575
2021-09-15T00:00:00.000Z,0.9,43.17,3.4,2.16,5.18,3.062,557
2021-09-16T00:00:00.000Z,0.85,20,4.45,2.52,7.4,3.359,550
2021-09-17T00:00:00.000Z,3.7,58.03,9.77,7.02,17.7,12.793,564
2021-09-18T00:00:00.000Z,3.08,35.83,7.81,5.97,11.45,4.434,442
2021-10-04T00:00:00.000Z,9.8,51.63,21.15,17.95,27.05,6.636,403
2021-10-05T00:00:00.000Z,3.8,38.47,11.3,6.7,19.98,7.157,565
2021-10-06T00:00:00.000Z,4.28,40.67,11.89,8,15.68,5.285,566
2021-10-07T00:00:00.000Z,7,59.8,25.15,16.45,32.81,10.934,561
2021-10-08T00:00:00.000Z,8.3,311.13,31.63,20.35,49.47,21.397,559
2021-10-09T00:00:00.000Z,5.57,149.77,40.24,20.35,48.17,17.673,498
2021-10-10T00:00:00.000Z,5.55,70.18,32.5,14.02,38.99,13.777,561
2021-10-11T00:00:00.000Z,4.93,52.28,27.06,20,32.63,9.939,570
2021-10-12T00:00:00.000Z,9.65,64.72,23.48,18.73,30.08,7.514,562
2021-10-13T00:00:00.000Z,13.75,61.75,26.9,22.58,35.54,9.466,551
2021-10-14T00:00:00.000Z,2.65,58.6,31.05,26.02,38.33,9.665,555
2021-10-15T00:00:00.000Z,1.77,26.33,6.15,4.17,8.32,3.273,557
2021-10-16T00:00:00.000Z,7.18,30.02,13.48,10.85,17.5,4.465,550
2021-10-17T00:00:00.000Z,5.03,41.53,13.73,11.02,17.05,6.047,553
2021-10-18T00:00:00.000Z,0.73,23.83,3.2,2.04,7.07,4.093,543
2021-10-19T00:00:00.000Z,0.8,29.38,2.58,1.73,3.83,2.194,575
2021-10-20T00:00:00.000Z,1.38,65.7,5.2,3.13,8.27,10.866,550
2021-10-21T00:00:00.000Z,9.48,57.85,17.88,14.8,24.48,8.238,564
2021-10-22T00:00:00.000Z,0.6,24.75,5.4,3.55,12.85,5.726,559
2021-10-23T00:00:00.000Z,1.52,18.63,5.65,3.85,8.22,3.045,548
2021-10-24T00:00:00.000Z,0.7,132.8,2.72,1.55,4.48,5.902,545
2021-10-25T00:00:00.000Z,2.9,22.58,6.97,5.25,8.85,3.148,553
2021-10-26T00:00:00.000Z,3.63,22.73,10.6,8.63,12.93,3.405,546
2021-10-27T00:00:00.000Z,6.68,39.78,15.22,12.65,17.7,4.139,542
2021-10-28T00:00:00.000Z,0.77,40.83,7.42,2.54,14.23,8.431,532
2021-10-29T00:00:00.000Z,2.7,27.27,8.77,6.87,11.69,4.571,557
2021-10-30T00:00:00.000Z,4.43,42.5,15.4,8.94,25.47,8.891,561
2021-10-31T00:00:00.000Z,11.02,65.43,29.7,21.64,41.51,11.606,545
2021-11-01T00:00:00.000Z,24.05,144.02,43.73,35.22,53.17,16.462,522
2021-11-02T00:00:00.000Z,28.37,194.38,82.95,50.73,106.18,31.099,501
2021-11-03T00:00:00.000Z,12.98,278.92,44.17,28.55,50.8,16.308,511
2021-11-04T00:00:00.000Z,5.88,41.25,18.75,13.56,26.38,8.507,552
2021-11-05T00:00:00.000Z,5.78,68.34,36.75,15.82,44.71,16.382,565
2021-11-06T00:00:00.000Z,0.7,78.06,4.82,3.58,7.05,4.599,543
2022-02-01T00:00:00.000Z,1.9,55.7,7.27,4.75,19.43,11.777,360
2022-02-02T00:00:00.000Z,2.83,26.37,9.13,6.4,12.43,4.145,523
2022-02-03T00:00:00.000Z,15.23,68.77,33.19,25.1,41.44,11.929,512
2022-02-04T00:00:00.000Z,15.03,69.59,37.7,30.7,47.3,10.938,525
2022-02-05T00:00:00.000Z,8.5,51.53,27.73,20.7,37.35,9.401,545
2022-02-06T00:00:00.000Z,13.73,55.27,34.61,25.43,41.1,9.145,542
2022-02-07T00:00:00.000Z,9.48,53.57,21.43,17.97,28.53,8.546,550
2022-02-08T00:00:00.000Z,0.7,52.72,7.63,4.4,21.13,12.52,541
2022-02-09T00:00:00.000Z,0.7,16.1,5.81,3.86,7.89,2.884,520
2022-02-10T00:00:00.000Z,1.37,22.77,4.33,3.08,6.87,3.304,526
2022-02-11T00:00:00.000Z,1.93,33.25,6.57,5.09,8.38,2.682,537
2022-02-12T00:00:00.000Z,1.03,13.23,3.3,2.35,4.83,1.914,551
2022-02-13T00:00:00.000Z,1.3,15.3,5.29,3.76,6.84,2.35,564
2022-02-14T00:00:00.000Z,2.57,59.8,10.46,5.97,13.4,4.966,566
2022-02-15T00:00:00.000Z,6.8,62.58,14.33,12.1,16.73,4.999,571
2022-02-16T00:00:00.000Z,7.7,151.9,21.05,16.22,24.23,8.841,561
2022-02-17T00:00:00.000Z,10.6,50.9,24.85,18.45,33.83,8.917,565
2022-02-18T00:00:00.000Z,1.25,23.35,5.27,3.67,11.96,5.108,557
2022-02-19T00:00:00.000Z,2.29,34.72,6.2,4.76,8.52,4.011,555
2022-02-20T00:00:00.000Z,0.85,12.85,2.52,1.8,3.65,1.623,562
2022-02-21T00:00:00.000Z,2.43,26.67,9.02,6.7,14.27,5.001,558
2022-02-22T00:00:00.000Z,1.48,85.53,5.03,3.65,7.29,6.625,576
2022-02-23T00:00:00.000Z,0.93,10.07,2.29,1.63,3.25,1.483,562
2022-02-24T00:00:00.000Z,1.93,28.77,6.02,3.83,9.78,4.575,564
2022-02-25T00:00:00.000Z,4.13,34.97,12.89,9.77,16.43,4.748,558
2022-02-26T00:00:00.000Z,1.3,42.35,11.1,6.47,15.17,5.48,563
2022-02-27T00:00:00.000Z,1.12,72.38,4.7,3.12,7.32,4.809,561
2022-02-28T00:00:00.000Z,3.53,252.07,11.66,8.05,16.6,13.1,554
2022-03-01T00:00:00.000Z,1.98,140.43,21.05,15.43,29.45,12.772,568
2022-03-02T00:00:00.000Z,7.82,380.05,20.91,15.9,27.42,17.784,542
2022-03-03T00:00:00.000Z,3.75,247.75,18.97,13.77,27.07,14.431,550
2022-03-04T00:00:00.000Z,1.47,94.23,10.4,5.35,15.92,8.029,561
2022-03-05T00:00:00.000Z,1.3,66.47,5.6,3.9,7.77,4.713,569
2022-03-06T00:00:00.000Z,1.37,50.83,6.47,4.47,8.63,4.304,550
2022-03-07T00:00:00.000Z,1.3,24.73,5.05,3.17,7.21,3.356,572
2022-03-08T00:00:00.000Z,3.9,22.47,7.92,6.7,9.13,2.024,562
2022-03-09T00:00:00.000Z,2.77,17.23,6.3,5.03,8.05,2.658,549
2022-03-10T00:00:00.000Z,2.29,16.47,6.17,4.84,7.77,2.37,560
2022-03-11T00:00:00.000Z,2.27,31.03,9.83,6.44,14.05,5.425,568
2022-03-12T00:00:00.000Z,4.4,38.57,11.52,8.73,15.87,4.796,554
2022-03-13T00:00:00.000Z,2.13,28.73,7.38,6.07,8.83,2.39,539
2022-03-14T00:00:00.000Z,1,27.75,6.18,3.95,9,5.269,561
2022-03-15T00:00:00.000Z,0.7,30.67,5.31,3.1,7.95,3.652,562
2022-03-16T00:00:00.000Z,4.4,74.27,11.57,9.43,14.43,5.072,547
2022-03-17T00:00:00.000Z,3.55,58.93,14.93,11.2,20.39,7.504,563
2022-03-18T00:00:00.000Z,4.93,81.7,15.52,10.32,22.9,8.561,538
2022-03-19T00:00:00.000Z,4.43,54.08,15.67,11.63,19.43,5.806,562
2022-03-20T00:00:00.000Z,2.29,25.37,11.06,7.75,14.73,4.77,552
2022-03-21T00:00:00.000Z,5.55,58.6,12.77,10.43,17.23,10.15,533
2022-03-22T00:00:00.000Z,1.67,44.77,13.13,8.38,20.02,9.177,557
2022-03-23T00:00:00.000Z,3.92,81.47,18,11.3,30.45,14.788,539
2022-03-24T00:00:00.000Z,10.07,128.75,37.03,27.17,49.47,20.829,551
2022-03-25T00:00:00.000Z,9.85,75.43,22.6,16.5,33.28,12.454,559
2022-03-26T00:00:00.000Z,0.67,26.45,5.67,1.96,15.04,7.23,561
2022-03-27T00:00:00.000Z,0.7,17.57,2.02,1.3,3.12,1.873,540
2022-03-28T00:00:00.000Z,0.83,28.92,4.07,2.22,8.11,4.351,556
2022-03-29T00:00:00.000Z,0.87,15.8,4.32,2.5,7.33,2.858,559
2022-03-30T00:00:00.000Z,0.93,28.87,5.7,3.12,8.91,4.645,561
2022-03-31T00:00:00.000Z,5.15,38.04,14.18,10.15,24.15,8.227,572
2022-04-01T00:00:00.000Z,2.38,25.25,7.17,4.9,11.07,5.266,534
2022-04-02T00:00:00.000Z,3.13,17.52,6.92,5.13,8.69,2.528,498
2022-04-03T00:00:00.000Z,2.38,17.6,4.8,4.03,6.34,2.027,565
2022-04-04T00:00:00.000Z,1.42,20.67,7.13,4.07,10.4,3.866,569
2022-04-05T00:00:00.000Z,2.88,34.57,7.7,5.54,14.77,5.815,560
2022-04-06T00:00:00.000Z,0.75,27.8,3.19,2.13,6.32,4.096,564
2022-04-07T00:00:00.000Z,4.07,27.88,11.44,8.07,15.75,4.72,566
2022-04-08T00:00:00.000Z,5.8,26.38,11.85,9.94,13.98,3.002,569
2022-04-09T00:00:00.000Z,2.27,17.14,7.02,5.32,9.27,2.764,548
2022-04-10T00:00:00.000Z,0.8,38.54,11.6,7.32,16.3,6.392,547
2022-04-11T00:00:00.000Z,1.1,20.75,6.99,4.95,9.94,3.566,560
2022-04-12T00:00:00.000Z,1.4,38.22,16.92,9.98,23.25,8.94,567
2022-04-13T00:00:00.000Z,1.5,84.6,9.8,6.1,12.25,6.397,566
2022-04-14T00:00:00.000Z,1.4,60.55,7.72,4.13,15.23,9.247,559
2022-04-15T00:00:00.000Z,1.92,55.95,19.55,9.82,24.58,9.054,562
2022-04-16T00:00:00.000Z,1.3,37.33,3.41,2.41,5.54,7.756,504
2022-04-17T00:00:00.000Z,1.05,159.44,4.78,3.15,7.3,7.576,547
2022-04-18T00:00:00.000Z,1.35,81.7,6.97,4.78,10.32,6.039,552
2022-04-19T00:00:00.000Z,1.5,80.72,6.95,5.38,9.23,5.169,560
2022-04-20T00:00:00.000Z,1.63,69.63,5.55,3.65,8.28,5.542,545
2022-04-21T00:00:00.000Z,1.45,37.5,6.02,4.22,12.77,6.453,554
2022-04-22T00:00:00.000Z,6.6,80.2,26.5,19.66,33.64,10.033,557
2022-04-23T00:00:00.000Z,7.15,69.93,21.82,16.27,32.54,13.211,564
2022-04-24T00:00:00.000Z,5.47,41.47,19.05,13.69,23.48,6.701,565
2022-04-25T00:00:00.000Z,3.65,44,10.59,8.07,14.7,6.075,542
2022-04-26T00:00:00.000Z,1.65,69.3,7.75,5.45,12,6.621,548
2022-04-27T00:00:00.000Z,0.98,179.65,4.63,3.28,6.45,8.426,543
2022-04-28T00:00:00.000Z,2,44.95,5.75,4.28,7.63,4.258,547
2022-04-29T00:00:00.000Z,2.15,29.63,6.17,4.3,11.38,6.2,546
2022-04-30T00:00:00.000Z,1.25,62.1,4.96,3.24,11.27,12.229,572
2022-05-01T00:00:00.000Z,2.22,45.23,9.39,6.03,14.85,7.901,510
2022-05-02T00:00:00.000Z,1.92,30.45,10.07,5.68,13.72,5.105,445
2022-05-03T00:00:00.000Z,1.2,37.33,7.18,4.82,9.18,3.725,518
2022-05-04T00:00:00.000Z,0.98,14.77,3.14,2.27,4.32,1.775,574
2022-05-05T00:00:00.000Z,1.1,142.9,4.66,3.05,9.43,7.89,562
2022-05-06T00:00:00.000Z,3.85,46.3,10.55,7.99,15.13,6.592,564
2022-05-07T00:00:00.000Z,2.88,59.5,10.25,7.65,13.39,5.083,568
2022-05-08T00:00:00.000Z,1.45,42.83,12.27,4.3,16.3,6.812,559
2022-05-09T00:00:00.000Z,1.1,14.52,3.35,2.4,4.82,2.028,527
2022-05-10T00:00:00.000Z,0.9,17.25,2.92,1.98,4.68,2.246,503
2022-05-11T00:00:00.000Z,1.1,207.07,5.21,3.08,12.9,14.225,504
2022-05-12T00:00:00.000Z,0.9,28.92,10.19,6.37,15.08,6.124,521
2022-05-13T00:00:00.000Z,0.8,15.98,3.65,2.6,5.09,2.151,518
2022-05-14T00:00:00.000Z,1.3,32.95,4.93,3.42,6.53,2.562,539
2022-05-15T00:00:00.000Z,1,14,4.47,3.47,5.97,2.188,531
2022-05-16T00:00:00.000Z,0.7,248.73,2.47,1.6,3.85,12.402,519
2022-05-17T00:00:00.000Z,1.23,19.63,5.62,3.05,7.85,3.139,526
2022-05-18T00:00:00.000Z,1.23,62.35,3.83,2.75,5.35,3.266,521
2022-05-19T00:00:00.000Z,1.8,21.3,5.72,3.97,7.68,2.551,503
2022-05-20T00:00:00.000Z,1.17,27.08,4.79,2.92,7.95,3.71,494
2022-05-21T00:00:00.000Z,2.15,36.2,7.72,5.32,11.27,4.872,517
2022-05-22T00:00:00.000Z,2.02,561.78,5.15,4.07,7,25.957,482
2022-05-23T00:00:00.000Z,2.4,278,6.68,5.18,8.77,12.447,502
2022-05-24T00:00:00.000Z,0.85,38.17,4.84,3.01,7.12,3.176,513
2022-05-25T00:00:00.000Z,1.35,20.1,3.78,2.88,5.39,2.235,501
2022-05-26T00:00:00.000Z,1.98,49,8.77,6.49,11.7,4.106,497
2022-05-27T00:00:00.000Z,0.77,94.75,4.18,2.85,6.07,6.57,481
2022-05-28T00:00:00.000Z,1.08,21.55,7.05,4.82,9.57,3.396,507
2022-05-29T00:00:00.000Z,1,16.89,4.07,2.69,6.22,3.262,429
2022-05-30T00:00:00.000Z,1.3,29.5,7.43,4.7,10.32,4.338,443
2022-05-31T00:00:00.000Z,3.45,59.15,12.57,8.48,21.27,12.006,480
2022-06-01T00:00:00.000Z,2.65,84.95,11.6,8.35,23.25,19.679,479
2022-06-02T00:00:00.000Z,4.2,46.58,9.52,8.05,11.48,4.639,150
2022-06-03T00:00:00.000Z,2.29,163.63,9.07,6.6,12.57,15.54,283
2022-06-04T00:00:00.000Z,1.7,41.85,7.18,4.65,16.14,7.604,429
2022-06-05T00:00:00.000Z,1.1,31.33,5.87,3.71,10.88,5.923,424
2022-06-06T00:00:00.000Z,1.12,27.45,7.57,5.29,10.72,4.333,317
2022-06-07T00:00:00.000Z,0.85,42.83,6.13,3.7,11.06,8.902,521
2022-06-08T00:00:00.000Z,1.73,656,11.52,6.67,16.14,33.094,489
2022-06-09T00:00:00.000Z,2.29,55.9,13.8,8.02,20.02,7.953,502
2022-06-10T00:00:00.000Z,2.83,100.07,9.73,7.1,15.15,8.675,475
2022-06-11T00:00:00.000Z,2.6,38.72,16.05,10.05,21.25,6.923,454
2022-06-12T00:00:00.000Z,4.45,66.13,12.58,9.02,18.55,6.614,398
2022-06-16T00:00:00.000Z,3.97,30.7,17.5,7.57,24.08,8.777,27
2022-06-17T00:00:00.000Z,1.6,58.13,9.35,5.27,15.4,10.894,433
2022-06-18T00:00:00.000Z,1.1,34.38,6.32,3.8,10.32,4.863,498
2022-06-19T00:00:00.000Z,1.92,30.73,6.71,4.93,8.25,3.329,370
2022-06-20T00:00:00.000Z,2.04,23.15,6.57,5.13,8.72,3.233,384
2022-06-21T00:00:00.000Z,5.38,25.38,11.25,9.57,13.75,3.286,341
2022-06-22T00:00:00.000Z,1.4,33.17,7.5,5.69,10.18,4.045,328
2022-06-23T00:00:00.000Z,1.88,19.14,6.19,4.45,8.69,3.116,288
2022-06-24T00:00:00.000Z,1.95,25.92,7.79,5.4,10.27,3.614,554
2022-06-25T00:00:00.000Z,3,40.67,9.8,6.97,13.85,4.552,560
2022-06-26T00:00:00.000Z,3.15,153.05,10.55,6.35,18.85,10.947,566
2022-06-27T00:00:00.000Z,4.88,111.4,12.73,9.82,18.38,10.071,543
2022-06-28T00:00:00.000Z,1,31.55,7.99,4.84,12.68,5.556,536
2022-06-29T00:00:00.000Z,2.27,38.7,6.89,4.99,9.94,4.517,552
2022-06-30T00:00:00.000Z,1.52,21.95,6.63,4.78,9.1,3.742,550
2022-07-01T00:00:00.000Z,2.08,567.41,7.52,5.68,9.8,24.236,542
2022-07-02T00:00:00.000Z,2.88,23.05,8.9,6.15,11.48,3.678,555
2022-07-03T00:00:00.000Z,2.52,76.05,7.3,5.68,9.65,4.841,517
2022-07-04T00:00:00.000Z,4.32,25.42,9.93,7.42,13.31,3.835,549
2022-07-05T00:00:00.000Z,6.43,56.8,15.43,11.43,24.35,10.528,533
2022-07-06T00:00:00.000Z,6.13,57.55,15.3,12.25,19.98,10.251,539
2022-07-07T00:00:00.000Z,5.72,25.48,13.78,11.77,15.77,3.142,374
2022-07-08T00:00:00.000Z,1.1,26.25,4.12,2.6,8.75,5.143,538
2022-07-09T00:00:00.000Z,2.6,31.98,10.82,7.65,16.48,5.665,541
2022-07-10T00:00:00.000Z,3.67,185.8,12.79,9.51,16.76,11.233,556
2022-07-11T00:00:00.000Z,2.47,26.55,9.65,7.45,11.76,3.45,541
2022-07-12T00:00:00.000Z,1.88,121.97,7.65,5.55,10.16,5.85,556
2022-07-13T00:00:00.000Z,1.83,36.95,8.3,5.24,12.77,6.435,505
2022-07-14T00:00:00.000Z,2.7,25.95,7.75,5.9,10.6,4.173,527
2022-07-15T00:00:00.000Z,1.52,18.64,5.2,3.72,7.15,2.785,515
2022-07-16T00:00:00.000Z,1.1,29.2,5.18,3.32,7.56,4.067,569
2022-07-17T00:00:00.000Z,1.17,19.45,5.28,3.4,7.28,3.032,570
2022-07-18T00:00:00.000Z,1.9,27.27,5.53,4.32,7.22,2.658,566
2022-07-19T00:00:00.000Z,0.7,22.95,3.53,2.2,5.84,2.864,552
2022-07-20T00:00:00.000Z,0.7,22.7,3.35,2.04,5.25,2.989,563
2022-07-21T00:00:00.000Z,1.1,13.65,4.05,2.88,5.6,2.24,561
2022-07-22T00:00:00.000Z,1.8,27.63,6,4,8.94,4.106,571
2022-07-23T00:00:00.000Z,5.63,32.08,10.73,8.52,14.75,5.569,558
2022-07-24T00:00:00.000Z,2.1,33.78,9.52,4.76,16.02,6.926,564
2022-07-25T00:00:00.000Z,2.6,27.63,8.35,6.32,10.8,3.567,575
2022-07-26T00:00:00.000Z,6.4,28.75,13.55,10.93,17.1,4.497,569
2022-07-27T00:00:00.000Z,9.15,37.79,20.2,16.89,24.88,5.509,568
2022-07-28T00:00:00.000Z,1.2,47.78,11.98,6.97,18.92,7.934,551
2022-07-29T00:00:00.000Z,0.98,38,4.65,3.34,6.29,3.083,548
2022-07-30T00:00:00.000Z,0.7,53.15,5.13,2.58,11.25,8.373,547
2022-07-31T00:00:00.000Z,1.33,31.92,6.13,3.8,10.98,6.787,551
2022-08-01T00:00:00.000Z,2.4,46.38,8.09,5.74,10.67,4.649,488
2022-08-02T00:00:00.000Z,1.9,51.85,8.76,5.55,14.73,8.941,522
2022-08-03T00:00:00.000Z,4.15,40.33,13.23,10.14,17.5,6.257,536
2022-08-04T00:00:00.000Z,3.6,75.3,15.39,10.75,22.58,10.064,442
2022-08-05T00:00:00.000Z,6.25,42.4,16.98,12.39,23.99,7.615,536
2022-08-06T00:00:00.000Z,5.75,43.33,16.42,11.59,21.15,6.002,517
2022-08-07T00:00:00.000Z,3,36.6,11.9,7.22,16.82,7.313,391
2022-08-08T00:00:00.000Z,2.47,25.45,6.75,5.25,9.07,3.328,473
2022-08-09T00:00:00.000Z,1.73,17.73,5.65,3.99,8.44,3.268,525
2022-08-10T00:00:00.000Z,1.08,23.1,5.75,4.05,7.85,3.201,446
2022-08-11T00:00:00.000Z,1.6,24.48,8.39,5.3,11.72,4.459,440
2022-08-12T00:00:00.000Z,1.7,40.03,10.18,5.63,15.4,6.804,535
2022-08-13T00:00:00.000Z,4.97,59.75,17.39,12.18,27.73,10.316,542
2022-08-14T00:00:00.000Z,3.8,61.7,14.93,9.8,21.33,12.044,523
2022-08-15T00:00:00.000Z,3,58.63,15.88,10.51,23.49,8.169,401
2022-08-16T00:00:00.000Z,3.5,30.65,12.1,9.21,15.6,4.639,548
2022-08-17T00:00:00.000Z,7.85,55.67,16.59,12.89,20.73,9.663,404
2022-08-18T00:00:00.000Z,3.38,139.5,14.23,10.68,20.67,31.461,459
2022-08-19T00:00:00.000Z,3.75,45.22,13.55,11.02,16.76,5.122,565
2022-08-20T00:00:00.000Z,6.22,54.97,20.85,15.26,29.6,10.064,513
2022-08-21T00:00:00.000Z,5.15,74.5,27.2,14.87,46.58,17.352,501
