date,min,max,median,q1,q3,stdev,count
2020-05-16T00:00:00.000Z,2.44,12.82,5.44,3.48,9.38,3.228,170
2020-05-17T00:00:00.000Z,1.69,18.6,4.18,3.38,5.2,2.831,534
2020-05-18T00:00:00.000Z,1.26,6.2,2.49,2.11,2.97,0.681,464
2020-05-19T00:00:00.000Z,1.25,18.57,2.62,1.91,4.41,3.097,489
2020-05-20T00:00:00.000Z,1.52,56.15,3.78,2.68,5.92,5.669,548
2020-05-21T00:00:00.000Z,0.84,9.68,2.82,2.04,4.04,1.47,512
2020-05-22T00:00:00.000Z,0.85,12.72,3.01,1.92,5.72,2.466,540
2020-05-23T00:00:00.000Z,1.3,15.7,3.55,2.47,5.66,2.746,510
2020-05-24T00:00:00.000Z,1.77,33.78,7.12,4,9.57,5.419,530
2020-05-25T00:00:00.000Z,2.7,38.83,6.47,4.84,12.4,6.823,543
2020-05-26T00:00:00.000Z,3.83,31.35,8.93,6.52,13.79,5.653,489
2020-05-27T00:00:00.000Z,2.8,67.03,9.18,5.95,17.23,9.214,515
2020-05-28T00:00:00.000Z,2.35,50.45,7.13,4.32,15.73,8.994,530
2020-05-29T00:00:00.000Z,2.08,49.5,13.23,9.15,21.85,10.473,535
2020-05-30T00:00:00.000Z,2.2,18.95,8.93,6.95,11.2,3.268,563
2020-05-31T00:00:00.000Z,1.6,8.1,3.26,2.52,4.47,1.417,278
2020-06-01T00:00:00.000Z,1.55,12.88,3.67,2.83,4.78,1.479,415
2020-06-02T00:00:00.000Z,1.6,14.45,4.3,3.3,5.95,2.447,526
2020-06-03T00:00:00.000Z,2.22,34.97,9.9,5.25,17.25,7.908,451
2020-06-04T00:00:00.000Z,1.8,31.85,4.95,3.3,8.65,4.436,527
2020-06-05T00:00:00.000Z,2.12,146.43,7.1,4.18,21.97,17.753,445
2020-06-06T00:00:00.000Z,3.5,76.3,10.23,6.12,25.17,13.871,487
2020-06-07T00:00:00.000Z,4.45,128.97,10.43,8.19,17.1,16.003,530
2020-06-08T00:00:00.000Z,6.3,37.38,14.32,9.52,22.61,7.61,525
2020-06-09T00:00:00.000Z,5.72,33.83,11.45,9.35,16.1,6.775,491
2020-06-10T00:00:00.000Z,4.59,26.2,10.75,7.87,13.55,3.676,515
2020-06-11T00:00:00.000Z,4.95,22.9,9.36,7.37,12.37,3.382,556
2020-06-12T00:00:00.000Z,2.35,20.14,6.3,4.3,11.04,4.365,569
2020-06-13T00:00:00.000Z,1.85,12.02,4.45,3.55,6.05,1.858,546
2020-06-14T00:00:00.000Z,2.15,19.35,5.11,3.89,7.2,2.623,340
2020-06-15T00:00:00.000Z,3.42,19.27,7.6,6.36,9.21,2.697,557
2020-06-16T00:00:00.000Z,5.25,28.73,10.68,8.88,13.1,3.268,558
2020-06-17T00:00:00.000Z,3.53,20.73,8.1,6.25,13.57,4.357,543
2020-06-18T00:00:00.000Z,6.63,28.98,13.94,9.85,18.22,4.958,500
