date,min,max,median,q1,q3,stdev,count
16.05.2020 00:00,1.1,7.28,2.29,1.56,5.58,2.067,170
17.05.2020 00:00,0.66,10.58,1.45,1.23,2.02,1.796,534
18.05.2020 00:00,0.6,2.21,1.08,0.95,1.21,0.274,464
19.05.2020 00:00,0.64,7.1,1.12,0.94,2.33,1.336,489
20.05.2020 00:00,0.76,9.48,2.04,1.1,3.84,2.244,548
21.05.2020 00:00,0.45,6.88,1.34,0.95,2.2,1.039,512
22.05.2020 00:00,0.45,8.9,1.59,0.8,3.75,1.811,540
23.05.2020 00:00,0.8,7.53,1.8,1.27,3.45,1.786,510
24.05.2020 00:00,1,18.27,5.24,2.52,6.37,3.707,530
25.05.2020 00:00,1.67,17.3,3.3,2.54,7.6,3.681,543
26.05.2020 00:00,2.29,13.93,4.7,3.17,6.55,2.451,489
27.05.2020 00:00,2.29,44.5,6.2,3.42,11.27,6.316,515
28.05.2020 00:00,1.87,35.88,4.18,2.6,9.23,6.499,530
29.05.2020 00:00,1.4,28.85,10.07,7.55,16.42,7.314,535
30.05.2020 00:00,1.65,12.88,6.65,5,7.85,2.378,563
31.05.2020 00:00,0.93,4.59,1.9,1.5,2.6,0.94,278
01.06.2020 00:00,0.93,6.5,1.6,1.37,1.85,0.477,415
02.06.2020 00:00,0.8,6.22,1.4,1.14,1.87,1.24,526
03.06.2020 00:00,1.4,24.85,7.07,3.25,13.9,6.149,451
04.06.2020 00:00,1.1,24.05,3.22,2.17,5.8,3.101,527
05.06.2020 00:00,1.2,90.25,4.3,2.15,18.09,13.509,445
06.06.2020 00:00,2.95,48.47,7.62,4.47,19.62,10.358,487
07.06.2020 00:00,3.9,55.3,8.52,6.97,13.05,10.532,530
08.06.2020 00:00,4.82,26.83,9.8,6.5,16.84,6.12,525
09.06.2020 00:00,4.55,24.1,7.3,6.57,9.38,5.545,491
10.06.2020 00:00,1.85,12.77,5.8,4.82,7.78,2.02,515
11.06.2020 00:00,2.9,12.37,5.03,4.25,6.78,1.781,556
12.06.2020 00:00,1.6,17.45,3.5,2.71,9.22,3.431,569
13.06.2020 00:00,1.1,5.03,2,1.7,2.78,0.805,546
14.06.2020 00:00,1.05,4.68,1.76,1.4,2.7,0.877,340
15.06.2020 00:00,1.52,7.05,2.58,2.12,3.22,1.127,557
16.06.2020 00:00,3.6,13.5,5.3,4.7,6.32,1.573,558
17.06.2020 00:00,2.1,11.98,3.95,2.8,8.1,2.785,543
18.06.2020 00:00,5.45,20.48,7.99,6.85,11.72,3.085,500
19.06.2020 00:00,3.42,18.42,7.61,5.7,9.4,2.293,482
20.06.2020 00:00,3.15,26.62,6.37,4.97,10.19,5.198,576
21.06.2020 00:00,0.9,7.07,2.02,1.5,3.1,1.202,577
22.06.2020 00:00,1.4,7.7,2.5,2.08,3.37,1.175,561
23.06.2020 00:00,1.9,9.77,4.3,2.95,5.07,1.36,566
24.06.2020 00:00,0.9,6.68,3.53,1.62,4.12,1.438,583
25.06.2020 00:00,2.1,16.14,4.3,3.4,6.24,2.726,565
26.06.2020 00:00,2.7,17.73,5.24,3.92,7.2,3.669,562
27.06.2020 00:00,3.4,17.45,5.3,4.19,6.3,1.408,516
28.06.2020 00:00,2.15,11.2,5.27,3.71,6.5,2.133,444
29.06.2020 00:00,0.8,3.45,1.6,1.1,2.29,0.703,480
30.06.2020 00:00,1.5,459.42,2.75,2.34,3.25,24.937,468
01.07.2020 00:00,1.3,21.55,2.95,2.08,4.53,2.648,458
02.07.2020 00:00,1.8,44.22,7.53,3.05,16.77,8.509,453
03.07.2020 00:00,2.2,49.05,7.45,4.28,11.6,10.295,469
04.07.2020 00:00,4.57,68.47,8.05,6.75,12.63,8.42,492
05.07.2020 00:00,3.65,48.83,5.93,4.61,8.5,5.394,473
06.07.2020 00:00,2.5,13.27,4.01,3.17,7.87,2.772,278
07.07.2020 00:00,3.4,13.35,6.87,5.34,9.19,2.408,433
08.07.2020 00:00,0.6,27.37,7.1,3.29,9.13,3.921,437
09.07.2020 00:00,0.65,11.73,1.52,1.1,2.08,1.387,473
10.07.2020 00:00,0.8,7.45,2.29,1.2,3.85,1.627,445
11.07.2020 00:00,1.8,18.6,3.11,2.73,6.89,3.076,332
12.07.2020 00:00,2.6,22.05,5.7,3.95,7.78,2.296,418
13.07.2020 00:00,2.6,16.73,6.28,5.45,10.75,3.824,414
14.07.2020 00:00,1.1,12.8,5.39,3.4,8.77,3.163,440
15.07.2020 00:00,1.12,23.8,3.62,2.75,5.8,3.936,352
16.07.2020 00:00,0.6,7.2,1.34,1.1,1.87,1.616,326
