date,min,max,median,q1,q3,stdev,count
06.10.2022 00:00,7.03,14.5,10.55,9.5,11.73,1.637,101
07.10.2022 00:00,2.1,25.32,5.85,4.71,7.49,2.239,456
08.10.2022 00:00,2.72,22.62,7.45,6.1,9.4,3.058,355
09.10.2022 00:00,3.02,11.18,5.81,5.05,6.6,1.316,270
10.10.2022 00:00,1.62,69.7,4.66,3.75,6.22,4.832,274
11.10.2022 00:00,1.2,38.79,6.75,4.03,10.63,6.959,269
12.10.2022 00:00,2.4,22.3,10.28,7.82,12.37,3.362,276
13.10.2022 00:00,2.29,19.27,6.85,5,10.13,3.739,278
14.10.2022 00:00,3.87,16,8.05,6.53,9.65,2.448,271
15.10.2022 00:00,3.42,27.77,8.3,6.28,12.44,4.909,272
16.10.2022 00:00,2.22,19.07,7.22,5.47,10.27,3.194,229
17.10.2022 00:00,2.2,18.42,9.13,5.55,12.58,4.019,275
18.10.2022 00:00,0.9,17.85,7.61,4.47,9.53,3.62,196
21.10.2022 00:00,1.57,14.7,4.8,3.52,6.7,2.264,275
22.10.2022 00:00,2.62,18.55,7.43,4.9,10.05,3.201,282
23.10.2022 00:00,1.77,31.97,13.98,10.8,17.5,5.476,278
24.10.2022 00:00,1.07,23.27,6.61,4.34,9.44,4.213,278
25.10.2022 00:00,2.08,26.23,9.03,5.87,12.43,4.181,272
26.10.2022 00:00,2.42,17.85,9.73,7.9,11.11,2.641,277
27.10.2022 00:00,7.55,40.65,14.13,11.07,18.34,5.292,269
28.10.2022 00:00,3.85,20.72,9.89,7,11.73,3.398,270
29.10.2022 00:00,2.37,16.39,5.74,4.3,8.68,3.069,276
30.10.2022 00:00,0.33,28.98,2.24,1.35,3.45,2.215,274
31.10.2022 00:00,0.5,16.42,1.74,1.3,2.42,1.315,236
01.11.2022 00:00,0.8,15.53,5.21,3.25,7.25,2.7,278
02.11.2022 00:00,0.55,21.42,7,4.78,9.18,3.542,267
03.11.2022 00:00,0.5,26.27,8.53,2.04,15.38,7.133,276
04.11.2022 00:00,2.98,17.07,8.07,6.5,10.08,2.707,270
05.11.2022 00:00,1.5,71.22,5.94,3.17,11.8,6.147,274
06.11.2022 00:00,2.4,23.2,9.77,6.83,12.25,3.773,279
07.11.2022 00:00,4.5,34.4,11.93,8.4,19.92,7.318,279
08.11.2022 00:00,3.67,32.1,12.56,8.98,19.14,6.607,276
09.11.2022 00:00,6.97,25.62,13.94,11.33,16.57,3.535,272
10.11.2022 00:00,7.87,32.7,19.93,15.6,24.5,5.387,270
11.11.2022 00:00,3.5,26.35,7.67,5.78,10.63,4.762,275
12.11.2022 00:00,0.4,7.6,2.02,1.32,3.5,1.483,277
13.11.2022 00:00,0.23,7.58,1.61,1.14,2.22,1.089,282
14.11.2022 00:00,0.23,18.7,3.98,2.02,7.16,3.78,272
15.11.2022 00:00,1.47,28.32,6.37,4.17,9.3,4.04,273
16.11.2022 00:00,1.42,30.88,9.25,6.62,12.3,4.466,255
17.11.2022 00:00,1.05,31.55,7.04,4.58,14.5,6.45,246
18.11.2022 00:00,0.33,10.68,5.78,4.78,7,1.675,263
19.11.2022 00:00,2.17,19.2,7.87,6.47,9.75,2.814,267
20.11.2022 00:00,1.37,29.48,13.5,10.77,15.59,4.321,281
