date,min,max,median,q1,q3,stdev,count
2022-10-06T00:00:00.000Z,4.65,9.15,6.7,6.06,7.49,0.98,101
2022-10-07T00:00:00.000Z,0.7,5.55,1.75,1.31,2.57,1.036,456
2022-10-08T00:00:00.000Z,0.9,7.97,2.17,1.77,3.12,1.374,355
2022-10-09T00:00:00.000Z,1.17,5.05,2.54,2.2,3.1,0.695,270
2022-10-10T00:00:00.000Z,0.65,7.42,2.09,1.65,2.52,0.798,274
2022-10-11T00:00:00.000Z,0.35,21,2.95,1.75,4.49,3.614,269
2022-10-12T00:00:00.000Z,1.5,11.5,4.9,3.95,5.66,1.557,276
2022-10-13T00:00:00.000Z,1.12,8.88,3.35,2.5,5.12,1.905,278
2022-10-14T00:00:00.000Z,2.33,7.33,4.37,3.7,5.05,1.004,271
2022-10-15T00:00:00.000Z,2.52,13.55,3.67,3.15,5.87,2.34,272
2022-10-16T00:00:00.000Z,1.17,10.9,3.75,2.52,5.12,1.624,229
2022-10-17T00:00:00.000Z,1.32,8.9,4.59,2.92,6.5,2.072,275
2022-10-18T00:00:00.000Z,0.4,8.43,4.09,1.91,5.03,1.814,196
2022-10-21T00:00:00.000Z,0.82,7.58,2.37,1.77,3.5,1.186,275
2022-10-22T00:00:00.000Z,1.5,8.44,3.95,2.6,5.42,1.75,282
2022-10-23T00:00:00.000Z,0.6,13.53,6.82,5.72,8.48,2.355,278
2022-10-24T00:00:00.000Z,0.56,10.32,2.89,1.9,4.55,2.125,278
2022-10-25T00:00:00.000Z,0.9,12,3.52,2.57,5.23,1.918,272
2022-10-26T00:00:00.000Z,1.2,8.35,4.42,3.76,5.05,1.168,277
2022-10-27T00:00:00.000Z,4.25,20.5,7.12,5.67,9.19,2.432,269
2022-10-28T00:00:00.000Z,2.1,8.9,5.28,3.58,6.22,1.542,270
2022-10-29T00:00:00.000Z,1.1,6.85,3.02,2.36,4.48,1.337,276
2022-10-30T00:00:00.000Z,0.1,10.25,0.6,0.4,1,0.897,274
2022-10-31T00:00:00.000Z,0.1,7.45,0.6,0.42,0.85,0.531,236
2022-11-01T00:00:00.000Z,0.3,4.37,1.65,1.12,2.6,0.948,278
2022-11-02T00:00:00.000Z,0.2,6.03,3.05,2.1,3.98,1.381,267
2022-11-03T00:00:00.000Z,0.15,9.38,3.4,0.7,6.15,2.798,276
2022-11-04T00:00:00.000Z,1.4,7.12,3.75,3.1,4.33,1.055,270
2022-11-05T00:00:00.000Z,0.7,25.9,3.25,1.27,6.3,2.925,274
2022-11-06T00:00:00.000Z,1.37,10.6,4.9,3.77,6.03,1.61,279
2022-11-07T00:00:00.000Z,1.98,12.63,5.67,4.15,7.85,2.462,279
2022-11-08T00:00:00.000Z,1.7,12.78,5.74,4.22,8.5,2.44,276
2022-11-09T00:00:00.000Z,3.75,11.18,7.11,6.07,8.34,1.473,272
2022-11-10T00:00:00.000Z,3.72,14.83,10.15,8.35,11.68,2.19,270
2022-11-11T00:00:00.000Z,1.82,12.58,3.62,3,5.28,2.261,275
2022-11-12T00:00:00.000Z,0.1,3.3,0.53,0.4,1.41,0.814,277
2022-11-13T00:00:00.000Z,0,2.15,0.47,0.3,0.7,0.29,282
2022-11-14T00:00:00.000Z,0,3.75,0.93,0.54,1.42,0.623,272
2022-11-15T00:00:00.000Z,0.45,10.45,1.95,1.09,4.47,2.167,273
2022-11-16T00:00:00.000Z,0.85,9.8,4.09,3.17,6.33,1.837,255
2022-11-17T00:00:00.000Z,0.45,16.75,3.34,2.15,7.37,3.484,246
2022-11-18T00:00:00.000Z,0.3,5.62,3.08,2.42,3.45,0.754,263
2022-11-19T00:00:00.000Z,1.14,9.69,4.09,3.3,5.03,1.359,267
2022-11-20T00:00:00.000Z,0.95,12.68,6.55,5.28,7.4,1.931,281
2022-11-21T00:00:00.000Z,1.22,12.15,6.3,5.48,6.96,1.365,277
2022-11-22T00:00:00.000Z,0.3,10.85,2.85,1.67,4.55,2.201,279
2022-11-23T00:00:00.000Z,0.5,8.5,1.87,1.2,4.26,1.811,276
2022-11-24T00:00:00.000Z,1.35,10.02,5.28,4.41,6.27,1.561,253
2022-11-25T00:00:00.000Z,0.35,5.67,2.83,1.82,3.6,1.163,231
2022-11-26T00:00:00.000Z,0.8,10.75,4,2.65,5.7,2.174,257
2022-11-27T00:00:00.000Z,0.53,12.28,4.2,3.24,5.95,2.061,249
2022-11-28T00:00:00.000Z,0.93,10.32,4.99,3.17,6.5,2.143,234
2022-11-29T00:00:00.000Z,1.14,17.57,7.01,4.34,9.4,3.445,258
2022-11-30T00:00:00.000Z,1.5,22.82,11.02,6.95,14.78,4.856,274
2022-12-01T00:00:00.000Z,3.15,42.35,18.98,15.18,26.37,8.28,242
2022-12-02T00:00:00.000Z,2.17,26.33,10.83,6.6,15.15,5.224,266
2022-12-03T00:00:00.000Z,0.6,17.14,6.21,4.19,8.38,3.023,272
2022-12-04T00:00:00.000Z,0.28,8.93,2.22,1.27,3.35,1.719,275
2022-12-05T00:00:00.000Z,0.23,6.1,2.04,1.3,2.95,1.075,272
2022-12-06T00:00:00.000Z,0.1,4.95,1.05,0.7,1.62,0.829,276
2022-12-07T00:00:00.000Z,0.2,6.3,1.95,1.14,2.98,1.203,272
2022-12-08T00:00:00.000Z,0.82,8.18,3.26,2.42,4.42,1.483,266
2022-12-09T00:00:00.000Z,1.17,17.1,9.22,6.36,10.91,3.338,248
2022-12-10T00:00:00.000Z,1.32,24.1,9.48,5.21,13.24,5.035,261
2022-12-11T00:00:00.000Z,0.4,13.08,5.41,3.4,6.5,2.387,242
2022-12-12T00:00:00.000Z,0.35,12.1,2.65,1.62,4.19,2.347,277
2022-12-13T00:00:00.000Z,0.3,10.53,3.6,2.15,5.32,2.415,268
2022-12-14T00:00:00.000Z,0.28,7.47,1.9,1.4,3.9,1.748,243
2022-12-15T00:00:00.000Z,0.5,9.52,3.15,2.2,4.3,1.647,258
2022-12-16T00:00:00.000Z,1.12,14.18,4.72,4.09,5.82,2.092,253
2022-12-17T00:00:00.000Z,1.4,11.5,5.92,4.57,7.1,1.952,264
2022-12-18T00:00:00.000Z,0.45,7.95,3.37,2.61,4.25,1.258,269
2022-12-19T00:00:00.000Z,0.62,5.92,2.98,2.58,3.5,0.8,245
2022-12-20T00:00:00.000Z,0.33,9.44,3.12,2.45,4.33,1.825,257
2022-12-21T00:00:00.000Z,0.3,9.94,3.6,2.04,6.7,2.641,264
2022-12-22T00:00:00.000Z,0.13,8.55,3.65,2.47,5.25,2.029,268
2022-12-23T00:00:00.000Z,0.98,9.33,4.42,3.27,6.37,2.007,199
2022-12-24T00:00:00.000Z,0.35,12.6,3.47,2.12,4.92,2.107,253
2022-12-25T00:00:00.000Z,0.4,4.15,1.22,0.9,1.52,0.513,235
2022-12-26T00:00:00.000Z,0.53,6.45,1.83,1.27,2.72,1.224,218
2022-12-27T00:00:00.000Z,0.82,12.25,3.71,2.37,6.53,2.671,250
2022-12-28T00:00:00.000Z,0.33,12.47,5.87,2.85,7.6,2.968,233
2022-12-29T00:00:00.000Z,0.33,24.5,3.27,1.23,8,5.376,245
2022-12-30T00:00:00.000Z,1.3,17.2,6.95,5.24,8.48,3.151,229
2022-12-31T00:00:00.000Z,0.95,13.8,5,2.7,6.22,2.323,271
2023-01-01T00:00:00.000Z,0.42,8.52,2.1,1.74,2.95,1.116,272
2023-01-02T00:00:00.000Z,0.1,2.58,0.65,0.4,1,0.432,265
2023-01-03T00:00:00.000Z,0,6.8,1.32,0.68,3.46,1.759,241
2023-01-04T00:00:00.000Z,0.17,5.97,1.37,1,2.04,1.191,205
2023-01-05T00:00:00.000Z,0.88,5.37,2.1,1.75,2.5,0.843,262
2023-01-06T00:00:00.000Z,0.53,9.44,3.57,2.45,4.97,1.638,276
2023-01-07T00:00:00.000Z,0.23,9.18,3.32,2.42,4.15,1.505,268
2023-01-08T00:00:00.000Z,0.23,11.57,2.7,1.57,4.65,2.178,279
2023-01-09T00:00:00.000Z,0.35,11.15,3.76,2.42,5.09,1.87,272
2023-01-10T00:00:00.000Z,0.13,6.3,2,1.44,2.84,1.081,276
2023-01-11T00:00:00.000Z,0.13,4.84,0.98,0.72,1.32,0.528,274
2023-01-12T00:00:00.000Z,0.2,4.08,1.25,0.89,1.7,0.639,273
2023-01-13T00:00:00.000Z,0.4,7.7,2.25,1.55,3.45,1.519,254
2023-01-14T00:00:00.000Z,0.6,6.87,3.13,2.11,4.13,1.322,168
2023-01-15T00:00:00.000Z,0.65,7.67,3.69,2.49,4.91,1.594,204
2023-01-16T00:00:00.000Z,0.9,8.73,3.8,2.8,4.87,1.646,231
2023-01-17T00:00:00.000Z,0.9,19.25,6.87,4.97,9,3.199,231
2023-01-18T00:00:00.000Z,3.27,22.2,9.49,7.24,11.88,3.185,240
2023-01-19T00:00:00.000Z,1.8,24.9,6.78,4.86,10.19,4.171,277
2023-01-20T00:00:00.000Z,1.98,21.17,7.45,5.95,9.73,3.216,271
2023-01-21T00:00:00.000Z,0.47,11.25,2.67,1.98,3.34,1.852,264
2023-01-22T00:00:00.000Z,0.35,15.68,8.02,5.53,9.69,3.056,271
2023-01-23T00:00:00.000Z,1.14,14.73,7.17,5.17,9.3,2.673,219
2023-01-24T00:00:00.000Z,1.4,4.7,2.83,2.44,3.3,0.619,276
2023-01-25T00:00:00.000Z,0.62,4.72,3,2.6,3.5,0.732,259
2023-01-26T00:00:00.000Z,0.82,8.6,4.09,3.33,6.03,1.687,271
2023-01-27T00:00:00.000Z,0.72,8.38,4.04,3.15,5.11,1.582,244
2023-01-28T00:00:00.000Z,0.56,21.3,5.37,2.15,7.28,3.045,247
2023-01-29T00:00:00.000Z,0.42,4.59,1.8,1.32,2.35,0.714,251
2023-01-30T00:00:00.000Z,0.4,4.58,1.87,1.45,2.37,0.719,238
2023-01-31T00:00:00.000Z,0.72,6.1,3.12,2.22,3.98,1.223,271
2023-02-01T00:00:00.000Z,1.37,10.4,5.34,3.98,6.82,1.768,276
2023-02-02T00:00:00.000Z,1.87,14.3,6.67,4.78,8.52,2.42,274
2023-02-03T00:00:00.000Z,0.8,13.5,5.08,2.94,6.97,2.97,221
2023-02-04T00:00:00.000Z,2.75,12.93,4.75,3.98,5.53,1.111,279
2023-02-05T00:00:00.000Z,2.65,17.23,5.97,4.13,7.99,2.907,249
2023-02-06T00:00:00.000Z,0.5,3.9,2.42,2,2.9,0.65,216
2023-02-07T00:00:00.000Z,0.4,8.23,3.35,2.75,3.92,1.132,244
2023-02-08T00:00:00.000Z,1.95,6.6,3.58,2.95,4.09,0.836,229
2023-02-09T00:00:00.000Z,0.5,6.65,3.6,2.8,4.67,1.347,255
2023-02-10T00:00:00.000Z,1.05,9.75,4.19,3,5.75,1.935,254
2023-02-11T00:00:00.000Z,0.47,8.6,2.4,1.67,3.46,1.317,245
2023-02-12T00:00:00.000Z,0.1,3.72,1.07,0.72,1.52,0.59,255
2023-02-13T00:00:00.000Z,0.23,3,1.2,0.88,1.55,0.489,226
2023-02-14T00:00:00.000Z,0.1,2.92,0.98,0.65,1.3,0.467,255
2023-02-15T00:00:00.000Z,0.1,3.7,1.1,0.75,1.35,0.475,219
2023-02-16T00:00:00.000Z,0.4,7.55,1.4,1.05,4.12,2.082,227
2023-02-17T00:00:00.000Z,1.32,15.1,5.86,4.22,7.08,2.172,206
2023-02-18T00:00:00.000Z,1.9,17.35,5.42,3.98,7,2.693,264
2023-02-19T00:00:00.000Z,1.57,16.02,5.59,4.09,7.88,2.891,248
2023-02-20T00:00:00.000Z,1.8,18.57,7.8,6.59,10.43,2.956,264
2023-02-21T00:00:00.000Z,1.8,17.89,8.77,7.33,11.18,2.841,266
2023-02-22T00:00:00.000Z,2.54,13.48,6.6,5.2,8.1,1.954,227
2023-02-23T00:00:00.000Z,0.72,7.85,4.42,3.83,5.15,1.159,218
2023-02-24T00:00:00.000Z,0.23,10.9,4.47,3.22,6.29,2.237,241
2023-02-25T00:00:00.000Z,1.22,16.64,6.66,5.09,8.23,2.65,238
2023-02-26T00:00:00.000Z,0.3,54.95,2.33,1.09,3.69,4.078,273
2023-02-27T00:00:00.000Z,1.3,4.3,2.82,2.45,3.12,0.531,268
2023-02-28T00:00:00.000Z,0.15,7.42,1.57,0.87,2.1,0.96,224
2023-03-01T00:00:00.000Z,0.1,3.62,0.7,0.53,1.02,0.425,247
2023-03-02T00:00:00.000Z,0.3,2.9,0.95,0.75,1.17,0.37,262
2023-03-03T00:00:00.000Z,0.28,2.98,1.1,0.9,1.45,0.46,275
2023-03-04T00:00:00.000Z,0.1,10.58,1.7,0.92,2.34,1.246,272
2023-03-05T00:00:00.000Z,0.1,7.22,2.95,1,3.83,1.65,278
2023-03-06T00:00:00.000Z,0.25,2.83,1.2,0.9,1.55,0.445,268
2023-03-07T00:00:00.000Z,0.1,14.05,2.58,1.77,3.9,2.709,243
2023-03-08T00:00:00.000Z,0.47,14.78,5.53,2.76,7.65,3.048,276
2023-03-09T00:00:00.000Z,0.2,5.72,1.3,0.92,1.79,0.809,224
2023-03-10T00:00:00.000Z,0.78,9.19,2.65,2,3.76,1.264,248
2023-03-11T00:00:00.000Z,1.12,12.7,5.33,3.91,6.99,2.297,260
2023-03-12T00:00:00.000Z,0.1,13.32,1.5,0.8,4.17,2.47,269
2023-03-13T00:00:00.000Z,0.2,2.75,0.9,0.62,1.21,0.457,261
2023-03-14T00:00:00.000Z,0.1,4.65,1.57,1.1,2.13,0.735,189
2023-03-15T00:00:00.000Z,0.35,5.8,2.37,1.8,3.12,0.976,275
2023-03-16T00:00:00.000Z,0.3,13.93,7.47,2.12,10.81,4.175,281
2023-03-17T00:00:00.000Z,0.4,5.92,1.06,0.74,1.42,0.653,280
2023-03-18T00:00:00.000Z,0.6,8.44,2.42,1.52,3.33,1.234,227
2023-03-19T00:00:00.000Z,0.7,6.35,2.94,2.22,4.2,1.11,270
2023-03-20T00:00:00.000Z,0.8,5.5,2.49,1.85,3.58,1.103,280
2023-03-21T00:00:00.000Z,1.02,10.98,3.49,2.5,5.42,2.14,278
2023-03-22T00:00:00.000Z,0.37,5.25,1.39,1,1.81,0.772,280
2023-03-23T00:00:00.000Z,0.75,7.12,2.7,2,4.09,1.397,277
2023-03-24T00:00:00.000Z,0.9,12.43,3.25,2.17,7.95,3.234,277
