date,min,max,median,q1,q3,stdev,count
07.09.2021 00:00,1.65,12.48,5.22,3.83,7.05,2.294,325
08.09.2021 00:00,2.17,16.39,6.93,4.3,9.49,3.076,501
09.09.2021 00:00,2.22,21.9,7.68,5.7,9.44,2.78,498
10.09.2021 00:00,1.52,24.3,10.76,7.96,13.55,4.016,560
11.09.2021 00:00,4.53,58.13,17.27,11.43,30.23,10.989,571
12.09.2021 00:00,10.4,49.7,19.85,16.14,26.77,9.825,495
13.09.2021 00:00,1.7,32.6,11.27,8.77,18.95,6.925,549
14.09.2021 00:00,0.65,30.75,2.85,1.9,3.9,2.172,563
15.09.2021 00:00,0.5,45.55,2.63,1.77,4.22,2.804,559
16.09.2021 00:00,0.98,20.25,4.94,3.14,6.85,3.049,560
17.09.2021 00:00,3.35,74.84,10.11,6.95,16.73,11.98,562
18.09.2021 00:00,1.63,91.45,7.25,5.35,9.77,5.902,563
19.09.2021 00:00,3.25,35.54,8.3,6.3,12.48,3.905,565
20.09.2021 00:00,1.83,18.23,4.9,3.85,6.57,2.855,560
21.09.2021 00:00,1.23,26.5,4.63,3.5,5.92,2.594,573
22.09.2021 00:00,2.04,45.5,7.45,5.07,13.4,6.685,563
23.09.2021 00:00,5.88,41.78,14.48,12.22,19.25,7.196,577
24.09.2021 00:00,1.88,33,5.77,4.5,9.05,3.967,558
25.09.2021 00:00,9.18,18.07,12.92,11.95,13.93,1.597,250
27.09.2021 00:00,4.25,30.77,12.05,9.59,14.63,3.896,337
28.09.2021 00:00,1.92,50.33,10.49,6.45,21.86,9.905,560
29.09.2021 00:00,6,47.7,18.75,13.25,24.08,7.164,514
30.09.2021 00:00,2.22,54.22,14.5,9.98,19.38,6.061,550
01.10.2021 00:00,10.18,32.08,19.45,15.98,22.35,4.262,525
02.10.2021 00:00,16.5,57.92,27.04,23.41,31.97,6.505,548
03.10.2021 00:00,12.6,189.18,33.42,18.8,50.63,17.293,557
04.10.2021 00:00,12.15,117.43,25.27,19.5,34.07,13.621,561
05.10.2021 00:00,3.2,52.63,10.1,6.18,20.98,8.386,577
06.10.2021 00:00,4.32,48.15,10.98,8.05,13.76,5.094,572
07.10.2021 00:00,8.44,55.22,18.82,14.2,24.63,7.794,567
08.10.2021 00:00,4.4,111.35,25.63,13.69,33.29,12.224,557
09.10.2021 00:00,5.03,55.7,29.08,17.27,37.49,12.208,552
10.10.2021 00:00,3.55,42.85,21,13.73,26.15,8.333,559
11.10.2021 00:00,4.65,37.4,15.98,12.32,19.92,5.21,571
12.10.2021 00:00,7.75,121.1,20.6,15.09,25.95,9.831,568
13.10.2021 00:00,12.68,45.95,25.42,21.52,30.74,6.556,557
14.10.2021 00:00,3.95,54.8,27.15,23.15,35.25,8.43,560
15.10.2021 00:00,1,13.13,4.59,3.17,6.22,2.098,563
16.10.2021 00:00,4.3,20.05,9.8,7.67,11.57,2.69,572
17.10.2021 00:00,2.88,17.39,8.34,6.85,10.13,2.293,566
18.10.2021 00:00,0.47,20.1,2.95,2,5.38,2.886,547
19.10.2021 00:00,0.4,15.02,2.13,1.39,3.08,1.564,577
20.10.2021 00:00,0.93,29.35,3.8,2.5,6.22,3.896,553
21.10.2021 00:00,5.55,31.77,13.37,11.19,17.78,4.766,568
22.10.2021 00:00,0.4,26.88,2.92,1.73,9.11,4.365,564
23.10.2021 00:00,0.73,16.45,3.7,2.75,4.97,1.946,563
24.10.2021 00:00,0.1,9.68,2.27,1.38,3.54,1.532,561
25.10.2021 00:00,1.45,13.2,5.4,4.05,6.8,1.961,563
26.10.2021 00:00,1.9,18.88,7.29,5.84,8.74,2.417,548
27.10.2021 00:00,4.15,24.13,11.05,9.1,13.38,3.311,550
28.10.2021 00:00,0.95,23.02,6.97,3.25,11.23,4.902,535
29.10.2021 00:00,2.1,22.77,7.13,5.6,9.5,3.552,557
30.10.2021 00:00,2.67,26.75,9.94,6.72,17.6,5.891,523
31.10.2021 00:00,8.32,21.6,15,13.09,16.39,2.649,209
