date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.85,6.07,2.4,1.85,3.29,1.172,325
2021-09-08T00:00:00.000Z,1.1,7.93,3.08,2.06,5.52,1.865,501
2021-09-09T00:00:00.000Z,1.9,9.55,4.48,2.95,5.47,1.612,498
2021-09-10T00:00:00.000Z,1.2,16.23,6.46,5.07,8.75,2.651,560
2021-09-11T00:00:00.000Z,2.67,34.25,9.15,6.3,19.8,7.619,571
2021-09-12T00:00:00.000Z,7.95,29.55,13.3,10.85,18.23,6.178,495
2021-09-13T00:00:00.000Z,0.9,20.13,7.05,5.89,11.94,4.637,549
2021-09-14T00:00:00.000Z,0.38,9.38,0.9,0.73,1.08,0.531,563
2021-09-15T00:00:00.000Z,0.4,8.02,0.9,0.77,1.2,0.668,559
2021-09-16T00:00:00.000Z,0.77,11.35,2.04,1.5,3.13,1.485,560
2021-09-17T00:00:00.000Z,2.5,36.45,4.43,3.63,7.3,5.125,562
2021-09-18T00:00:00.000Z,0.9,46.5,3.35,2.47,4.2,2.383,563
2021-09-19T00:00:00.000Z,2.29,12.93,3.7,3.17,6.89,2.005,565
2021-09-20T00:00:00.000Z,1.4,8.13,2.85,2.2,3.55,1.362,560
2021-09-21T00:00:00.000Z,1.12,13.63,2.95,2.17,3.78,1.227,573
2021-09-22T00:00:00.000Z,1.85,24.1,3.97,3,7.97,3.529,563
2021-09-23T00:00:00.000Z,4.13,17.8,8.4,7.4,10.99,2.668,577
2021-09-24T00:00:00.000Z,1.42,15.15,2.95,2.52,5.2,2.085,558
2021-09-25T00:00:00.000Z,5.95,8.93,7.35,7.07,7.75,0.536,250
2021-09-27T00:00:00.000Z,2.7,11.38,4.68,4.13,5.49,1.229,337
2021-09-28T00:00:00.000Z,1.4,21.08,5.55,3.72,9.8,4.102,560
2021-09-29T00:00:00.000Z,3.8,19.63,9.18,6.75,11.07,2.563,514
2021-09-30T00:00:00.000Z,1.35,15.18,6.71,4.5,9.6,2.892,550
2021-10-01T00:00:00.000Z,6.22,18.2,10.5,8.65,11.95,2.086,525
2021-10-02T00:00:00.000Z,9.88,26.05,14.82,12.43,16.7,2.991,548
2021-10-03T00:00:00.000Z,7.88,40.1,17.39,12,22.75,6.063,557
2021-10-04T00:00:00.000Z,7.78,23.05,12.95,10.48,16.27,3.725,561
2021-10-05T00:00:00.000Z,2.17,14.85,4.97,3.17,9.94,3.691,577
2021-10-06T00:00:00.000Z,2.88,19.55,5.7,4.34,6.5,1.709,572
2021-10-07T00:00:00.000Z,4.9,27.5,9,7.35,10.98,2.515,567
2021-10-08T00:00:00.000Z,3.42,21.58,11.85,6.06,15.03,4.708,557
2021-10-09T00:00:00.000Z,3.58,22.45,13.82,7.81,16.94,5.411,552
2021-10-10T00:00:00.000Z,2.5,20.55,10.65,6.03,13.43,4.051,559
2021-10-11T00:00:00.000Z,3.4,18.38,7.65,6.18,10.1,2.383,571
2021-10-12T00:00:00.000Z,5.03,19.75,10.1,7.43,12.76,3.17,568
2021-10-13T00:00:00.000Z,7.88,29.17,12.27,10.72,15.56,3.749,557
2021-10-14T00:00:00.000Z,2.63,25.4,14.17,10.88,16.97,4.207,560
