date,min,max,median,q1,q3,stdev,count
2021-10-29T00:00:00.000Z,6.03,455.08,8.22,7.28,11.27,47.883,86
2021-10-30T00:00:00.000Z,7.28,1387.03,15.73,12.45,24.65,64.659,540
2021-10-31T00:00:00.000Z,11.63,49.7,24.92,20.52,33.88,8.525,527
2021-11-01T00:00:00.000Z,19.48,479.15,43.03,37.49,83.92,55.481,536
2021-11-02T00:00:00.000Z,16.98,451.92,76.01,44.7,93.9,58.892,406
2021-11-03T00:00:00.000Z,9.02,62.03,26.87,20.45,33.15,9.198,464
2021-11-04T00:00:00.000Z,7.2,50.65,17.54,13.41,22.06,7.647,528
2021-11-05T00:00:00.000Z,9.19,62.45,29.27,15.68,37.08,12.244,546
2021-11-06T00:00:00.000Z,2.75,61.72,8.03,6.5,9.4,4.471,522
2022-02-01T00:00:00.000Z,4.07,48.58,10.69,7.93,18.47,9.944,332
2022-02-02T00:00:00.000Z,4.55,25.13,10.07,8.69,12.23,2.611,521
2022-02-03T00:00:00.000Z,8.4,59.13,33.72,19.2,41.75,12.7,435
2022-02-04T00:00:00.000Z,17.39,124.1,37.1,32.7,45.25,14.742,347
2022-02-05T00:00:00.000Z,7.85,70.59,24.42,18.73,36.47,10.869,556
2022-02-06T00:00:00.000Z,9.77,71.47,33.71,21.13,42.32,12.803,552
2022-02-07T00:00:00.000Z,8.63,73.95,21.03,16.64,28.76,9.343,556
2022-02-08T00:00:00.000Z,2.75,37.63,9.19,6.53,18.52,9.028,535
2022-02-09T00:00:00.000Z,0.77,18.95,8.1,5.95,11.29,3.452,525
2022-02-10T00:00:00.000Z,1.8,21.75,6.88,5.64,8.47,2.409,528
2022-02-11T00:00:00.000Z,2.75,15.43,8.88,7.57,10.35,2.031,426
2022-02-12T00:00:00.000Z,2.08,11.9,5.72,4.78,6.72,1.516,487
2022-02-13T00:00:00.000Z,1.65,16.05,7.28,5.95,8.93,2.141,551
2022-02-14T00:00:00.000Z,4.43,27.6,12.68,8.84,14.48,3.505,565
