date,min,max,median,q1,q3,stdev,count
29.10.2021 00:00,6.03,455.08,8.22,7.28,11.27,47.883,86
30.10.2021 00:00,7.28,1387.03,15.73,12.45,24.65,64.659,540
31.10.2021 00:00,11.63,49.7,24.92,20.52,33.88,8.525,527
01.11.2021 00:00,19.48,479.15,43.03,37.49,83.92,55.481,536
02.11.2021 00:00,16.98,451.92,76.01,44.7,93.9,58.892,406
03.11.2021 00:00,9.02,62.03,26.87,20.45,33.15,9.198,464
04.11.2021 00:00,7.2,50.65,17.54,13.41,22.06,7.647,528
05.11.2021 00:00,9.19,62.45,29.27,15.68,37.08,12.244,546
06.11.2021 00:00,2.75,61.72,8.03,6.5,9.4,4.471,522
01.02.2022 00:00,4.07,48.58,10.69,7.93,18.47,9.944,332
02.02.2022 00:00,4.55,25.13,10.07,8.69,12.23,2.611,521
03.02.2022 00:00,8.4,59.13,33.72,19.2,41.75,12.7,435
04.02.2022 00:00,17.39,124.1,37.1,32.7,45.25,14.742,347
05.02.2022 00:00,7.85,70.59,24.42,18.73,36.47,10.869,556
06.02.2022 00:00,9.77,71.47,33.71,21.13,42.32,12.803,552
07.02.2022 00:00,8.63,73.95,21.03,16.64,28.76,9.343,556
08.02.2022 00:00,2.75,37.63,9.19,6.53,18.52,9.028,535
09.02.2022 00:00,0.77,18.95,8.1,5.95,11.29,3.452,525
10.02.2022 00:00,1.8,21.75,6.88,5.64,8.47,2.409,528
11.02.2022 00:00,2.75,15.43,8.88,7.57,10.35,2.031,426
12.02.2022 00:00,2.08,11.9,5.72,4.78,6.72,1.516,487
13.02.2022 00:00,1.65,16.05,7.28,5.95,8.93,2.141,551
14.02.2022 00:00,4.43,27.6,12.68,8.84,14.48,3.505,565
15.02.2022 00:00,6.75,27.45,15.1,12.88,16.98,3.225,572
16.02.2022 00:00,6.85,33.2,19.64,15.47,23.39,5.343,565
17.02.2022 00:00,10.23,44.85,20.9,17.45,27.44,6.543,540
18.02.2022 00:00,1.9,26.05,7.38,6.07,11.27,3.963,538
19.02.2022 00:00,2.85,39.35,7.72,6.78,8.98,2.32,527
20.02.2022 00:00,2,11.5,5.4,4.57,6.22,1.414,539
21.02.2022 00:00,3.03,24.35,9.77,8.32,11.49,3.021,433
22.02.2022 00:00,4.2,31.83,7.47,6.55,8.63,2.602,516
23.02.2022 00:00,2.83,12.23,5.9,5.24,6.62,1.294,389
24.02.2022 00:00,4.59,21.77,8.5,7.21,9.75,2.168,432
25.02.2022 00:00,3.5,66.25,12.63,10.25,15.35,4.361,552
26.02.2022 00:00,4.47,33.1,12.23,9.19,15.32,4.138,567
27.02.2022 00:00,2.42,30.45,8.05,6.28,10.33,3.398,569
28.02.2022 00:00,6.2,91.35,14.8,11.39,23.37,13.926,560
01.03.2022 00:00,8.68,125.25,23.92,17.77,32.78,13.37,574
02.03.2022 00:00,9.65,115.15,21.8,17.17,28.4,11.14,539
03.03.2022 00:00,7.4,75.03,18.17,14.64,31.14,13.046,545
04.03.2022 00:00,3.35,43.28,11.49,8.1,15.6,5.032,538
05.03.2022 00:00,3.08,20.77,8.35,7.04,9.82,2.522,540
06.03.2022 00:00,4.32,101.8,9.25,7.52,10.99,4.838,516
07.03.2022 00:00,3.3,23.65,8.77,6.5,11.23,3.905,551
08.03.2022 00:00,5.18,32,9.99,8.9,11.45,2.893,556
09.03.2022 00:00,2.85,66.9,10.48,8.74,12.76,4.466,561
10.03.2022 00:00,3.45,43.65,10.74,8.38,14.25,4.576,562
11.03.2022 00:00,5.82,1035.2,11.73,9.59,14.46,44.016,549
12.03.2022 00:00,6.78,36.72,12.95,10.85,15.67,3.868,549
13.03.2022 00:00,4.38,20.35,10.4,8.86,11.75,2.327,553
14.03.2022 00:00,4,26.85,9.73,7.54,13.41,4.358,561
15.03.2022 00:00,3.33,39.03,8.77,6.97,10.87,4.136,564
16.03.2022 00:00,7.3,44.53,15.02,13.02,18.35,4.937,549
17.03.2022 00:00,6.65,48.33,17.8,13.17,24.39,7.955,556
18.03.2022 00:00,7.03,78.56,17.14,13.37,22.83,8.627,540
19.03.2022 00:00,6.9,64.53,17.88,13.82,22.13,8.039,570
20.03.2022 00:00,6.28,28.67,13.3,10.82,16.89,4.253,558
21.03.2022 00:00,8.23,136.97,15.37,12.82,21.33,11.607,538
22.03.2022 00:00,5.7,45.92,13.18,10.32,16.6,5.949,569
23.03.2022 00:00,7.7,84.15,23.44,14.23,53.4,21.693,556
24.03.2022 00:00,11.93,146.63,42.04,27.02,55.08,20.488,546
25.03.2022 00:00,11.5,58.83,21.25,17.48,31.4,9.291,558
26.03.2022 00:00,1.55,27.3,7.58,4.05,15.67,6.49,552
27.03.2022 00:00,0.88,12.65,3.38,2.6,4.59,1.761,548
28.03.2022 00:00,0.8,61.13,6,4.34,9.19,5.997,567
29.03.2022 00:00,2.47,17.13,7.93,5.94,10.01,2.883,557
30.03.2022 00:00,2.95,33.78,9.43,7.28,12.27,5.515,555
31.03.2022 00:00,4.34,70.47,17.89,13.4,25.3,9.757,570
01.04.2022 00:00,4.75,27.48,9.88,8.15,12.38,3.113,546
02.04.2022 00:00,4.13,18.42,8.99,7.97,10.26,1.925,496
03.04.2022 00:00,3.95,27.45,8.18,7.28,10.25,3.679,570
04.04.2022 00:00,4.03,51.6,8.65,7.18,12.57,6.215,566
05.04.2022 00:00,5.13,24.5,9.43,7.88,13.25,4.093,559
06.04.2022 00:00,1.65,15.3,5.53,4.09,7.32,2.87,562
07.04.2022 00:00,5.35,36.63,13.88,9.48,18.39,5.906,569
08.04.2022 00:00,7.88,26.8,12.05,10.64,13.93,2.588,576
09.04.2022 00:00,6.13,23.52,9.35,8.32,10.77,2.253,550
10.04.2022 00:00,3.9,100.25,14.55,10.13,20.13,10.785,551
11.04.2022 00:00,4.4,35.65,9,7.5,10.88,3.651,547
12.04.2022 00:00,2.92,39.15,19.27,12.57,22.77,7.419,568
13.04.2022 00:00,4.57,66.9,12.34,9.35,15.2,4.244,558
14.04.2022 00:00,3.83,58.67,9.8,7.35,19.14,10.655,562
15.04.2022 00:00,5.45,40.95,17.05,11.88,21.75,7.151,564
16.04.2022 00:00,3.13,30.6,6.52,5.45,8.55,3.821,578
17.04.2022 00:00,3.15,29.27,8.6,6.9,10.7,3.236,557
18.04.2022 00:00,5.5,29.63,9.91,8.35,11.82,3.002,546
19.04.2022 00:00,5.35,44.28,11.65,9.55,13.5,3.712,559
20.04.2022 00:00,6.68,46.78,10.51,9.49,13.05,5.014,180
25.04.2022 00:00,15.65,27.45,22.22,19.73,23.88,2.748,74
26.04.2022 00:00,6.07,28.3,10.6,9,13.15,4.901,535
27.04.2022 00:00,4.15,26.5,8.3,7.1,9.49,2.34,520
28.04.2022 00:00,3.45,53.83,8.8,7.5,10.77,4.106,530
29.04.2022 00:00,3.92,37.63,8.76,7.25,10.94,3.804,532
30.04.2022 00:00,3.88,43.88,7.96,6.75,17.7,7.777,570
01.05.2022 00:00,5.3,76.06,10.9,8.3,15.18,6.53,509
02.05.2022 00:00,4.9,24.5,10.32,8.27,13.03,4.017,460
03.05.2022 00:00,4.3,17.55,9.38,7.72,11.32,2.427,531
04.05.2022 00:00,2.92,13.73,6.3,5.44,7.25,1.373,576
05.05.2022 00:00,3.8,37,8.05,6.63,10.86,4.755,541
06.05.2022 00:00,5.75,24.52,10.7,9.55,12.05,2.015,544
07.05.2022 00:00,5.38,21.5,9.55,8.44,11.18,2.459,567
08.05.2022 00:00,5.63,24.73,13.35,8.94,15.32,3.662,561
09.05.2022 00:00,2.9,14.23,6.45,5.53,7.5,1.681,531
10.05.2022 00:00,1.95,100.53,5.82,4.72,7.32,5.208,495
11.05.2022 00:00,3.67,60.6,8.32,6.55,14.3,9.446,502
12.05.2022 00:00,2.02,160.38,11.81,9.02,14.77,11.825,508
13.05.2022 00:00,2.88,15.05,6.18,5.35,7.06,1.471,509
14.05.2022 00:00,3.28,19.23,7.55,6.22,9.43,2.282,533
15.05.2022 00:00,4.13,13.95,7.1,6.18,8.35,1.649,528
16.05.2022 00:00,1.98,14.73,4.78,3.96,5.64,1.435,512
17.05.2022 00:00,3.3,22.35,9.15,7,10.75,2.601,535
18.05.2022 00:00,3.33,18.42,6.57,5.6,7.63,1.663,523
19.05.2022 00:00,5.53,24.27,8.63,7.55,10.45,3.119,522
20.05.2022 00:00,4.07,42.95,9.13,6.7,12.38,4.08,506
21.05.2022 00:00,5.53,46.6,11.85,9.25,15.8,7.53,519
22.05.2022 00:00,5.4,23.75,8.56,7.5,9.93,2.319,494
23.05.2022 00:00,4.7,46.38,9.1,7.68,10.6,4.747,515
24.05.2022 00:00,3.15,113.65,7.22,6.22,8.55,5.122,508
25.05.2022 00:00,4.57,40.95,7.07,6.15,8.3,2.689,497
26.05.2022 00:00,5.35,32.7,10.07,8.44,12.15,3.142,499
27.05.2022 00:00,2.85,13.88,7.43,6.63,8.5,1.605,478
28.05.2022 00:00,4.43,51.92,9.23,7.55,11.8,3.979,521
29.05.2022 00:00,3.3,23.95,7.38,5.97,9.1,3.055,435
30.05.2022 00:00,4.03,22.67,8.3,6.88,10.48,3.067,442
31.05.2022 00:00,5.97,58.4,13.59,11.1,19.47,9.904,472
01.06.2022 00:00,5.2,76.65,12.89,9.63,20.9,19.04,488
02.06.2022 00:00,7.78,17.82,11.77,10.59,13.53,2.154,140
03.06.2022 00:00,4.9,27.9,10.34,8.4,11.92,3.185,296
04.06.2022 00:00,5.63,120.53,9.3,7.77,30.65,22.235,425
05.06.2022 00:00,5.07,27.17,9.34,7.77,13.01,4.335,416
06.06.2022 00:00,5.09,45.47,10.69,8.56,14.12,7.753,352
07.06.2022 00:00,3.55,38.95,8.18,6.07,15.02,6.402,523
08.06.2022 00:00,4.97,66.31,14.17,8.3,21.7,9.025,494
09.06.2022 00:00,6.47,69.18,15.27,9.44,22.25,9.864,499
10.06.2022 00:00,7.18,43.4,12.65,10,18.67,6.406,385
11.06.2022 00:00,7.88,49.78,18.86,12.99,23.48,6.358,412
12.06.2022 00:00,6.88,34.53,9.98,8.8,12.5,5.031,479
13.06.2022 00:00,6,62.17,16.32,10.99,23.74,12.188,417
14.06.2022 00:00,6,66.38,13.14,9.8,45.79,19.529,288
15.06.2022 00:00,3.53,97.8,7.76,6.35,9.73,6.726,304
16.06.2022 00:00,3.97,31.38,8.07,6.53,10.19,3.123,471
17.06.2022 00:00,3.85,45.5,10.85,8.23,13.2,4.615,427
18.06.2022 00:00,4.18,42.5,8.8,6.65,11.93,6.269,499
19.06.2022 00:00,5.57,16.8,8.27,7.28,9.68,1.813,347
20.06.2022 00:00,5.47,20.83,9.02,7.85,10.5,2.388,297
21.06.2022 00:00,7.4,36.25,14.52,11.83,18.38,4.922,353
22.06.2022 00:00,6.38,39.6,11.55,9.77,15.73,5.804,320
23.06.2022 00:00,5.97,159.44,11.35,8.48,14.88,16.93,299
24.06.2022 00:00,5.35,45,13.02,9.68,17.12,5.92,549
25.06.2022 00:00,6.28,53.8,14.88,10.29,19.39,7.274,565
26.06.2022 00:00,7.03,193.75,16,9.94,24.87,11.062,561
27.06.2022 00:00,9.68,62.33,16.05,14.23,19.63,8.974,538
28.06.2022 00:00,5.18,34.38,17.07,8.88,22.6,7.67,210
29.06.2022 00:00,5.65,33.92,10.01,8.07,16,5.584,458
30.06.2022 00:00,4.72,43.42,9.32,7.57,11.48,5.465,503
01.07.2022 00:00,5.2,36.72,11.34,9.19,15.07,5.153,438
02.07.2022 00:00,7.13,101.1,11.55,9.65,16.32,15.316,406
03.07.2022 00:00,7.43,81.3,13.17,11.53,15.79,8.887,392
04.07.2022 00:00,8.35,43.9,14.77,11.68,20.1,5.765,547
05.07.2022 00:00,9.18,42.67,20.23,15.5,25,5.77,419
06.07.2022 00:00,12.25,34.04,19.18,15.57,24.53,5.459,272
07.07.2022 00:00,12.45,33.13,17.27,15.73,24.7,4.982,200
