date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,11.93,30.75,22.92,16.72,25.06,4.335,311
2019-12-10T00:00:00.000Z,10.85,70.44,39.67,20.66,46.98,15.805,407
2019-12-11T00:00:00.000Z,2.38,71.78,15.08,9.15,33.15,16.442,409
2019-12-12T00:00:00.000Z,11.05,44.92,20.9,18.1,29.42,7.801,445
2019-12-13T00:00:00.000Z,7.17,42.07,20.07,17.04,23.22,5.492,535
2019-12-14T00:00:00.000Z,13.32,32.88,22.62,20.32,24.7,3.716,366
2019-12-15T00:00:00.000Z,3.9,51.28,24.24,19.02,31.23,11.974,506
2019-12-16T00:00:00.000Z,6.76,23.97,14.07,11.99,15.63,2.75,285
2019-12-17T00:00:00.000Z,1.76,24.84,11.47,8.59,17.1,5.902,167
2019-12-18T00:00:00.000Z,12.2,58.81,22.4,19.42,47.75,14.776,355
2019-12-19T00:00:00.000Z,0.55,15.28,2.73,1.63,4.22,2.81,423
2019-12-20T00:00:00.000Z,0.6,27.37,7.89,5,11.43,5.116,538
2019-12-21T00:00:00.000Z,4.47,44.7,14.53,10.02,26.85,11.325,560
2019-12-22T00:00:00.000Z,35.52,100.52,50.8,45.65,62.71,12.688,557
2019-12-23T00:00:00.000Z,23.22,65.83,42.08,32.65,52.36,10.877,501
2019-12-24T00:00:00.000Z,22.65,88.05,44.45,34.26,54.74,13.667,574
2019-12-25T00:00:00.000Z,22.06,71.75,48.14,37.36,55.21,10.485,369
2019-12-26T00:00:00.000Z,29.56,91.06,60.01,49.71,73.01,14.305,564
2019-12-27T00:00:00.000Z,6.8,50.07,26.67,17.3,32.77,9.541,551
2019-12-28T00:00:00.000Z,3.87,32.54,10.87,8.06,14.18,6.366,559
2019-12-29T00:00:00.000Z,3.97,22.95,12.26,7.25,14.64,4.132,561
2019-12-30T00:00:00.000Z,3.23,17.85,10.03,5.13,12.25,3.828,576
2019-12-31T00:00:00.000Z,3.78,61.76,9.77,6.84,14.72,7.837,538
2020-01-01T00:00:00.000Z,0.74,13.41,3.53,2.2,4.87,2.188,547
2020-01-02T00:00:00.000Z,3,14.38,5.57,4.75,6.35,1.371,518
2020-01-03T00:00:00.000Z,2.23,21.8,11.68,6.11,14.73,4.71,545
2020-01-04T00:00:00.000Z,6.3,50.78,24.93,19.32,32.7,9.589,553
2020-01-05T00:00:00.000Z,0.97,9.59,3.35,2.69,4.01,1.444,556
2020-01-06T00:00:00.000Z,1.14,9.74,3.49,2.56,4.51,1.404,468
2020-01-08T00:00:00.000Z,7.12,19.95,11.77,10.13,13.87,2.643,161
2020-01-09T00:00:00.000Z,2.9,29.1,13.62,8.1,19.76,7.032,515
2020-01-10T00:00:00.000Z,3.7,22,12.27,8.44,15.95,4.334,279
2020-01-11T00:00:00.000Z,9.66,42.3,24.96,21.41,29.94,6.069,197
2020-01-12T00:00:00.000Z,2.43,12.8,6.47,4.84,9.52,2.685,302
2020-01-13T00:00:00.000Z,1.21,7.9,3.85,2.96,5.01,1.352,479
2020-01-14T00:00:00.000Z,1.14,9.32,3.68,2.74,4.57,1.338,427
2020-01-15T00:00:00.000Z,4.07,26.88,13.79,7.64,19.23,6.311,454
2020-01-16T00:00:00.000Z,19.38,36.82,28.7,26.18,31.27,3.533,461
2020-01-17T00:00:00.000Z,5.08,20.68,9.77,7.74,12.67,3.171,457
2020-01-18T00:00:00.000Z,5.01,26.7,13.21,9.69,17.84,4.587,492
2020-01-19T00:00:00.000Z,11.9,26.73,18.73,15.82,21.38,3.38,459
2020-01-20T00:00:00.000Z,0.97,16.89,3.64,2.6,6.05,4.232,352
2020-01-21T00:00:00.000Z,0.8,14.8,3.1,2.16,4.05,2.534,449
2020-01-22T00:00:00.000Z,3.05,5.82,3.92,3.56,4.57,0.81,17
2020-01-23T00:00:00.000Z,1.35,6,2.73,2.19,3.49,1.032,80
2020-01-24T00:00:00.000Z,1.28,11.62,4.5,3.33,6.57,2.155,264
2020-01-25T00:00:00.000Z,0.32,14.45,2.16,1.5,2.95,1.24,295
2020-01-26T00:00:00.000Z,1,10.6,3.22,2.08,4.63,1.881,293
2020-01-27T00:00:00.000Z,0.43,15.4,2.66,1.55,5.04,2.492,241
2020-01-28T00:00:00.000Z,4.2,59.18,11.74,6.87,22.65,15.667,260
2020-01-29T00:00:00.000Z,36.42,105.5,65.75,51.27,74.91,16.299,297
2020-01-30T00:00:00.000Z,6.26,42.09,14.17,9.15,26.11,8.894,281
2020-01-31T00:00:00.000Z,8.86,43.85,20.75,14.09,31.34,9.064,276
2020-02-01T00:00:00.000Z,18.34,51.05,30.79,26.15,35.4,6.617,322
2020-02-02T00:00:00.000Z,2.4,50.2,10.91,5.44,19.98,13.583,330
2020-02-03T00:00:00.000Z,0.52,6.93,2.65,1.56,3.66,1.325,306
2020-02-04T00:00:00.000Z,0.66,7.47,2.23,1.49,3.06,1.169,237
