date,min,max,median,q1,q3,stdev,count
09.12.2019 00:00,10.37,20.9,17.78,12.48,18.75,3.178,311
10.12.2019 00:00,9.6,35.39,24.11,15.78,26.08,6.881,407
11.12.2019 00:00,1.27,59.25,8.57,5.29,21.27,9.691,409
12.12.2019 00:00,7.82,24.28,14.84,13.75,19.13,3.31,445
13.12.2019 00:00,5.25,30.65,14.28,12.54,16.26,4.08,535
14.12.2019 00:00,10.45,20.66,15.79,13.87,16.82,2.087,366
15.12.2019 00:00,3.38,26.52,16.22,13.28,19.73,6.179,506
16.12.2019 00:00,5.92,14,9.93,9.13,10.93,1.618,285
17.12.2019 00:00,0.95,17.55,8.83,2.88,13.6,4.99,167
18.12.2019 00:00,9.5,36.78,15.13,13.77,29.9,8.843,356
19.12.2019 00:00,0.25,10.96,0.65,0.52,0.79,2.036,423
20.12.2019 00:00,0.5,7.38,2.76,1.76,4.38,1.857,538
21.12.2019 00:00,2.45,25.97,5.58,4.17,15.86,7.4,560
22.12.2019 00:00,21.48,41.28,27.44,25.25,32.24,4.501,557
23.12.2019 00:00,16.45,35.88,27.26,21.93,30.8,5.123,501
24.12.2019 00:00,17.46,44.75,27.17,22.34,32.77,6.416,574
25.12.2019 00:00,13.88,37.07,25.93,20.34,30.26,5.677,369
26.12.2019 00:00,16.94,45.82,33.54,27.68,38.46,6.462,564
27.12.2019 00:00,5.22,30,18.62,12.85,21.55,5.525,551
28.12.2019 00:00,3.33,20.68,6.56,4.68,8.48,4.081,559
29.12.2019 00:00,3.4,13.6,7.78,5.07,10.49,2.818,561
30.12.2019 00:00,2.06,10.25,6.67,3,7.99,2.462,576
31.12.2019 00:00,3.05,47.74,7.07,4.98,10.67,6.09,538
01.01.2020 00:00,0.45,10.4,1.74,1.03,2.5,1.569,547
02.01.2020 00:00,1.8,5.82,2.85,2.47,3.25,0.648,518
03.01.2020 00:00,1.55,12.67,7.4,3.21,9.14,2.965,545
04.01.2020 00:00,4.08,28.85,15.92,12.31,19.55,5.549,553
05.01.2020 00:00,0.45,4.8,1.5,1.2,1.9,0.738,556
