date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
14.10.2020,8.8,749.1,763.5,-0.2,97,"Штиль, безветрие",0,,,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,,8.4,,,,,,,21.27,62.25,35.45,28.73,42.8,8.836,155
15.10.2020,12.4,747.1,761.3,-0.2,91,"Штиль, безветрие",0,,,100%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,11.0,,,,,,,1.4,43.8,7.97,4.34,21.55,9.534,403
16.10.2020,11.3,743.7,757.9,-0.1,63,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,4.4,,,,,,,0.4,32.42,4.34,2.85,6.15,3.867,418
17.10.2020,3.6,749.5,764.2,1.3,80,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,0.5,,,,,,,1.62,56.2,9.11,5.0,12.74,7.051,440
18.10.2020,1.8,745.7,760.4,-3.0,91,"Ветер, дующий с востоко-юго-востока",1,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,,0.4,,,,,,,0.45,88.2,2.47,1.73,4.76,5.934,421
19.10.2020,2.2,740.4,755.0,0.8,84,"Ветер, дующий с юга",1,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.3,,,,,,,0.4,30.27,2.25,1.63,3.47,2.766,422
20.10.2020,2.8,743.0,757.6,-0.8,80,"Ветер, дующий с юга",1,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-0.3,,,,,,,0.4,82.28,2.13,1.27,3.65,6.569,427
21.10.2020,1.4,750.3,765.1,1.4,82,"Ветер, дующий с западо-северо-запада",1,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-1.3,,,,,,,0.5,55.78,4.0,2.92,5.57,5.047,427
22.10.2020,2.6,749.8,764.6,-0.5,93,"Штиль, безветрие",0,,,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,1.6,,,,,,,5.4,69.31,12.3,10.3,14.75,5.699,421
23.10.2020,7.4,740.4,754.7,-2.4,95,"Штиль, безветрие",0,,,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,Высокослоистые непросвечивающие или слоисто-дождевые.,,,6.6,,,,,,,1.2,80.5,4.95,3.4,7.69,6.304,405
24.10.2020,10.3,738.7,752.8,0.3,89,"Ветер, дующий с западо-северо-запада",1,,,70 – 80%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,8.5,,,,,,,0.93,44.72,3.66,2.5,5.46,3.353,424
25.10.2020,8.2,742.6,756.8,0.0,94,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,7.3,,,,,,,0.98,25.05,3.35,2.44,4.97,3.018,441
26.10.2020,8.9,749.7,764.1,1.3,86,"Ветер, дующий с западо-северо-запада",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,6.6,,,,,,,1.38,29.45,4.57,3.05,8.5,6.005,443
30.10.2020,4.8,750.5,765.0,-0.7,81,"Ветер, дующий с юго-юго-востока",1,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,1.8,,,,,,,8.0,39.67,13.68,11.67,16.8,5.68,208
31.10.2020,5.7,748.4,763.0,0.2,84,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,,3.1,,,,,,,7.38,152.75,19.75,16.39,23.35,11.822,468
01.11.2020,6.9,753.7,768.4,0.4,84,"Ветер, дующий с северо-востока",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,,4.3,,,,,,,2.37,75.81,6.4,4.65,11.75,11.981,475
02.11.2020,4.1,752.7,767.5,-0.4,96,"Ветер, дующий с востока",1,,,100%.,Дымка. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,3.5,,,,,,,3.88,104.88,9.44,6.71,13.5,8.79,444
03.11.2020,6.1,753.1,767.7,-0.1,94,"Ветер, дующий с востоко-юго-востока",1,,,100%.,Дождь (незамерзающий) неливневый. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,200-300,,,,5.2,,,,,,,9.38,70.31,18.5,14.38,22.34,6.37,445
04.11.2020,8.7,755.6,770.2,0.2,87,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,300-600,,,,6.6,,,,,,,4.45,74.31,11.98,8.74,14.99,7.824,345
05.11.2020,8.3,754.6,769.1,-1.1,83,"Ветер, дующий с юго-запада",1,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,5.5,,,,,,,1.77,14.0,4.42,3.55,5.49,1.735,328
06.11.2020,6.5,745.0,759.4,-2.3,80,"Ветер, дующий с западо-юго-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,3.3,,,,,,,0.6,87.3,4.84,3.32,6.63,7.103,344
07.11.2020,5.4,744.8,759.4,0.6,75,"Ветер, дующий с западо-северо-запада",1,,11.0,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,1.2,,,,,,,1.42,22.67,4.7,3.28,6.97,3.521,379
08.11.2020,5.9,747.7,762.2,-1.2,84,"Ветер, дующий с запада",1,,,"90  или более, но не 100%",Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,3.4,,,,,,,0.38,78.5,2.69,1.63,5.03,9.971,356
09.11.2020,2.6,750.0,764.8,1.8,81,"Ветер, дующий с северо-запада",2,,,Облаков нет., ,,,,,,,,,,,-0.4,,,,,,,0.93,88.95,3.29,2.45,4.93,7.704,282
10.11.2020,2.0,751.3,766.2,-0.3,89,"Ветер, дующий с запада",1,,10.0,100%.,Снег непрерывный слабый в срок наблюдения. ,Дождь со снегом или другими видами твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,,0.4,,,,,,,0.56,43.92,3.58,2.13,6.8,9.01,334
11.11.2020,1.9,756.9,771.8,0.7,77,"Ветер, дующий с северо-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-1.7,,,,,,,0.93,51.28,5.15,3.17,7.45,5.779,343
12.11.2020,-1.3,759.4,774.6,0.6,90,"Штиль, безветрие",0,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-2.8,,,,,,,2.02,22.08,5.35,4.13,8.02,3.717,287
13.11.2020,2.6,759.1,774.1,0.4,90,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,1.1,,,,,,,1.5,45.92,6.8,4.87,9.56,5.974,304
14.11.2020,2.6,758.4,773.3,-0.2,94,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,,1.7,,,,,,,5.57,25.88,10.4,7.82,14.07,3.899,339
15.11.2020,1.6,756.7,771.7,0.2,93,"Ветер, дующий с юго-востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,,0.6,,,,,,,2.2,18.2,7.09,5.6,8.9,2.613,288
16.11.2020,0.8,759.8,774.9,0.4,84,"Ветер, дующий с юго-юго-востока",2,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-1.7,,,,,,,2.23,24.7,4.13,3.34,5.0,2.498,276
17.11.2020,-4.2,763.5,778.9,0.6,64,"Ветер, дующий с юго-юго-востока",3,,,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-10.1,,,,,,,3.5,44.72,5.93,4.97,7.85,5.202,310
18.11.2020,-5.3,764.4,779.9,-0.4,77,"Ветер, дующий с юга",2,,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-8.7,,,,,,,1.75,32.38,4.53,3.4,6.17,4.233,369
19.11.2020,-2.0,757.0,772.1,-0.7,92,"Ветер, дующий с юго-юго-запада",2,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-3.1,,,,,,,1.08,29.27,6.75,2.41,9.3,5.082,361
20.11.2020,0.9,748.8,763.6,-0.6,89,"Ветер, дующий с юга",2,,12.0,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.7,,,,,,,3.4,133.63,9.69,7.09,11.91,15.627,364
21.11.2020,0.2,753.1,768.0,1.2,93,"Ветер, дующий с юга",1,,,100%.,Дымка. ,Дождь со снегом или другими видами твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-0.8,,,,,,,2.04,27.5,3.92,3.25,5.18,3.937,310
22.11.2020,-0.4,756.5,771.6,-0.7,83,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-2.9,,,,,,,1.02,36.92,3.17,2.52,4.13,3.569,303
23.11.2020,-1.4,745.6,760.6,-1.3,90,"Ветер, дующий с юга",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-2.8,,,,,,,2.25,107.3,4.38,3.58,5.97,14.968,274
24.11.2020,2.3,741.8,756.4,-0.5,97,"Ветер, дующий с западо-юго-запада",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,,1.8,,,,,,,0.6,96.32,3.54,2.63,5.8,13.387,282
25.11.2020,1.3,743.9,758.6,0.7,96,"Штиль, безветрие",0,,,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,0.7,,,,,,,0.5,69.84,3.1,2.17,5.22,7.287,294
26.11.2020,0.0,750.1,765.0,0.7,95,"Штиль, безветрие",0,,,100%.,Ливневый снег или ливневый дождь и снег. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-0.7,,,,,,,1.05,19.2,4.7,3.45,6.47,2.99,283
