date,min,max,median,q1,q3,stdev,count
2020-10-14T00:00:00.000Z,10.88,22.98,15.75,12.88,19.32,3.56,155
2020-10-15T00:00:00.000Z,0.7,22.48,2.37,1.6,10.43,4.43,403
2020-10-16T00:00:00.000Z,0.37,8.93,1.85,1.2,2.5,1.036,418
2020-10-17T00:00:00.000Z,1.02,12.02,4.4,2.17,6.86,2.659,440
2020-10-18T00:00:00.000Z,0.4,15.18,1.1,0.84,1.73,1.662,421
2020-10-19T00:00:00.000Z,0.4,7.3,1,0.8,1.25,0.743,422
2020-10-20T00:00:00.000Z,0.38,14.07,0.8,0.7,1.14,1.143,427
2020-10-21T00:00:00.000Z,0.43,9.44,1.7,1.4,2.58,1.064,427
2020-10-22T00:00:00.000Z,3.22,30.38,7.88,6.76,9.26,2.625,421
2020-10-23T00:00:00.000Z,0.73,17.67,1.98,1.39,3.03,2.15,405
2020-10-24T00:00:00.000Z,0.56,4.03,1.42,1,2.24,0.835,424
2020-10-25T00:00:00.000Z,0.63,5.03,1.52,1.12,1.92,0.724,441
2020-10-26T00:00:00.000Z,0.8,11.57,1.88,1.48,3.03,2.551,443
2020-10-30T00:00:00.000Z,5.25,14,7.28,6.62,8.05,1.878,208
2020-10-31T00:00:00.000Z,4.93,48.08,10.85,9.18,12.51,4.086,468
2020-11-01T00:00:00.000Z,1.4,25.88,3.08,2.45,5.43,3.89,475
2020-11-02T00:00:00.000Z,2.67,21.5,5.38,4.01,7.37,2.295,444
2020-11-03T00:00:00.000Z,6.2,18.25,10.9,8.65,13.17,2.684,445
2020-11-04T00:00:00.000Z,2.97,23.73,7.35,5.17,9.43,2.946,345
2020-11-05T00:00:00.000Z,0.9,5.09,1.91,1.45,2.5,0.835,328
2020-11-06T00:00:00.000Z,0.5,14.9,1.46,1.1,1.85,1.274,344
2020-11-07T00:00:00.000Z,0.7,9.63,1.6,1.17,2.04,1.517,379
2020-11-08T00:00:00.000Z,0.3,16,1,0.68,1.3,2.6,356
2020-11-09T00:00:00.000Z,0.56,28.88,1.3,1.02,1.58,2.302,282
2020-11-10T00:00:00.000Z,0.4,27.55,1.27,0.88,2,4.444,334
2020-11-11T00:00:00.000Z,0.6,10.85,2.38,1.1,2.85,1.604,343
2020-11-12T00:00:00.000Z,1.3,5.78,2.6,2.15,3.05,0.782,287
2020-11-13T00:00:00.000Z,1.08,12.48,3.47,2.69,4.63,1.649,304
2020-11-14T00:00:00.000Z,3.9,13.63,6.8,5.13,9.13,2.388,339
2020-11-15T00:00:00.000Z,1.25,9.68,4.34,3.4,5.69,1.689,288
2020-11-16T00:00:00.000Z,1.33,7.82,2.02,1.8,2.42,0.676,276
2020-11-17T00:00:00.000Z,2.25,20.38,3.01,2.7,3.78,2.037,310
2020-11-18T00:00:00.000Z,1.2,20.42,2.1,1.8,2.99,2.399,369
2020-11-19T00:00:00.000Z,0.8,10.93,4.22,1.38,6.12,2.529,361
2020-11-20T00:00:00.000Z,2.29,38.78,5.97,3.69,7.02,5.441,364
2020-11-21T00:00:00.000Z,1.4,18.88,2.27,1.95,2.85,1.91,310
2020-11-22T00:00:00.000Z,0.8,11.35,1.58,1.2,2.2,1.281,303
2020-11-23T00:00:00.000Z,1.3,25.1,2.5,2,3.37,3.818,274
2020-11-24T00:00:00.000Z,0.4,18.57,1.58,1.25,2.2,3.562,282
2020-11-25T00:00:00.000Z,0.4,10.07,1.6,1.2,2.4,1.707,294
2020-11-26T00:00:00.000Z,0.7,8.55,2.17,1.73,2.9,1.311,283
2020-11-27T00:00:00.000Z,2.67,12.07,5.82,4.36,6.76,1.825,277
2020-11-28T00:00:00.000Z,6.3,40.15,9.85,8.68,12.18,5.699,281
2020-11-29T00:00:00.000Z,1.2,137.02,3.22,2,5.78,11.718,287
2020-11-30T00:00:00.000Z,1.2,13.18,3.75,2.37,5.81,2.148,256
2020-12-01T00:00:00.000Z,6.15,19.73,11.82,11.02,12.65,1.956,246
2020-12-02T00:00:00.000Z,9,22.2,13.25,11.77,15.18,3.005,271
2020-12-03T00:00:00.000Z,6.1,14.15,10.5,8.05,11.32,1.905,239
2020-12-04T00:00:00.000Z,6.95,14.13,10.45,9.56,11.34,1.315,269
2020-12-05T00:00:00.000Z,5.28,15.95,10.6,7.45,12.3,2.82,255
2020-12-06T00:00:00.000Z,5.47,33.97,9.63,7.8,10.85,3.124,343
2020-12-07T00:00:00.000Z,8.52,19.02,12.57,10.89,13.54,1.783,292
2020-12-08T00:00:00.000Z,12.93,23.52,17.27,16.32,18.3,1.716,271
2020-12-09T00:00:00.000Z,7.93,18.42,11.8,10.74,12.82,1.606,256
2020-12-10T00:00:00.000Z,5.82,136.25,8.19,7.43,9.75,9.089,260
2020-12-11T00:00:00.000Z,6.33,34.08,10.26,8.9,11.49,3.532,316
2020-12-12T00:00:00.000Z,8.07,18.95,13.87,12.25,15.65,2.338,320
2020-12-13T00:00:00.000Z,4.55,8.98,7.1,6.23,7.75,1.014,300
2020-12-14T00:00:00.000Z,4.63,26.8,12.65,6.82,19.17,6.497,287
2020-12-15T00:00:00.000Z,9.57,23.8,14.45,11.93,18.55,3.679,305
2020-12-16T00:00:00.000Z,6.82,20.6,11.4,10.02,14.88,2.941,307
2020-12-17T00:00:00.000Z,0.8,7.47,2.2,1.55,4.3,1.556,279
2020-12-18T00:00:00.000Z,1,12.52,2.7,1.9,6.82,3.286,307
2020-12-19T00:00:00.000Z,5.53,18.38,9.03,7.57,12.8,2.986,286
2020-12-20T00:00:00.000Z,6.5,25.13,15.82,10.75,18.5,4.729,302
2020-12-21T00:00:00.000Z,5.78,15.23,8.18,7.6,8.76,1.118,296
2020-12-22T00:00:00.000Z,5.8,16.85,9.69,8.19,11.47,2.413,281
2020-12-23T00:00:00.000Z,3.95,18.17,7.43,5.93,8.69,1.996,303
2020-12-24T00:00:00.000Z,8.5,21.77,17.05,14.43,18.52,3.403,279
2020-12-25T00:00:00.000Z,5.09,20.6,9.69,8.77,13.68,3.465,305
2020-12-26T00:00:00.000Z,1.77,20.02,3.2,2.65,7.1,4.816,295
