date,min,max,median,q1,q3,stdev,count
2020-04-25T00:00:00.000Z,1.42,17.17,4.88,3.66,6.63,2.796,136
2020-04-26T00:00:00.000Z,0.5,276.88,4.83,2.41,9.74,23.161,458
2020-04-27T00:00:00.000Z,1.18,46.81,5.57,3.81,9.58,7.946,453
2020-04-28T00:00:00.000Z,0.28,38.65,3.55,2.04,8.69,6.073,352
2020-04-29T00:00:00.000Z,0.25,37.97,3.96,2.24,6.88,4.339,447
2020-04-30T00:00:00.000Z,0.42,14.84,1.88,1.25,3.12,1.898,463
2020-05-01T00:00:00.000Z,1.14,16.88,4.74,3.2,7.79,3.142,325
2020-05-02T00:00:00.000Z,1.49,31.62,6.33,4.42,11.02,5.106,290
2020-05-03T00:00:00.000Z,2.25,156.93,11.26,6.46,21.03,19.54,333
2020-05-04T00:00:00.000Z,2.88,77.48,14.2,8.92,21.04,9.619,359
2020-05-05T00:00:00.000Z,2,20.39,7.67,5.6,10.42,3.424,405
2020-05-06T00:00:00.000Z,3.4,26.65,10.17,7.85,12.6,3.966,470
2020-05-07T00:00:00.000Z,0.45,27.15,3.54,2.38,5.86,4.073,336
2020-05-08T00:00:00.000Z,0.52,23.75,3.01,1.95,4.61,2.847,317
2020-05-09T00:00:00.000Z,0.52,10.38,2.77,1.95,4.26,1.935,308
2020-05-10T00:00:00.000Z,0.9,8.15,2.67,2,3.7,1.461,205
2020-05-11T00:00:00.000Z,0.3,15.1,1.83,1.06,3.05,2.393,292
2020-05-12T00:00:00.000Z,0.2,14.13,5.59,4.22,7.19,2.58,402
2020-05-13T00:00:00.000Z,0.21,7.6,1.24,0.74,2.04,1.236,405
2020-05-14T00:00:00.000Z,0.51,9.15,2.25,1.51,3.31,1.389,391
2020-05-15T00:00:00.000Z,0.1,14.25,1.76,1.01,3.22,2.494,460
2020-05-16T00:00:00.000Z,0.3,15.84,2.69,1.6,4.08,2.14,302
2020-05-17T00:00:00.000Z,0.2,12.69,2.61,1.62,3.88,1.888,473
2020-05-18T00:00:00.000Z,0.2,8.13,1.36,0.8,2.08,0.965,406
