date,min,max,median,q1,q3,stdev,count
25.04.2020 00:00,1.42,17.17,4.88,3.66,6.63,2.796,136
26.04.2020 00:00,0.5,276.88,4.83,2.41,9.74,23.161,458
27.04.2020 00:00,1.18,46.81,5.57,3.81,9.58,7.946,453
28.04.2020 00:00,0.28,38.65,3.55,2.04,8.69,6.073,352
29.04.2020 00:00,0.25,37.97,3.96,2.24,6.88,4.339,447
30.04.2020 00:00,0.42,14.84,1.88,1.25,3.12,1.898,463
01.05.2020 00:00,1.14,16.88,4.74,3.2,7.79,3.142,325
02.05.2020 00:00,1.49,31.62,6.33,4.42,11.02,5.106,290
03.05.2020 00:00,2.25,156.93,11.26,6.46,21.03,19.54,333
04.05.2020 00:00,2.88,77.48,14.2,8.92,21.04,9.619,359
05.05.2020 00:00,2,20.39,7.67,5.6,10.42,3.424,405
06.05.2020 00:00,3.4,26.65,10.17,7.85,12.6,3.966,470
07.05.2020 00:00,0.45,27.15,3.54,2.38,5.86,4.073,336
08.05.2020 00:00,0.52,23.75,3.01,1.95,4.61,2.847,317
09.05.2020 00:00,0.52,10.38,2.77,1.95,4.26,1.935,308
10.05.2020 00:00,0.9,8.15,2.67,2,3.7,1.461,205
11.05.2020 00:00,0.3,15.1,1.83,1.06,3.05,2.393,292
12.05.2020 00:00,0.2,14.13,5.59,4.22,7.19,2.58,402
13.05.2020 00:00,0.21,7.6,1.24,0.74,2.04,1.236,405
14.05.2020 00:00,0.51,9.15,2.25,1.51,3.31,1.389,391
15.05.2020 00:00,0.1,14.25,1.76,1.01,3.22,2.494,460
16.05.2020 00:00,0.3,15.84,2.69,1.6,4.08,2.14,302
17.05.2020 00:00,0.2,12.69,2.61,1.62,3.88,1.888,473
18.05.2020 00:00,0.2,8.13,1.36,0.8,2.08,0.965,406
19.05.2020 00:00,0.1,13.48,1.3,0.72,2.4,2.093,454
20.05.2020 00:00,0.12,26.87,2.17,1.14,3.68,3.407,464
21.05.2020 00:00,0.26,5.48,0.85,0.52,1.23,0.751,132
22.05.2020 00:00,0.35,3.84,1,0.66,1.37,0.689,136
23.05.2020 00:00,0.25,10.68,1.98,0.96,3.45,1.907,433
24.05.2020 00:00,0.3,25.62,2.65,1.7,5.05,3.637,476
25.05.2020 00:00,0.3,26.4,3.93,2.08,8.55,4.621,446
26.05.2020 00:00,0.45,44.6,4.13,2.66,7.45,5.345,444
27.05.2020 00:00,0.9,26.73,5.22,3.37,7.81,4.099,464
28.05.2020 00:00,0.37,21.4,3.69,2,5.65,3.304,470
29.05.2020 00:00,1.52,35.04,9.5,6.67,12.79,5.354,473
30.05.2020 00:00,1.2,27.33,6.65,4.32,9.3,4.025,458
31.05.2020 00:00,0.4,26.05,2.8,1.69,4.63,2.903,437
01.06.2020 00:00,0.2,30.85,3.42,1.9,5.43,3.181,417
02.06.2020 00:00,0.28,25.15,3.83,2.22,6.43,3.469,467
03.06.2020 00:00,0.73,20.23,5.43,3.46,7.87,3.182,393
04.06.2020 00:00,0.3,16.57,2.31,1.4,3.7,2.25,466
05.06.2020 00:00,0.3,16.25,3.7,2.33,6.1,2.784,381
06.06.2020 00:00,0.82,30.12,9.53,5.26,13.93,5.967,284
