date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,16.43,39.92,30.54,21.76,33.86,6.448,314
2019-12-10T00:00:00.000Z,13.94,90.24,58.68,30.76,66.54,21.187,414
2019-12-11T00:00:00.000Z,3.28,112.74,18.41,10.98,50.36,26.927,414
2019-12-12T00:00:00.000Z,17.27,80.89,30.48,25.51,39.64,11.925,475
2019-12-13T00:00:00.000Z,13.51,52.88,26.9,22.49,31.42,7.016,558
2019-12-14T00:00:00.000Z,19.86,43.12,29.5,25.97,33.69,5.219,401
2019-12-15T00:00:00.000Z,5.28,63.9,29.16,20.89,39.85,14.852,571
2019-12-16T00:00:00.000Z,9.16,38.67,18.3,16.13,20.26,3.686,289
2019-12-17T00:00:00.000Z,1.64,44.76,22.32,18.18,27.35,10.116,287
2019-12-18T00:00:00.000Z,15.24,207.58,41.04,31.38,57.65,21.775,466
2019-12-19T00:00:00.000Z,0.4,23.29,2.06,1.48,3.28,3.308,558
2019-12-20T00:00:00.000Z,0.82,31.39,8.18,4.63,13.15,5.878,584
2019-12-21T00:00:00.000Z,6.88,70.08,17.7,12.13,46.28,19.08,573
2019-12-22T00:00:00.000Z,44.66,105.19,61.55,56.59,74.3,12.836,587
2019-12-23T00:00:00.000Z,21.16,83.7,56,41.7,67.27,16.077,584
2019-12-24T00:00:00.000Z,24.11,91.55,58.57,40.95,70.22,16.126,588
2019-12-25T00:00:00.000Z,30.28,97.76,57.23,43.97,67.03,13.889,572
2019-12-26T00:00:00.000Z,60.88,195.62,100.31,84.39,124.35,23.746,584
2019-12-27T00:00:00.000Z,8.46,83.3,40.96,23.57,54.67,18.071,587
2019-12-28T00:00:00.000Z,4.86,47.42,12.04,8.41,21.64,9.861,587
2019-12-29T00:00:00.000Z,3.87,29.21,13.45,8.74,17.38,5.211,586
2019-12-30T00:00:00.000Z,2.52,26.4,10.6,5.61,14.18,4.8,575
2019-12-31T00:00:00.000Z,5.74,101.1,11,8.9,14.7,9.837,230
2020-01-02T00:00:00.000Z,3.9,22.61,8.02,6.82,9.27,2.18,387
2020-01-03T00:00:00.000Z,3.76,11.45,8.02,6.7,8.96,1.801,61
2020-01-07T00:00:00.000Z,4.47,15.8,8.6,6.85,9.96,2.4,168
2020-01-13T00:00:00.000Z,1.58,13.04,4.86,3.9,6.39,1.844,383
2020-01-14T00:00:00.000Z,1.35,11.4,5.55,3.76,7.34,2.213,437
2020-01-15T00:00:00.000Z,3.28,38.75,17.32,9.23,23.76,9.057,460
2020-01-16T00:00:00.000Z,25.19,52.58,38.65,34.53,43.13,5.458,465
2020-01-17T00:00:00.000Z,6.22,28.66,12.64,9.89,17.72,5.015,467
2020-01-18T00:00:00.000Z,4.68,46.65,16.7,12.22,26.84,8.999,506
2020-01-19T00:00:00.000Z,15.84,39.21,26.35,21.6,29.88,4.935,467
2020-01-20T00:00:00.000Z,1.55,24.68,5.05,3.45,9.19,5.988,328
2020-01-21T00:00:00.000Z,0.74,18.02,4.12,2.99,6.42,3.527,353
2020-01-22T00:00:00.000Z,4.09,9.15,6.18,5.55,7.45,1.433,15
2020-01-23T00:00:00.000Z,2.02,11.23,4.21,3.4,5.4,1.936,76
2020-01-24T00:00:00.000Z,1.25,14.61,5.66,3.44,7.89,2.759,263
2020-01-25T00:00:00.000Z,0.63,8.85,2.6,1.71,3.69,1.385,297
2020-01-26T00:00:00.000Z,0.53,11.86,3.62,2.49,5.35,2.314,303
2020-01-27T00:00:00.000Z,0.4,76.31,2.94,1.5,8.08,6.308,250
2020-01-28T00:00:00.000Z,4.82,74.25,14.68,10.58,30.86,18.871,270
2020-01-29T00:00:00.000Z,51.6,132.38,79.98,71.59,95.54,18.552,313
2020-01-30T00:00:00.000Z,7.68,73.98,20.05,12.51,36.22,13.138,288
2020-01-31T00:00:00.000Z,14.69,56.2,33.54,22.47,43.53,11.445,284
2020-02-01T00:00:00.000Z,21.65,85.9,38.11,33.72,43.38,11.055,326
2020-02-02T00:00:00.000Z,3.75,69.51,14.14,7.69,28.72,15.456,325
2020-02-03T00:00:00.000Z,0.35,11.73,4.13,2.78,5.45,1.98,295
2020-02-04T00:00:00.000Z,0.5,9.02,2.62,1.71,3.9,1.663,245
2020-02-05T00:00:00.000Z,1.64,15.89,4.54,3.42,5.93,2.322,215
2020-02-06T00:00:00.000Z,0.38,12.95,3.02,2,4.5,2.122,224
2020-02-07T00:00:00.000Z,0.62,10.06,2.76,1.84,3.82,1.637,192
