date,min,max,median,q1,q3,stdev,count
09.12.2019 00:00,8.51,17.68,14.46,10.6,15.61,2.615,314
10.12.2019 00:00,8.01,28.34,21.48,14.62,23.48,5.773,414
11.12.2019 00:00,2.21,27.12,6.88,5.46,18.98,7.391,414
12.12.2019 00:00,9.3,25.61,13.33,11.96,15.98,3.157,475
13.12.2019 00:00,6.68,19.29,11.67,10.02,13.08,2.362,558
14.12.2019 00:00,8.68,17.41,12.72,11.6,14.01,1.678,401
15.12.2019 00:00,2.95,21.17,12.62,9.76,15.7,4.902,571
16.12.2019 00:00,4.73,12.34,8.49,7.46,9.48,1.455,289
17.12.2019 00:00,1.02,17.35,10.62,9.14,12.79,4.157,287
18.12.2019 00:00,7.98,30.12,16.02,13.57,20.58,5.502,466
19.12.2019 00:00,0.38,9.43,0.88,0.71,1.04,1.469,558
20.12.2019 00:00,0.79,8.11,2.54,1.87,4.97,1.855,584
21.12.2019 00:00,3.54,25.54,4.79,4.3,17.23,7.386,573
22.12.2019 00:00,18.26,31.26,22.36,20.95,26.26,3.248,587
23.12.2019 00:00,11.04,32.36,22.71,17.78,26.45,5.427,584
24.12.2019 00:00,11.5,36.82,23.06,18.13,26.24,5.318,588
25.12.2019 00:00,12.71,28.76,20.51,15.52,22.72,3.998,572
26.12.2019 00:00,21.95,52.78,32.15,26.65,36.79,5.664,584
27.12.2019 00:00,4.4,27.9,17.26,11.04,21.25,6.22,587
28.12.2019 00:00,2.88,17.14,5.86,4.46,9.75,3.513,587
29.12.2019 00:00,2.88,11.8,6.64,4.68,8.09,2.045,586
30.12.2019 00:00,1.66,9.5,4.62,2.49,6.18,1.938,575
31.12.2019 00:00,3.28,49.2,5.35,4.58,6.9,4.665,230
02.01.2020 00:00,2.35,10.56,3.2,2.95,3.54,0.703,387
03.01.2020 00:00,1.85,3.51,2.8,2.68,2.97,0.337,61
07.01.2020 00:00,2.12,6.82,3.86,3.31,4.59,0.905,168
13.01.2020 00:00,1,3.59,2.04,1.64,2.62,0.64,383
14.01.2020 00:00,0.98,4.96,2.65,1.63,3.5,0.992,437
15.01.2020 00:00,1.88,16.07,8.53,4.38,11.16,3.971,460
16.01.2020 00:00,11.48,22.61,17.26,15.91,18.89,2.093,465
17.01.2020 00:00,2.06,13.18,3.64,3.11,6.21,2.55,467
18.01.2020 00:00,2,17.63,7.25,4.65,11.17,4.29,506
19.01.2020 00:00,7.18,14.51,11.26,9.64,12.4,1.664,467
20.01.2020 00:00,1.08,9.44,2.04,1.58,4.08,2.504,328
21.01.2020 00:00,0.5,5.03,1.67,1.2,2.21,1.053,353
22.01.2020 00:00,0.9,2.95,1.21,1.15,1.62,0.523,15
23.01.2020 00:00,0.9,3,1.73,1.52,1.96,0.38,76
24.01.2020 00:00,0.77,6.37,2.68,1.56,3.45,1.23,263
25.01.2020 00:00,0.55,2.56,1.09,0.89,1.36,0.361,297
26.01.2020 00:00,0.43,5.25,1.23,1,1.76,0.81,303
27.01.2020 00:00,0.4,16.34,1.44,0.92,2.76,1.49,250
28.01.2020 00:00,2.7,22.45,5.96,4.49,13.32,6.09,270
29.01.2020 00:00,19.26,41.22,26.99,24.04,30.95,5.346,313
30.01.2020 00:00,4.91,32.54,9.59,6.7,16.89,5.25,288
31.01.2020 00:00,7.82,24.76,16.84,11.13,20.1,4.709,284
