date,min,max,median,q1,q3,stdev,count
2021-01-07T00:00:00.000Z,19.39,62.15,36.15,31.88,44.5,9.261,107
2021-01-08T00:00:00.000Z,12.35,43.97,20.2,17.45,23.1,4.797,207
2021-01-09T00:00:00.000Z,9.57,29.73,20.56,17.84,23.29,3.79,204
2021-01-10T00:00:00.000Z,9.55,37.17,16.42,13.69,19.89,4.957,201
2021-01-11T00:00:00.000Z,14.45,39.13,25.94,22.7,29,4.891,198
2021-01-12T00:00:00.000Z,7.6,42.92,23.5,20.14,28.4,6.458,203
2021-01-13T00:00:00.000Z,0.98,33.63,11.28,6.54,17.48,6.959,192
2021-01-14T00:00:00.000Z,0.85,34.03,6.25,3.75,10.3,4.907,182
2021-01-15T00:00:00.000Z,0.95,41.17,10.77,7.6,15.94,6.854,197
2021-01-16T00:00:00.000Z,0.5,25.45,7.66,3.75,12,5.7,190
2021-01-17T00:00:00.000Z,0.4,47.38,2.87,1.75,5.07,4.964,174
2021-01-18T00:00:00.000Z,0.43,51.5,11.63,4.5,20.07,10.988,171
2021-01-19T00:00:00.000Z,1.35,40.1,15.08,10.57,20.48,7.278,158
2021-01-20T00:00:00.000Z,1.4,19.57,6.88,4.9,9.02,3.182,187
2021-01-21T00:00:00.000Z,0.63,43.58,14.85,4.84,32.25,13.905,177
2021-01-22T00:00:00.000Z,19.6,126.55,45.75,35.38,79.78,27.897,191
2021-01-23T00:00:00.000Z,25.8,72.5,47.68,41.47,55.65,10.469,186
2021-01-24T00:00:00.000Z,14,75,29.7,22.07,45.78,14.8,193
2021-01-25T00:00:00.000Z,7.75,46.85,18.77,14.4,22.95,6.942,182
2021-01-26T00:00:00.000Z,9.69,50.33,18.92,15.29,24.74,8.476,173
2021-01-27T00:00:00.000Z,1.52,16.64,4.95,3.6,6.97,2.849,178
2021-01-28T00:00:00.000Z,6.1,49.58,16.55,10.86,20.13,6.228,181
2021-01-29T00:00:00.000Z,2.2,33.04,9.77,6.97,13.28,6.353,157
2021-01-30T00:00:00.000Z,1.27,20.3,8.94,6.63,12.02,3.8,181
2021-01-31T00:00:00.000Z,1,31.77,11.89,5.13,18.82,8.192,186
2021-02-01T00:00:00.000Z,0.52,19.7,5.8,3.9,8.25,3.398,159
2021-02-02T00:00:00.000Z,3.27,39.97,17.97,12.56,22.38,7.201,168
2021-02-03T00:00:00.000Z,8.27,33.63,23,16.7,26.7,6.412,79
2021-02-04T00:00:00.000Z,3.8,40.17,23.38,9.75,28.54,10.029,181
2021-02-05T00:00:00.000Z,0.55,20.35,7.28,5.29,10.46,3.485,177
2021-02-06T00:00:00.000Z,0.35,41.7,5.2,3.35,7.8,4.497,170
2021-02-07T00:00:00.000Z,0.2,26.38,4.32,2.25,6.89,3.643,181
2021-02-08T00:00:00.000Z,0.3,33.58,5.57,2.23,9.34,4.589,192
2021-02-09T00:00:00.000Z,0.43,31.1,9.43,3.9,13.85,6.176,179
2021-02-10T00:00:00.000Z,0.2,16.25,3.92,2.04,6.2,3.087,179
2021-02-11T00:00:00.000Z,0.22,24.73,6.18,3.07,10.5,4.92,168
2021-02-12T00:00:00.000Z,0.32,20.9,5.13,3.51,7.7,3.339,181
2021-02-13T00:00:00.000Z,0.22,26.92,2.5,1.51,4.22,3.069,184
2021-02-14T00:00:00.000Z,0.22,11.4,1.54,0.85,2.8,1.914,180
2021-02-15T00:00:00.000Z,0.3,16.75,3.32,1.61,6.04,3.179,180
2021-02-16T00:00:00.000Z,0.5,11.43,3.16,2.06,4.55,2.111,176
2021-02-17T00:00:00.000Z,0.85,19.7,7.75,5.32,10.23,3.448,182
2021-02-18T00:00:00.000Z,0.98,33.92,6.99,4,10.52,4.936,188
2021-02-19T00:00:00.000Z,0.52,32.04,4.38,2.67,6.78,4.234,174
2021-02-20T00:00:00.000Z,2.75,35.9,10.23,7.07,16.21,7.306,185
2021-02-21T00:00:00.000Z,9.05,72.53,27.35,21.67,37.85,12.899,191
2021-02-22T00:00:00.000Z,0.32,27.15,5.74,3.58,9.44,5.057,174
2021-02-23T00:00:00.000Z,0.4,28.33,2.9,1.79,4.97,3.501,169
2021-02-24T00:00:00.000Z,0.4,24.42,5.28,2.7,8.27,4.526,177
2021-02-25T00:00:00.000Z,0,33.25,10.47,0.84,18,9.379,172
2021-02-26T00:00:00.000Z,0.1,10.13,1.9,0.88,3.29,2.167,169
2021-02-27T00:00:00.000Z,0.2,17.13,3.97,2.47,5.32,2.394,187
2021-02-28T00:00:00.000Z,0.7,25.3,6.22,3.55,9.74,4.181,185
2021-03-01T00:00:00.000Z,0.25,21.05,3.01,1.77,7.93,4.905,178
2021-03-02T00:00:00.000Z,0.2,10.63,2.42,1.45,3.57,1.652,185
2021-03-03T00:00:00.000Z,0.15,9.05,1.94,1.01,3.06,1.569,180
2021-03-04T00:00:00.000Z,0.55,9.3,2.25,1.53,3.45,1.586,181
2021-03-05T00:00:00.000Z,0.75,18.05,4,2.6,6.25,2.922,187
2021-03-06T00:00:00.000Z,0.63,17.64,5.05,3.63,7.55,2.994,190
2021-03-07T00:00:00.000Z,0.22,32.9,2.72,1.66,4.84,3.156,200
2021-03-08T00:00:00.000Z,0.28,27.58,2.58,1.26,5.45,3.337,189
2021-03-09T00:00:00.000Z,0.6,37.53,6.13,3.4,8.44,4.565,183
2021-03-10T00:00:00.000Z,0.3,21.88,4.13,2.4,6.75,3.861,182
2021-03-11T00:00:00.000Z,0.25,26.42,3.99,2.29,6.59,3.95,184
2021-03-12T00:00:00.000Z,0.4,16.02,4.47,2.77,6.84,3.278,184
2021-03-13T00:00:00.000Z,2.83,33.97,11.79,8.74,18.54,6.972,192
2021-03-14T00:00:00.000Z,12.85,53.35,23.66,19.35,28.44,7.299,188
2021-03-15T00:00:00.000Z,0.1,44.58,3.31,1.26,23.12,11.716,168
2021-03-16T00:00:00.000Z,8.98,50.78,25.58,17.39,31.88,9.568,162
2021-03-17T00:00:00.000Z,4.82,78.2,21.08,12.21,31.78,13.149,180
2021-03-18T00:00:00.000Z,3.67,63.13,13.18,8.1,29.71,12.808,176
2021-03-19T00:00:00.000Z,2.35,32.92,5.42,4.05,7.17,3.201,172
2021-03-20T00:00:00.000Z,0.9,19.1,5.25,4,7.1,2.455,166
