date,min,max,median,q1,q3,stdev,count
07.01.2021 00:00,9.44,23.4,15.73,13.8,18.27,3.106,107
08.01.2021 00:00,6.35,14.5,10.3,9.23,11.27,1.592,207
09.01.2021 00:00,5.85,14.55,9.86,8.85,10.93,1.449,204
10.01.2021 00:00,4.38,12.38,7.45,6.53,8.49,1.79,201
11.01.2021 00:00,7.63,15.82,11.15,10.18,12.15,1.525,198
12.01.2021 00:00,5.05,18.88,10.5,9.15,12.73,2.57,203
13.01.2021 00:00,0.98,11.55,6.47,4.03,8.4,2.536,191
14.01.2021 00:00,0.85,8.77,3.53,2.47,5.05,1.729,183
15.01.2021 00:00,0.95,15.4,5.78,4.29,8.56,3.119,197
16.01.2021 00:00,0.5,11.85,4.38,2.72,5.9,2.477,190
17.01.2021 00:00,0.4,44.75,2.23,1.35,3.22,3.485,174
18.01.2021 00:00,0.43,22.15,7.6,3.75,12.8,5.381,171
19.01.2021 00:00,1.33,18.77,8.39,6.43,10.45,3.273,158
20.01.2021 00:00,1.17,7.25,3.35,2.67,4.43,1.224,187
21.01.2021 00:00,0.63,20.85,7.65,2.99,15.12,6.036,177
22.01.2021 00:00,10.25,43.2,20.27,16.75,30.85,8.198,191
23.01.2021 00:00,12.38,32.28,20.63,18.5,23.2,3.593,186
24.01.2021 00:00,7.28,34.72,14.52,11.14,23.63,7.204,193
25.01.2021 00:00,5.5,23.4,11.35,9.19,13.38,3.517,182
26.01.2021 00:00,5.95,22.38,10.8,8.64,13.72,3.621,173
27.01.2021 00:00,0.8,9.69,2.57,1.98,3.5,1.607,178
28.01.2021 00:00,3.28,15.77,8.98,5.75,10.55,2.834,181
29.01.2021 00:00,1.85,15.6,5.25,4.17,6.84,2.877,157
30.01.2021 00:00,1.17,10.19,4.93,3.8,6.54,1.974,181
31.01.2021 00:00,0.73,16.67,6.74,2.58,9.57,4.234,186
01.02.2021 00:00,0.52,7.38,2.83,2.04,3.65,1.32,159
02.02.2021 00:00,2.27,18.67,9.17,6.34,11.17,3.388,168
03.02.2021 00:00,4.75,16.89,11.8,9.55,13.4,2.931,79
04.02.2021 00:00,2.5,21.17,12.13,5.29,14.54,4.879,181
05.02.2021 00:00,0.55,7.78,3.88,2.92,4.74,1.265,177
06.02.2021 00:00,0.35,6.9,2.89,2.1,3.78,1.324,170
07.02.2021 00:00,0.2,6.63,2.25,1.4,3.05,1.146,181
08.02.2021 00:00,0.3,7.22,2.69,1.47,3.85,1.687,192
09.02.2021 00:00,0.4,12.07,4.82,2.27,7.25,2.844,179
10.02.2021 00:00,0.2,6.7,1.98,1.35,2.78,1.082,179
11.02.2021 00:00,0.22,10.25,3.37,2.4,4.73,1.994,168
12.02.2021 00:00,0.32,8.07,2.97,2.25,3.81,1.26,181
13.02.2021 00:00,0.22,3.7,1.52,1.12,1.95,0.662,184
14.02.2021 00:00,0.22,4.32,0.95,0.65,1.35,0.601,180
15.02.2021 00:00,0.3,6.53,1.92,1.23,2.88,1.294,180
16.02.2021 00:00,0.5,4.09,2.06,1.48,2.61,0.796,176
17.02.2021 00:00,0.85,8.6,3.71,2.95,4.95,1.377,182
18.02.2021 00:00,0.85,10.18,4.21,2.76,5.45,1.968,188
19.02.2021 00:00,0.52,7.2,2.38,1.75,3.08,1.106,174
20.02.2021 00:00,1.9,16.1,5.13,3.97,8.28,3.315,185
21.02.2021 00:00,4.88,38.45,14.18,11.95,18.89,6.367,191
22.02.2021 00:00,0.32,13.75,3.28,2.27,5,2.469,174
23.02.2021 00:00,0.4,8.19,2.17,1.44,3.21,1.406,169
24.02.2021 00:00,0.4,11.23,3.08,1.95,4.34,1.796,177
25.02.2021 00:00,0,14.63,5.88,0.74,8.41,4.122,172
26.02.2021 00:00,0.1,9.15,1.12,0.72,1.55,0.934,169
27.02.2021 00:00,0.2,5.55,2.08,1.23,2.97,1.186,187
28.02.2021 00:00,0.56,10.82,3.13,1.69,5.05,2.15,185
01.03.2021 00:00,0.25,14.45,1.59,1.08,4.9,2.985,178
02.03.2021 00:00,0.2,2.92,1.05,0.8,1.4,0.487,185
03.03.2021 00:00,0.15,3.45,0.77,0.55,1.14,0.489,180
04.03.2021 00:00,0.45,2.63,1.08,0.88,1.35,0.416,181
05.03.2021 00:00,0.5,5.07,1.95,1.35,2.85,0.993,187
06.03.2021 00:00,0.47,6.8,2.58,1.95,3.67,1.298,190
07.03.2021 00:00,0.22,7.82,1.4,0.9,2.12,1.109,200
08.03.2021 00:00,0.28,7.7,1.3,0.84,2.69,1.274,189
09.03.2021 00:00,0.6,8.35,3.28,2.27,4.25,1.611,183
10.03.2021 00:00,0.3,9.5,2.39,1.63,3.3,1.582,182
11.03.2021 00:00,0.25,7.9,2.29,1.48,3,1.307,184
12.03.2021 00:00,0.4,6.78,2.25,1.74,3.34,1.21,184
13.03.2021 00:00,1.83,14.82,5.82,4.37,9.38,3.449,192
14.03.2021 00:00,6.55,20.52,11.29,9.56,13.48,2.832,188
15.03.2021 00:00,0.1,17.02,2.02,1.09,12.55,5.773,168
16.03.2021 00:00,5.09,25.83,13.24,8.93,16.73,4.673,162
17.03.2021 00:00,2.92,14.63,7.67,5.25,10.14,2.956,180
18.03.2021 00:00,2.1,15.27,6.2,4.43,9.98,3.227,176
19.03.2021 00:00,1.33,9.44,2.97,2.2,3.65,1.141,171
20.03.2021 00:00,0.8,5.18,2.78,2.25,3.4,0.896,166
21.03.2021 00:00,0.5,6.3,2.42,1.76,3.28,1.074,148
22.03.2021 00:00,0.5,6.4,1.92,1.2,2.97,1.292,159
23.03.2021 00:00,0.8,11.88,2.37,1.88,3.13,1.46,202
24.03.2021 00:00,1,7.22,2.6,1.8,5.05,1.728,127
25.03.2021 00:00,0.5,9.82,2.67,1.5,3.9,1.552,161
26.03.2021 00:00,1.98,12.3,6.4,5.22,7.1,1.732,111
27.03.2021 00:00,2.2,35.04,5.43,3.88,6.95,4.632,91
