date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
07.01.2021,-3.8,753.0,768.1,0.2,83,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-6.3,,,,,,,9.44,23.4,15.73,13.8,18.27,3.106,107
08.01.2021,-5.0,748.9,764.1,-0.4,90,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-6.4,,,,,,,6.35,14.5,10.3,9.23,11.27,1.592,207
09.01.2021,-4.9,745.8,760.9,0.6,91,"Ветер, дующий с северо-востока",1,,,100%.,Снег неливневый. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-6.2,,,,,,,5.85,14.55,9.86,8.85,10.93,1.449,204
10.01.2021,-6.6,744.8,760.0,-0.2,89,"Ветер, дующий с северо-северо-востока",2,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-8.2,,,,,,,4.38,12.38,7.45,6.53,8.49,1.79,201
11.01.2021,-9.0,749.9,765.4,0.6,88,"Ветер, дующий с северо-северо-запада",1,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-10.7,,,,,,,7.63,15.82,11.15,10.18,12.15,1.525,198
12.01.2021,-9.4,750.2,765.7,-0.1,85,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-11.5,,,,,,,5.05,18.88,10.5,9.15,12.73,2.57,203
13.01.2021,-11.8,751.2,766.9,0.2,87,"Штиль, безветрие",0,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-13.5,,,,,,,0.98,11.55,6.47,4.03,8.4,2.536,191
14.01.2021,-12.8,746.2,761.8,-2.4,86,"Ветер, дующий с востока",2,,,100%.,Снег непрерывный слабый в срок наблюдения. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,,-14.7,,,,,,,0.85,8.77,3.53,2.47,5.05,1.729,183
15.01.2021,-14.6,741.3,756.9,0.8,82,"Ветер, дующий с северо-северо-запада",1,,,100%.,Состояние неба в общем не изменилось. ,Снег и/или другие виды твердых осадков,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,,-17.0,,,,,,,0.95,15.4,5.78,4.29,8.56,3.119,197
16.01.2021,-15.4,742.9,758.6,-0.6,82,"Ветер, дующий с севера",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-17.8,,,,,,,0.5,11.85,4.38,2.72,5.9,2.477,190
