date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,2.02,17.98,5.15,3.83,6.75,2.369,332
2021-09-08T00:00:00.000Z,1.67,20.88,7.43,4.68,9.63,3.211,457
2021-09-09T00:00:00.000Z,2.85,24.6,7.95,6.67,9.43,2.442,496
2021-09-10T00:00:00.000Z,1.1,31.65,9.24,6.55,11.8,3.964,566
2021-09-11T00:00:00.000Z,2.58,69.28,15.63,11.18,25.35,12.282,573
2021-09-12T00:00:00.000Z,10,48.17,19.16,16.66,22.99,4.703,572
2021-09-13T00:00:00.000Z,1.67,47.83,13.27,9.59,18.79,6.612,573
2021-09-14T00:00:00.000Z,0.3,15.18,3.13,1.91,4.59,2.152,585
2021-09-15T00:00:00.000Z,0.45,60.4,2.67,1.65,4.21,4.104,572
2021-09-16T00:00:00.000Z,0.68,36.7,3.7,2.5,5.3,2.887,558
2021-09-17T00:00:00.000Z,2.29,92.85,8.07,5.82,12.88,5.977,567
2021-09-18T00:00:00.000Z,1.3,23.98,6.78,4.63,9.44,3.932,570
2021-09-19T00:00:00.000Z,1.95,21.27,7.27,5.5,10.07,3.1,570
2021-09-20T00:00:00.000Z,0.88,17.95,3.78,3.08,5.03,2.172,567
2021-09-21T00:00:00.000Z,1.1,59,3.51,2.6,4.7,3.224,570
2021-09-22T00:00:00.000Z,1.17,39.47,6.89,3.84,11.6,7.246,564
2021-09-23T00:00:00.000Z,3.1,47.3,11.82,8.55,15.6,6.197,576
2021-09-24T00:00:00.000Z,1.7,31.33,6.18,4.47,9.4,3.969,574
2021-09-25T00:00:00.000Z,1.2,25.1,11.23,7.43,12.98,4.151,567
2021-09-26T00:00:00.000Z,0.4,14.9,2.92,1.76,4.59,2.811,557
2021-09-27T00:00:00.000Z,2.88,125.8,9.27,7.34,12.64,7.165,449
2021-09-28T00:00:00.000Z,1.85,56.35,8.98,5.45,14.51,6.378,565
2021-09-29T00:00:00.000Z,3.55,249.6,13.68,10.63,18,11.628,554
2021-09-30T00:00:00.000Z,2.75,31.85,10.82,7.6,14.45,4.459,559
2021-10-01T00:00:00.000Z,11.25,70.31,19,16.13,22.96,5.212,537
2021-10-02T00:00:00.000Z,12.57,75.3,23.75,20.6,28.42,5.795,548
2021-10-03T00:00:00.000Z,11.23,65.45,27.02,20.7,40.5,12.844,555
2021-10-04T00:00:00.000Z,11.07,57.08,26.02,18.27,35.97,11.073,553
2021-10-05T00:00:00.000Z,2.58,29.83,9.4,6.85,14.79,6.246,580
2021-10-06T00:00:00.000Z,3.85,29.15,12.64,8.69,16.02,4.759,572
2021-10-07T00:00:00.000Z,6.9,51.4,18.64,14.25,22.85,6.39,571
2021-10-08T00:00:00.000Z,7.22,106.9,20.42,14.98,25.75,7.881,562
2021-10-09T00:00:00.000Z,5.22,41.42,17.48,11.89,23.27,7.245,561
2021-10-10T00:00:00.000Z,5.68,124.63,18.77,14.35,22.12,12.756,565
2021-10-11T00:00:00.000Z,5.75,74.34,18.85,13.22,23.27,7.375,577
2021-10-12T00:00:00.000Z,6.68,213.35,22.95,17.34,29.96,11.353,573
2021-10-13T00:00:00.000Z,13.7,48.95,25.65,21.58,30.73,6.023,563
2021-10-14T00:00:00.000Z,3.08,80.97,22.2,16.2,28.97,9.507,565
2021-10-15T00:00:00.000Z,0.77,31.2,4.28,2.87,5.69,2.476,521
2021-10-16T00:00:00.000Z,3.38,17.52,9.13,7.53,11.02,2.631,574
2021-10-17T00:00:00.000Z,2.33,124.78,8.73,6.71,10.4,5.635,573
2021-10-18T00:00:00.000Z,0.47,74.68,3.03,1.7,5.65,5.191,554
2021-10-19T00:00:00.000Z,0.28,88.15,2.83,1.83,4.47,6.849,585
2021-10-20T00:00:00.000Z,0.4,123,3.2,2.08,4.63,6.055,559
2021-10-21T00:00:00.000Z,3.88,27.63,12.73,10.57,15.38,4.045,562
2021-10-22T00:00:00.000Z,0.28,29.88,3.73,2.08,9.98,4.623,562
2021-10-23T00:00:00.000Z,0.6,17.88,3.65,2.42,5.38,2.385,559
2021-10-24T00:00:00.000Z,0.3,31.95,3.05,1.57,4.78,3.123,568
2021-10-25T00:00:00.000Z,0.7,50.4,4.88,3.64,6.35,3.683,576
2021-10-26T00:00:00.000Z,1.17,30.38,7.53,5.32,9.38,3.338,563
2021-10-27T00:00:00.000Z,1.95,33,10.88,8.77,13.8,4.174,551
2021-10-28T00:00:00.000Z,0.2,22.88,5.5,3.17,8.53,3.882,540
2021-10-29T00:00:00.000Z,1.5,44.83,6.45,4.8,8.65,3.745,562
2021-10-30T00:00:00.000Z,2.15,39.95,10.55,7.15,16.14,6.07,571
2021-10-31T00:00:00.000Z,3.8,54.38,17.05,13.74,23.5,7.269,545
2021-11-01T00:00:00.000Z,12.93,166.68,29.63,24.57,43.41,14.813,545
2021-11-02T00:00:00.000Z,5.47,110.68,49.7,34.56,74.18,22.578,505
2021-11-03T00:00:00.000Z,4.45,54.1,24.3,17.43,32.07,9.937,529
2021-11-04T00:00:00.000Z,1.8,67.06,12.47,8.71,17.85,8.806,568
2021-11-05T00:00:00.000Z,1.9,59.17,27.4,8.65,39.47,15.745,561
