date,min,max,median,q1,q3,stdev,count
07.09.2021 00:00,0.98,8.43,2.12,1.65,2.7,0.858,332
08.09.2021 00:00,1.2,6.93,3.35,1.83,4.93,1.603,457
09.09.2021 00:00,1.85,13.15,4.09,3,4.57,1.043,496
10.09.2021 00:00,0.7,18.5,4.63,3.42,6.43,2.04,566
11.09.2021 00:00,1.52,38.17,7.15,5.12,14.98,7.463,573
12.09.2021 00:00,7.13,27.52,10.3,9.13,13.57,2.971,572
13.09.2021 00:00,0.9,27.67,6.65,5.3,9.66,3.672,573
14.09.2021 00:00,0.3,6.25,0.8,0.7,1,0.385,585
15.09.2021 00:00,0.4,7.18,0.93,0.73,1.2,0.613,572
16.09.2021 00:00,0.6,20.67,1.72,1.17,2.22,1.293,558
17.09.2021 00:00,1.88,26.3,3.5,3,5.22,1.893,567
18.09.2021 00:00,1,11.88,3.19,2.17,4.28,1.69,570
19.09.2021 00:00,1,10.18,3.5,3.08,5.55,1.499,570
20.09.2021 00:00,0.65,10.95,2.2,1.9,2.7,1.121,567
21.09.2021 00:00,0.88,29.48,2.17,1.67,2.72,1.483,570
22.09.2021 00:00,1.08,16.88,3.36,2.17,6.46,3.331,564
23.09.2021 00:00,2.08,27.52,6.56,4.63,7.81,2.989,576
24.09.2021 00:00,1.12,10.05,2.89,2.38,4.45,1.88,574
25.09.2021 00:00,0.8,15.63,6.3,4.25,6.95,2.064,567
26.09.2021 00:00,0.35,7.2,1.3,0.93,1.88,1.737,557
27.09.2021 00:00,1.88,44.88,3.6,3,4.37,2.489,449
28.09.2021 00:00,1.42,13.13,4.15,2.69,6.18,2.083,565
29.09.2021 00:00,2.67,153.85,6.59,5,8.48,6.723,554
30.09.2021 00:00,1.67,15.55,5.6,3.67,7.35,2.173,559
01.10.2021 00:00,6.15,17.95,9.07,7.8,11.18,2.178,537
02.10.2021 00:00,6.7,33.6,11.26,10.29,13.87,2.357,548
03.10.2021 00:00,6.28,22.25,13.77,9.65,17.23,4.308,555
