date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
07.09.2021,6.7,753.9,767.8,0.4,87,"Штиль, безветрие",0,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,4.7,,,,,,,0.98,8.43,2.12,1.65,2.7,0.858,332
08.09.2021,11.8,752.2,765.7,-0.3,90,"Ветер, дующий с северо-запада",1,,,100%.,Дымка. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,1000-1500,,,16.0,10.2,,,,,,,1.2,6.93,3.35,1.83,4.93,1.603,457
09.09.2021,13.7,747.7,761.1,-0.9,89,"Ветер, дующий с северо-запада",1,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.",100%.,600-1000,,,15.0,11.9,,,,,,,1.85,13.15,4.09,3.0,4.57,1.043,496
10.09.2021,14.7,747.6,760.9,-0.3,89,"Ветер, дующий с западо-северо-запада",1,,,Облаков нет.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,,,,,,,12.9,,,,,,,0.7,18.5,4.63,3.42,6.43,2.04,566
11.09.2021,12.4,751.2,764.7,0.7,99,"Штиль, безветрие",0,,,40%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,12.3,,,,,,,1.52,38.17,7.15,5.12,14.98,7.463,573
12.09.2021,13.5,748.4,761.8,-0.5,99,"Штиль, безветрие",0,,,70 – 80%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",2.3,13.3,,,,,,,7.13,27.52,10.3,9.13,13.57,2.971,572
13.09.2021,14.9,745.4,758.7,-0.3,96,"Штиль, безветрие",0,,,Облаков нет.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,,,,,,,,11.0,14.2,,,,,,,0.9,27.67,6.65,5.3,9.66,3.672,573
14.09.2021,16.2,740.2,753.4,0.0,81,"Ветер, дующий с запада",1,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,12.9,,,,,,,0.3,6.25,0.8,0.7,1.0,0.385,585
15.09.2021,9.7,742.3,755.8,-0.3,60,"Ветер, дующий с северо-запада",1,,,40%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистых, перисто-кучевых или перисто-слоистых нет.",,2.2,,,,,,,0.4,7.18,0.93,0.73,1.2,0.613,572
16.09.2021,7.6,747.4,761.1,0.4,82,"Ветер, дующий с запада",1,,,40%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,4.6,,,,,,,0.6,20.67,1.72,1.17,2.22,1.293,558
