date,min,max,median,q1,q3,stdev,count
2020-01-02T00:00:00.000Z,2.59,116.45,81.66,3.81,92.7,44.953,48
2020-03-07T00:00:00.000Z,28.12,33.68,29.91,28.65,32.33,1.903,9
2020-03-21T00:00:00.000Z,1.48,11.93,6.24,5.05,7.48,1.856,137
2020-03-22T00:00:00.000Z,1.46,11.72,4.9,3.97,6.03,1.76,455
2020-03-23T00:00:00.000Z,1.27,24.52,7.08,5.68,9.14,2.846,437
2020-03-24T00:00:00.000Z,3.24,31.12,8.98,7.01,12.32,5.43,449
2020-03-25T00:00:00.000Z,6.82,29.37,16.68,13.5,19.52,4.156,423
2020-03-26T00:00:00.000Z,7.26,47.95,17.51,13.5,27.74,10.294,431
2020-03-27T00:00:00.000Z,12.77,109.24,31.35,25.16,43.67,16.12,378
2020-03-28T00:00:00.000Z,9.71,49.97,29.76,17.3,35.77,10.22,173
2020-03-29T00:00:00.000Z,3.67,54.38,27.42,22.44,42.86,14.025,334
2020-03-30T00:00:00.000Z,1.02,5.3,2.34,1.74,2.76,0.861,137
2020-03-31T00:00:00.000Z,1.12,14.95,3.53,2.62,6.52,3.017,312
2020-04-01T00:00:00.000Z,3,18.3,5.5,4.72,6.53,1.743,175
2020-04-02T00:00:00.000Z,4.18,16.97,8.69,7.13,10.36,2.646,408
2020-04-03T00:00:00.000Z,9.63,29.02,16.05,13.7,20.97,4.226,449
2020-04-04T00:00:00.000Z,1.08,31.98,7.6,4.63,10.74,4.119,511
2020-04-05T00:00:00.000Z,1.26,27.01,4.94,3.28,7.54,3.488,533
2020-04-06T00:00:00.000Z,0.73,11.35,4.46,3.22,5.68,1.974,511
2020-04-07T00:00:00.000Z,3.04,30.88,11.18,8.14,15.27,5.343,443
2020-04-08T00:00:00.000Z,8.93,35.58,20.75,15.24,25.77,6.465,449
2020-04-09T00:00:00.000Z,3.54,28.25,13.41,9.5,15.79,4.832,444
2020-04-10T00:00:00.000Z,0.7,14.52,3.51,2.7,4.59,2.421,506
2020-04-11T00:00:00.000Z,2.86,13.8,6.85,5.54,9.07,2.562,155
2020-04-12T00:00:00.000Z,0.91,18.89,5.55,3.26,11.29,4.638,592
2020-04-13T00:00:00.000Z,6.95,88.26,30.23,23.88,37.72,10.811,581
2020-04-14T00:00:00.000Z,1.33,37.19,4.72,3.2,9.72,10.256,573
2020-04-15T00:00:00.000Z,1.17,28.29,5.58,3.62,7.4,3.187,523
2020-04-16T00:00:00.000Z,0.43,12.3,2.66,1.53,3.7,1.499,524
2020-04-17T00:00:00.000Z,0.86,7.79,2.96,2.25,3.86,1.144,574
2020-04-18T00:00:00.000Z,0.6,8.1,2.17,1.55,2.92,1.36,583
2020-04-19T00:00:00.000Z,0.64,44.45,2.94,2.27,7.62,10.251,567
2020-04-20T00:00:00.000Z,1.39,33.56,6.2,3.95,8.8,7.099,519
2020-04-21T00:00:00.000Z,1.33,13.39,5.61,4.17,7.86,2.498,381
2020-04-22T00:00:00.000Z,1.95,15.82,6.84,5.09,8.52,2.446,429
2020-04-23T00:00:00.000Z,2.43,43.54,5.88,4.79,7.19,3.011,481
2020-04-24T00:00:00.000Z,4.86,20.64,11.31,8.81,14.42,3.393,549
2020-04-25T00:00:00.000Z,1.96,149.72,6.36,5.04,7.88,9.797,514
2020-04-26T00:00:00.000Z,2.02,22.52,6.8,4.19,11.06,4.009,567
2020-04-27T00:00:00.000Z,3.12,51.94,7.96,6.15,12.85,10.434,540
2020-04-28T00:00:00.000Z,1.09,16.16,3.86,2.78,5.82,2.857,412
2020-04-29T00:00:00.000Z,0.8,16.52,4.25,2.58,7.95,3.232,524
2020-04-30T00:00:00.000Z,1.23,12.56,4.01,2.52,6.88,2.717,542
2020-05-01T00:00:00.000Z,3.28,18.92,6.34,4.75,11.84,4.149,555
2020-05-02T00:00:00.000Z,3.35,30.12,7.45,5.42,11.98,4.498,548
