date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
07.03.2020,6.4,745.5,760.0,0.6,81,"Ветер, дующий с юго-юго-востока",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,3.4,,,,,,,28.12,33.68,29.91,28.65,32.33,1.903,9
21.03.2020,1.4,747.4,762.2,0.0,85,"Ветер, дующий с северо-северо-запада",2,,,100%.,Дымка. ,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-0.9,,,,,,,1.48,11.93,6.24,5.05,7.48,1.856,137
22.03.2020,-3.1,755.2,770.5,1.5,49,"Ветер, дующий с северо-северо-востока",2,,,Облаков нет., ,,,,,,,,,,,-12.5,,,,,,,1.46,11.72,4.9,3.97,6.03,1.76,455
23.03.2020,-2.8,762.3,777.7,0.7,46,"Ветер, дующий с северо-востока",2,,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-12.8,,,,,,,1.27,24.52,7.08,5.68,9.14,2.846,437
24.03.2020,-2.2,762.4,777.7,0.0,45,"Ветер, дующий с севера",2,,,20–30%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-12.6,,,,,,,3.24,31.12,8.98,7.01,12.32,5.43,449
25.03.2020,-2.0,760.2,775.4,0.0,55,"Ветер, дующий с западо-юго-запада",1,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,-10.0,,,,,,,6.82,29.37,16.68,13.5,19.52,4.156,423
26.03.2020,4.7,759.7,774.5,0.0,31,"Ветер, дующий с западо-юго-запада",1,,,Облаков нет., ,,,,,,,,,,,-11.1,,,,,,,7.26,47.95,17.51,13.5,27.74,10.294,431
27.03.2020,3.6,760.4,775.3,0.4,45,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-7.4,,,,,,,12.77,109.24,31.35,25.16,43.67,16.12,378
28.03.2020,4.8,757.8,772.6,-0.5,61,"Штиль, безветрие",0,,,100%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.",,-2.1,,,,,,,9.71,49.97,29.76,17.3,35.77,10.22,173
29.03.2020,7.9,747.4,761.8,-0.6,59,"Штиль, безветрие",0,,,40%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,0.3,,,,,,,3.67,54.38,27.42,22.44,42.86,14.025,334
30.03.2020,5.8,740.6,755.1,0.3,57,"Ветер, дующий с севера",2,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,-2.1,,,,,,,1.02,5.3,2.34,1.74,2.76,0.861,137
31.03.2020,-3.0,744.4,759.4,-0.3,90,"Ветер, дующий с севера",3,,,100%.,Ливневый снег слабый в срок наблюдения или за последний час. ,Ливень (ливни).,Метель,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,,-4.5,,,,,,,1.12,14.95,3.53,2.62,6.52,3.017,312
01.04.2020,-5.0,745.2,760.3,-0.6,64,"Штиль, безветрие",0,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-10.9,,,,,,,3.0,18.3,5.5,4.72,6.53,1.743,175
02.04.2020,0.9,737.8,752.4,-0.3,84,"Ветер, дующий с западо-юго-запада",1,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,-1.6,,,,,,,4.18,16.97,8.69,7.13,10.36,2.646,408
03.04.2020,3.6,739.4,753.9,0.4,83,"Ветер, дующий с западо-юго-запада",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,0.9,,,,,,,9.63,29.02,16.05,13.7,20.97,4.226,449
