date,min,max,median,q1,q3,stdev,count
02.01.2020 00:00,1.5,96.12,65.63,1.79,76.28,37.752,48
07.03.2020 00:00,17.02,19.25,17.82,17.23,18.9,0.797,9
21.03.2020 00:00,0.73,3.22,2.29,1.94,2.5,0.463,137
22.03.2020 00:00,0.57,7.45,1.72,1.34,2.08,0.866,455
23.03.2020 00:00,0.7,5.37,2.18,1.82,2.78,0.788,437
24.03.2020 00:00,1.52,7.84,2.71,2.25,4.34,1.605,449
25.03.2020 00:00,3.26,13.32,7.08,5.08,9.1,2.601,423
26.03.2020 00:00,3.66,16.09,9.43,6.32,12.04,3.657,431
27.03.2020 00:00,7.07,25.02,12.4,10.46,16.39,4.422,378
28.03.2020 00:00,6.34,24.34,17.1,9.11,21.64,6.556,173
29.03.2020 00:00,2.49,35.49,16.42,13.37,27.9,9.825,334
30.03.2020 00:00,0.44,1.27,0.9,0.76,1.06,0.197,137
31.03.2020 00:00,0.4,5.48,0.95,0.7,2.04,1.418,312
01.04.2020 00:00,1.85,7.78,3.3,2.56,4.37,1.083,175
02.04.2020 00:00,3.27,9.93,5.82,4.78,6.54,1.577,408
03.04.2020 00:00,5.81,18.23,10.82,7.97,14.1,3.531,449
04.04.2020 00:00,0.5,9.43,2.94,1.45,5.35,2.493,511
05.04.2020 00:00,0.52,11.36,1.44,1.12,3.1,1.713,533
06.04.2020 00:00,0.47,5.66,1.52,0.98,2.04,0.999,511
07.04.2020 00:00,1.2,17.05,4.84,3.26,6.42,3.382,443
08.04.2020 00:00,6.62,20.92,14.76,10.88,17.13,3.884,449
09.04.2020 00:00,1.98,15.38,5.96,3.99,8.81,3.294,444
10.04.2020 00:00,0.51,6.55,1.35,1,1.89,1.294,506
11.04.2020 00:00,1.91,7.32,3.41,3.14,4.55,1.119,155
12.04.2020 00:00,0.7,8.91,2.6,1.42,5.32,2.423,592
13.04.2020 00:00,4.72,36.64,18.68,12.57,23.66,7.197,581
14.04.2020 00:00,0.56,15.8,1.94,1.51,2.74,4.98,573
15.04.2020 00:00,0.56,17.37,3.04,1.78,3.68,2.363,523
16.04.2020 00:00,0.3,5.51,1.55,0.85,2.22,0.837,524
17.04.2020 00:00,0.35,3.55,1.42,0.96,2.02,0.745,574
18.04.2020 00:00,0.44,3.6,1.02,0.75,1.77,0.808,583
19.04.2020 00:00,0.55,27.76,2.24,1.62,5.21,6.805,567
20.04.2020 00:00,0.94,22.86,3.32,1.99,5.16,4.991,519
21.04.2020 00:00,0.75,8.5,3.6,2.02,4.97,1.968,381
22.04.2020 00:00,0.82,3.25,1.72,1.5,2.17,0.509,429
23.04.2020 00:00,1.18,6.1,2.13,1.83,2.56,1.008,481
24.04.2020 00:00,2.66,11.6,5.68,4.69,7.25,2.149,549
25.04.2020 00:00,1.5,31.14,3.78,2.88,4.69,2.222,514
26.04.2020 00:00,1.86,9.39,3.81,2.62,5.76,1.807,567
27.04.2020 00:00,2.54,17.63,4.05,3.54,7.47,3.953,540
28.04.2020 00:00,0.88,6.28,1.72,1.42,2.41,1.41,412
29.04.2020 00:00,0.25,7.9,2.04,0.56,4.47,2.308,524
30.04.2020 00:00,1.05,6.99,2.36,1.62,3.18,1.417,542
01.05.2020 00:00,2.68,11.02,4.34,3.39,7.76,2.378,555
02.05.2020 00:00,2.41,17.07,4.46,3.23,7.45,2.808,548
03.05.2020 00:00,3.81,19.04,6.72,5.26,7.45,1.62,573
04.05.2020 00:00,5.28,46.82,10.52,7.34,22.62,8.69,535
05.05.2020 00:00,2.88,19.48,8.53,5.38,11.52,3.81,501
06.05.2020 00:00,4.09,33.88,12.31,9.33,14.8,4.973,583
07.05.2020 00:00,1.55,27.5,4.93,3.16,7.28,5.857,383
08.05.2020 00:00,1.12,16.92,2.95,2.41,3.6,1.227,348
09.05.2020 00:00,1.17,10.8,2.65,1.7,3.94,1.318,335
10.05.2020 00:00,1.27,4.08,3.09,2.19,3.45,0.73,249
11.05.2020 00:00,1.41,5.74,2.62,2.15,3.11,1.092,357
12.05.2020 00:00,0.1,12.46,4.73,3.91,7.82,3.266,462
13.05.2020 00:00,0,2.74,0.92,0.6,1.42,0.693,466
14.05.2020 00:00,1.42,4.42,2.21,2.04,2.54,0.567,464
15.05.2020 00:00,0.4,6.12,2,0.91,4.2,1.683,534
16.05.2020 00:00,0.98,47.06,3.1,1.98,3.99,5.143,336
17.05.2020 00:00,0.61,4.86,1.54,1.23,2.25,0.968,543
18.05.2020 00:00,0.44,3.49,1.22,1.02,1.42,0.376,462
19.05.2020 00:00,0.3,7.91,1,0.72,2.57,1.84,548
20.05.2020 00:00,0.72,16.16,2.67,1.23,4.95,2.494,563
21.05.2020 00:00,0.31,5.22,1.62,1.27,1.96,0.687,509
22.05.2020 00:00,0.4,7.32,1.5,0.94,5.05,2.174,547
23.05.2020 00:00,0.8,29.17,2.7,1.99,6.93,2.993,509
24.05.2020 00:00,1.2,18.17,6,4.4,8.11,2.876,545
25.05.2020 00:00,1.48,19.45,4.57,3.53,9,4.365,547
26.05.2020 00:00,2.4,54.58,4.67,3.56,11.1,7.873,504
27.05.2020 00:00,3.6,22.08,8.73,6,10.6,3.026,533
28.05.2020 00:00,2.22,35.63,4.18,3.4,7.78,3.935,547
29.05.2020 00:00,0,39.4,10.18,0,22.5,11.596,551
30.05.2020 00:00,0,17.27,5.4,0.08,8.19,4.723,570
31.05.2020 00:00,0.6,7.87,2,1.75,2.64,0.847,508
01.06.2020 00:00,0.4,4.7,1.7,1.3,2.2,0.632,491
02.06.2020 00:00,0.7,18.8,2.25,1.64,3.18,2.718,541
03.06.2020 00:00,0,24.45,9.18,4.59,15.7,6.668,459
04.06.2020 00:00,0,5.78,0,0,0.1,1.157,535
05.06.2020 00:00,1,27.52,3.66,2.2,8.39,5.577,444
06.06.2020 00:00,3.55,42.38,12.72,8.51,18.73,7.931,492
07.06.2020 00:00,3.25,39.42,9.22,7.03,20.23,8.321,548
08.06.2020 00:00,5.2,33.47,12.28,6.75,18.86,7.99,540
09.06.2020 00:00,4.7,22.45,6.68,5.93,7.93,5.653,379
10.06.2020 00:00,2.52,13.15,6.32,4.76,8.32,2.057,537
11.06.2020 00:00,3.4,21.9,7.55,4.82,9.69,3.371,567
12.06.2020 00:00,1.4,24.4,4.25,3.24,7.42,3.529,577
