date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,9.49,27.95,20.26,14.32,22.66,4.615,306
2019-12-10T00:00:00.000Z,9.27,48.04,30.78,19.36,37.76,10.819,403
2019-12-11T00:00:00.000Z,1.23,46.47,11.96,8.3,28.19,11.761,410
2019-12-12T00:00:00.000Z,11.57,44.65,19.66,16.53,25.04,6.454,445
2019-12-13T00:00:00.000Z,9.02,40.42,18.25,16.37,20.05,4.534,522
2019-12-14T00:00:00.000Z,9.38,29.14,18.12,16.04,20.34,3.295,374
2019-12-15T00:00:00.000Z,2.86,35.69,15.39,12.6,19.82,7.724,515
2019-12-16T00:00:00.000Z,5.9,16.73,10.45,9.25,12.09,2.121,261
2019-12-17T00:00:00.000Z,1.42,21.42,11.4,8.94,15.45,4.725,263
2019-12-18T00:00:00.000Z,9.86,46.83,18.94,15.6,26.8,9.22,449
2019-12-19T00:00:00.000Z,0.4,14.34,1.95,1.26,3.04,2.428,534
2019-12-20T00:00:00.000Z,0.55,25.33,10.36,7.82,12.91,4.107,337
2019-12-21T00:00:00.000Z,5.14,110.12,12.04,9.64,28.28,12.3,571
2019-12-22T00:00:00.000Z,26.95,65.18,39.74,36.14,46.52,7.767,584
2019-12-23T00:00:00.000Z,22.08,62.56,35.45,28.23,43.37,9.417,585
2019-12-24T00:00:00.000Z,15.16,61.86,34.36,28.71,41.58,8.908,467
2019-12-25T00:00:00.000Z,23.65,46.66,34.74,31.58,37.57,4.443,365
2019-12-26T00:00:00.000Z,24.47,66.09,43.72,33.95,49.86,9.949,583
2019-12-27T00:00:00.000Z,5.15,47.92,23.71,13.38,33.99,11.348,582
2019-12-28T00:00:00.000Z,3.97,29.55,9.64,6.86,13.08,6.105,583
2019-12-29T00:00:00.000Z,3.72,25.66,10.8,7.12,14.95,4.659,585
2019-12-30T00:00:00.000Z,1.65,18.26,8.27,4.26,10.95,3.776,578
2019-12-31T00:00:00.000Z,3.22,33.33,8.64,5.88,11.79,5.317,577
2020-01-01T00:00:00.000Z,0.38,14.66,2.49,1.6,3.87,2.084,584
2020-01-02T00:00:00.000Z,2.25,11.13,4.42,3.78,5.26,1.182,558
2020-01-03T00:00:00.000Z,1.98,20.32,9.82,5.14,12.08,3.984,547
2020-01-04T00:00:00.000Z,6.71,44.46,22.12,16.8,27.51,8.118,556
2020-01-05T00:00:00.000Z,0.76,7.04,2.65,2.13,3.47,1.146,559
2020-01-06T00:00:00.000Z,0.74,7.32,2.58,1.95,3.47,1.123,509
2020-01-07T00:00:00.000Z,1.04,9.05,3.49,2.25,5.44,1.873,323
2020-01-09T00:00:00.000Z,2.98,19.07,6.91,5.3,11.36,3.778,322
2020-01-10T00:00:00.000Z,1.85,18.91,8.02,5.37,13.11,4.184,419
2020-01-11T00:00:00.000Z,5.67,41.15,18.35,12.12,25.66,8.337,518
2020-01-12T00:00:00.000Z,1.85,16.02,6.08,3.9,8.38,2.958,563
2020-01-13T00:00:00.000Z,1.01,11.61,3.58,2.48,4.72,1.659,483
2020-01-14T00:00:00.000Z,0.68,17.57,3.39,2.12,4.46,1.891,436
2020-01-15T00:00:00.000Z,2.81,24.5,12.65,6.07,17.57,6.172,457
2020-01-16T00:00:00.000Z,16.44,41.73,25.73,22.92,27.74,3.223,464
2020-01-17T00:00:00.000Z,3.44,17.05,8,6.39,11.08,3.099,458
2020-01-18T00:00:00.000Z,3.39,26.98,12.59,8.77,16.09,4.837,496
2020-01-19T00:00:00.000Z,8.77,22.4,15.91,12.83,17.84,3.079,470
2020-01-20T00:00:00.000Z,1.15,13.66,3.31,2.27,5.88,3.428,358
2020-01-21T00:00:00.000Z,0.21,13.26,2.41,1.68,3.48,2.234,453
2020-01-22T00:00:00.000Z,2,3.48,2.78,2.2,3.22,0.486,15
2020-01-23T00:00:00.000Z,1.13,4.97,2.24,1.81,2.74,0.66,81
2020-01-24T00:00:00.000Z,0.82,10.43,3.82,2.52,5.94,2.109,268
2020-01-25T00:00:00.000Z,0.2,4.01,1.46,1.04,2,0.797,296
2020-01-26T00:00:00.000Z,0.28,7.72,2.17,1.44,3.58,1.574,306
2020-01-27T00:00:00.000Z,0.21,9.43,2.42,1.06,4.34,2.063,249
2020-01-28T00:00:00.000Z,2.88,42.93,11.25,5.98,19.76,10.708,270
2020-01-29T00:00:00.000Z,30.25,87.29,49.76,40.9,58.06,12.662,306
2020-01-30T00:00:00.000Z,6.35,36.61,12.18,9.34,22.1,6.906,287
2020-01-31T00:00:00.000Z,8.28,38.79,18.27,15.21,24.92,7.232,284
2020-02-01T00:00:00.000Z,15.18,41.9,25.82,21.44,32.59,6.525,322
2020-02-02T00:00:00.000Z,2.35,43.75,9.9,6.26,23.01,12.596,320
2020-02-03T00:00:00.000Z,0.43,12.81,2.78,1.49,3.79,1.972,313
2020-02-04T00:00:00.000Z,0.35,7.26,1.8,1.15,2.46,1.072,254
2020-02-05T00:00:00.000Z,0.68,10.58,2.75,2.02,3.55,1.285,230
2020-02-06T00:00:00.000Z,0.35,16.64,2.31,1.62,3.45,1.712,224
2020-02-07T00:00:00.000Z,0.59,4.54,2.1,1.56,2.65,0.853,210
2020-02-08T00:00:00.000Z,2.02,16.11,6.88,3.94,11.12,3.94,194
2020-02-09T00:00:00.000Z,3.11,20.44,7.18,4.8,9.32,2.728,349
2020-02-10T00:00:00.000Z,2.6,13.7,8.55,6.45,10.03,2.331,364
2020-02-11T00:00:00.000Z,3.56,28.36,9.03,6.96,12.34,3.872,345
2020-02-12T00:00:00.000Z,5.59,59.88,20.85,16.88,27.74,11.052,387
