date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
24.02.2020,1.9,731.2,745.6,-0.6,84,"Ветер, дующий с западо-юго-запада",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-0.6,,,,,,,0.76,12.43,6.3,4.71,7.69,2.367,518
25.02.2020,1.0,734.3,748.9,0.7,82,"Ветер, дующий с западо-северо-запада",1,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-1.8,,,,,,,0.88,27.66,4.61,3.26,6.12,2.569,451
26.02.2020,-2.7,737.3,752.2,0.1,70,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-7.5,,,,,,,4.2,33.6,12.95,10.16,16.57,4.698,391
27.02.2020,1.2,734.2,748.6,1.0,96,"Штиль, безветрие",0,,,"90  или более, но не 100%",Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,0.6,,,,,,,2.17,48.44,20.32,14.78,26.94,10.043,544
28.02.2020,2.3,731.0,745.3,0.0,97,"Ветер, дующий с запада",1,,,100%.,Дождь (незамерзающий) неливневый. ,Дождь.,Морось.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,1.9,,,,,,,1.98,10.45,4.69,3.91,5.82,1.447,551
29.02.2020,0.5,736.6,751.2,0.5,78,"Ветер, дующий с западо-юго-запада",2,,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-2.9,,,,,,,0.75,12.3,2.88,2.25,3.72,1.352,566
01.03.2020,-3.2,742.9,757.9,1.2,86,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-5.2,,,,,,,3.94,18.53,9.35,7.78,10.83,2.439,571
02.03.2020,5.1,742.6,757.2,0.9,67,"Ветер, дующий с западо-юго-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,,-0.6,,,,,,,3.8,29.22,15.56,8.41,21.64,7.282,457
03.03.2020,4.4,745.4,760.0,0.4,77,"Ветер, дующий с юга",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,0.7,,,,,,,12.0,46.48,30.51,18.48,39.92,10.682,416
04.03.2020,3.3,745.6,760.3,0.7,95,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,100-200,,,,2.6,,,,,,,17.11,63.9,34.27,29.62,41.74,8.93,580
