date,min,max,median,q1,q3,stdev,count
09.12.2019 00:00,6.28,18.6,13.89,9.36,15.28,3.119,306
10.12.2019 00:00,7.31,23.95,17.6,12.74,19.34,4.167,403
11.12.2019 00:00,0.98,20.68,7.95,5.56,15.46,5.342,410
12.12.2019 00:00,7.32,23.24,12.44,10.87,15.22,2.845,445
13.12.2019 00:00,6.04,27.4,11.76,10.62,12.65,2.921,522
14.12.2019 00:00,6.55,15.38,11.02,9.93,12.2,1.641,374
15.12.2019 00:00,2.34,18.26,9.85,8.5,12.28,3.74,515
16.12.2019 00:00,4.7,10.69,6.99,6.17,7.81,1.323,261
17.12.2019 00:00,0.68,13.04,8.53,6.28,10.6,3.376,263
18.12.2019 00:00,5.94,29.3,12.04,9.98,15.68,5.277,450
19.12.2019 00:00,0.12,9.83,0.52,0.42,0.7,1.628,534
20.12.2019 00:00,0.38,13.68,4.8,3.45,6.13,2.078,337
21.12.2019 00:00,2.7,56.32,6.38,4.38,15.53,7.037,571
22.12.2019 00:00,15.65,31.78,20.77,18.97,22.75,3.089,584
23.12.2019 00:00,14.22,31.3,21.6,18.23,25.52,4.159,585
24.12.2019 00:00,12.64,32.88,20.88,18.21,24.6,4.115,467
25.12.2019 00:00,15.36,26.5,19.42,18.37,21.7,2.211,365
26.12.2019 00:00,12.58,34.39,22.39,18.22,25.33,4.51,583
27.12.2019 00:00,3.36,25.44,14.46,8.85,19.47,5.968,582
28.12.2019 00:00,2.85,16.94,5.94,4.48,7.84,3.35,583
29.12.2019 00:00,3.03,15.7,7.57,4.98,9.68,2.751,585
30.12.2019 00:00,1.2,9.34,4.67,2.44,6.38,2.119,578
31.12.2019 00:00,2.62,23.99,6.24,4.2,8.07,3.728,577
01.01.2020 00:00,0.3,10.65,1.19,0.76,1.9,1.465,584
02.01.2020 00:00,1.41,4.99,2.33,2,2.76,0.524,558
03.01.2020 00:00,1.56,10.65,5.63,2.97,6.71,2.153,547
04.01.2020 00:00,3.46,22.06,12.17,9.03,15.11,4.158,556
05.01.2020 00:00,0.38,3.85,1.27,1.02,1.63,0.587,559
06.01.2020 00:00,0.4,3.84,1.33,1.04,2.12,0.778,509
07.01.2020 00:00,0.66,5.2,2.02,1.13,3.47,1.254,323
09.01.2020 00:00,0.82,11.34,2.59,1.57,5.8,2.751,322
10.01.2020 00:00,0.55,11.14,3.38,1.9,6.17,2.3,419
11.01.2020 00:00,2.7,25.12,9.92,5.7,15.4,5.455,518
12.01.2020 00:00,0.86,7.84,3.15,2,5.44,1.952,563
13.01.2020 00:00,0.52,4.66,2.35,1.05,2.9,0.995,483
14.01.2020 00:00,0.51,7.04,2.15,1.06,2.76,1.077,436
15.01.2020 00:00,2.27,15.52,8.11,4.05,11.76,3.983,457
16.01.2020 00:00,10.51,25.09,16.92,15.44,18.29,1.89,464
17.01.2020 00:00,1.44,11.62,3.01,2.24,5.78,2.463,458
18.01.2020 00:00,1.12,15.59,8.02,4.59,10.23,3.694,496
19.01.2020 00:00,6.05,13.25,10.07,8.38,11.12,1.685,470
20.01.2020 00:00,0.55,8.25,1.59,1.1,3.53,2.164,358
21.01.2020 00:00,0.18,5.88,1.06,0.6,1.78,1.137,453
