date,min,max,median,q1,q3,stdev,count
22.08.2022 00:00,24.9,37.47,30.02,26.9,32.25,3.842,8
23.08.2022 00:00,33.28,92.43,61.28,45.15,77.03,17.333,166
24.08.2022 00:00,4.72,68.4,30.25,14.23,41.65,16.059,454
25.08.2022 00:00,8.27,55.6,25.65,14.5,31.88,9.956,482
26.08.2022 00:00,8.57,69.18,27.67,15.73,40.28,15.871,531
27.08.2022 00:00,15.18,190.55,74.8,40.15,98.24,42.21,525
28.08.2022 00:00,15.2,127.68,62.9,48.31,70.56,22.142,525
29.08.2022 00:00,7.3,67.09,19.14,14.55,31.35,13.519,519
30.08.2022 00:00,10.25,34.67,21,17.52,24.26,4.605,529
31.08.2022 00:00,1.1,17.13,5.34,3.29,9.93,3.814,512
01.09.2022 00:00,1.02,9.3,2.67,2,3.6,1.424,477
02.09.2022 00:00,0.8,11.52,2.83,1.8,4.21,1.78,461
03.09.2022 00:00,1.48,20.88,4.54,3.4,6.45,2.741,386
04.09.2022 00:00,1.77,12.9,5.17,3.9,6.9,2.104,216
05.09.2022 00:00,2.45,10.5,4.88,3.95,6,1.624,325
06.09.2022 00:00,1.48,17.95,4.55,3.65,5.43,1.537,515
07.09.2022 00:00,2.67,14.82,5.49,4.78,6.28,1.314,498
08.09.2022 00:00,1,12.98,4.72,3.84,5.94,1.56,333
09.09.2022 00:00,1.27,29.92,5.2,3.35,13.52,6.937,515
10.09.2022 00:00,4.13,53.8,22,9.16,30.97,11.203,488
11.09.2022 00:00,3.15,46.35,16.12,7.3,23.08,10.916,514
12.09.2022 00:00,4.75,26.55,10.3,7.5,14.05,4.39,453
13.09.2022 00:00,2.7,21.65,7.84,6.15,10.32,2.838,466
14.09.2022 00:00,4,39.42,15.37,11.5,21.95,7.875,502
15.09.2022 00:00,4.45,28.1,11.85,8.07,16.32,5.16,507
16.09.2022 00:00,6.72,57.13,15.13,12.23,17.57,6.152,470
17.09.2022 00:00,2.85,20.95,8.38,6.55,10.52,2.738,466
18.09.2022 00:00,4.55,62.2,12.95,10.13,15.62,5.859,489
19.09.2022 00:00,0.88,18.8,3.1,2.2,5.63,4.034,471
20.09.2022 00:00,1.67,45.2,5.32,3.35,10.19,7.893,418
21.09.2022 00:00,3.28,46.65,9.4,7.13,17.09,9.67,461
22.09.2022 00:00,6.65,33.29,15.3,12.21,18.48,5.025,492
23.09.2022 00:00,4.78,22.55,10.18,8.55,11.88,3.023,485
24.09.2022 00:00,1.4,12.85,4.2,3.28,5.18,1.686,507
25.09.2022 00:00,1.17,21.3,6.65,3.15,11.07,4.641,493
26.09.2022 00:00,2.75,19.98,10.11,6.63,12.1,3.377,458
27.09.2022 00:00,4.57,111.68,9.55,7.28,14.79,16.288,485
28.09.2022 00:00,2.54,18.89,7.45,5.78,9.55,2.965,469
29.09.2022 00:00,4.4,32.7,17.39,12.4,23.35,6.836,467
30.09.2022 00:00,13.48,37.47,22.88,18.48,28.05,5.675,479
01.10.2022 00:00,7.6,72.55,41.42,30.9,49.45,13.496,431
02.10.2022 00:00,0.52,25.1,6.22,3.72,9.25,4.614,246
03.10.2022 00:00,1.73,26.95,4.55,3.05,8.5,6.038,255
04.10.2022 00:00,2.4,12.9,5.68,4.4,7.13,1.989,299
05.10.2022 00:00,1.52,10.73,4.78,3.72,5.93,1.481,287
06.10.2022 00:00,3.15,34.83,10.05,6.94,13.43,5.486,512
07.10.2022 00:00,3.22,17.39,8.1,6.69,10.1,2.375,505
08.10.2022 00:00,4.9,30.73,10.59,8.77,13.2,3.627,514
09.10.2022 00:00,3.53,16.35,8.8,7.03,10,2.313,538
10.10.2022 00:00,3,21.73,6.53,5.28,8.35,2.346,524
11.10.2022 00:00,3,34,10.64,7.65,18.98,7.13,498
12.10.2022 00:00,5.09,48.67,14.63,10.19,24,9.788,523
13.10.2022 00:00,4.59,35.1,9.68,7.88,11.63,3.456,523
14.10.2022 00:00,3.88,28.75,10.52,8.32,12.98,3.429,484
15.10.2022 00:00,6.13,34.65,11.43,9.65,15.05,5.327,506
16.10.2022 00:00,4.55,32.29,10.5,8.59,12.62,3.362,405
17.10.2022 00:00,6.15,21.63,11.35,9.93,12.84,2.419,252
21.10.2022 00:00,5.13,21.3,8.38,7.09,10.18,2.382,293
22.10.2022 00:00,5.09,23.42,11.2,8.93,13.44,3.138,521
23.10.2022 00:00,9.88,48.28,21.92,16.05,32.13,9.826,517
24.10.2022 00:00,2.33,28.33,7.77,5.85,11.84,4.94,504
25.10.2022 00:00,5.4,32.03,12.97,10.93,15.18,3.744,506
26.10.2022 00:00,6.5,18.6,10.4,9.19,11.7,2.129,502
27.10.2022 00:00,6.43,39.38,15.65,11.65,20.88,6.257,511
28.10.2022 00:00,8.94,40.63,17.23,13,20.5,5.545,489
29.10.2022 00:00,3.6,24.75,11.14,9,13.55,3.422,498
30.10.2022 00:00,1,20.48,2.97,2.15,4.57,2.029,498
31.10.2022 00:00,1.05,12.2,2.58,2.02,3.2,1.162,503
01.11.2022 00:00,1.05,20.35,4.63,3.33,6.47,2.403,501
02.11.2022 00:00,1.7,22.38,9.6,6.19,12.88,4.286,493
03.11.2022 00:00,1.67,12.9,5.43,4.43,6.9,1.991,529
04.11.2022 00:00,2.45,29.35,10.82,8.82,13.87,4.16,504
05.11.2022 00:00,1.58,23.2,6.53,4.32,11.88,4.513,501
06.11.2022 00:00,8.38,32.47,16.87,14.05,18.89,3.715,502
07.11.2022 00:00,10.93,36.88,21.88,15.72,25.27,5.889,524
08.11.2022 00:00,6.13,45.13,22.5,14.44,28.12,9.114,505
09.11.2022 00:00,9.1,33.42,17.23,14.68,20.8,4.932,487
10.11.2022 00:00,11.02,44.2,22.05,18.13,30.05,6.805,454
11.11.2022 00:00,4.59,43.7,10.7,8.57,13.38,7.645,437
12.11.2022 00:00,1.12,12.57,3.53,2.58,5.35,2.086,481
13.11.2022 00:00,0.8,9.88,2.08,1.67,2.72,1.181,469
14.11.2022 00:00,0.65,15.4,3.58,2.38,4.93,2.035,463
15.11.2022 00:00,1.98,21.88,9.02,6.57,11.35,3.785,491
16.11.2022 00:00,7.03,30.88,13.02,11.35,15.32,3.858,502
17.11.2022 00:00,3.25,25.27,7.63,6.15,13.44,4.853,512
18.11.2022 00:00,3.13,15.9,7.6,6.45,9.35,2.147,529
19.11.2022 00:00,6.6,24,12.04,10.5,13.82,2.619,486
20.11.2022 00:00,11.63,310.88,23.92,15.66,33.54,23.202,521
21.11.2022 00:00,11.23,34.85,21.42,18.09,23.69,4.344,509
22.11.2022 00:00,3.47,35.03,9.1,6.65,17.42,7.209,523
23.11.2022 00:00,3.53,26.65,7.44,6.14,9.78,3.723,496
24.11.2022 00:00,3.75,27.73,13.1,11.6,14.6,2.677,519
25.11.2022 00:00,5.45,22.42,10.27,8.05,14.23,3.483,496
26.11.2022 00:00,6.15,27.63,14.34,9.35,19.17,5.316,510
27.11.2022 00:00,7.93,26.7,15.32,12.75,18.72,4.078,521
28.11.2022 00:00,4.93,22.3,11.23,9.02,13.55,3.318,465
29.11.2022 00:00,8.55,33.03,19.14,15.18,21.85,4.705,391
30.11.2022 00:00,17.35,49.58,30,24.48,34.22,6.111,487
01.12.2022 00:00,29.23,84.25,44.82,39.2,51.38,9.758,468
02.12.2022 00:00,17.52,56.75,33.13,24.92,37.97,7.983,552
03.12.2022 00:00,7.57,34.9,19.75,15.05,23.95,5.689,543
04.12.2022 00:00,7.47,29.13,13.47,11.84,15.32,2.656,520
05.12.2022 00:00,6.8,21.2,11.73,10.49,13.24,2.107,497
06.12.2022 00:00,3.25,21.15,8.75,6.81,10.48,2.66,508
07.12.2022 00:00,4.5,24.48,10.24,8.73,11.9,2.677,514
08.12.2022 00:00,5.5,33.65,11.79,9.07,20.5,6.696,516
09.12.2022 00:00,15.27,51.55,26.85,21.82,35.11,8.454,504
10.12.2022 00:00,6.07,131.22,37.7,10.98,54.65,22.61,514
11.12.2022 00:00,2.95,91.68,15.32,10.13,20.48,11.904,534
12.12.2022 00:00,4.3,25.77,9.38,7.3,12.63,4.506,483
13.12.2022 00:00,4.03,21.7,8.5,6.9,10.67,3.358,516
14.12.2022 00:00,3.38,23.05,8.55,6.35,12.57,4.134,487
15.12.2022 00:00,5.6,30.42,16.85,13.34,20.01,4.634,509
16.12.2022 00:00,6.25,28.38,14.45,10.93,18.17,4.357,471
17.12.2022 00:00,8.65,25.42,15.88,13.57,18.43,3.238,489
18.12.2022 00:00,3.85,18.39,8.35,7.13,10.15,2.489,495
19.12.2022 00:00,4.03,25.27,9.64,8.25,11.23,2.518,506
20.12.2022 00:00,4.84,32.2,10.45,8.55,14.85,4.236,519
21.12.2022 00:00,6.78,34,16.42,12.94,23.38,6.338,468
22.12.2022 00:00,2.45,42.4,12.9,10.07,15.43,4.402,509
23.12.2022 00:00,7.15,38.83,20.63,14.48,24.51,6.572,365
24.12.2022 00:00,4.8,43.13,17.02,8.85,22.89,8.209,461
25.12.2022 00:00,1.45,10.85,4.96,4,5.88,1.45,478
26.12.2022 00:00,1.73,11.4,5.03,3.92,6.35,1.861,390
27.12.2022 00:00,3.55,26.35,12.65,7.6,16.5,5.312,435
28.12.2022 00:00,3.2,35.53,14,11.32,16.6,4.521,471
29.12.2022 00:00,2.95,39.13,14.23,7.85,24.97,9.548,493
30.12.2022 00:00,14.63,54.03,32.49,23.92,40.4,9.904,426
31.12.2022 00:00,4.75,92.32,12.67,9.18,20.63,8.704,438
01.01.2023 00:00,1.73,26.27,8.53,7.03,10.19,3.828,488
02.01.2023 00:00,0.95,16.2,3.22,2.29,4.28,1.538,505
03.01.2023 00:00,0.88,36.88,5.5,4.22,7.78,4.188,410
04.01.2023 00:00,1.35,13.52,5.04,3.46,7.52,2.698,464
05.01.2023 00:00,1.27,21.98,6.87,5.5,8.52,2.538,494
06.01.2023 00:00,1.1,23.38,5.43,3.9,7.25,2.931,506
07.01.2023 00:00,1.27,20.42,7.07,4.34,10.28,3.883,489
08.01.2023 00:00,1.63,33.79,10.49,7.32,14.1,5.469,542
09.01.2023 00:00,1.85,21.48,7.97,5.38,10.95,3.769,495
10.01.2023 00:00,2.1,20,6.28,5.32,7.55,1.989,507
11.01.2023 00:00,2.35,16.35,5.24,4.4,6.13,1.604,474
12.01.2023 00:00,3.55,19.48,8.27,6.13,11.3,3.303,509
13.01.2023 00:00,4.2,22.65,11.68,9.19,14.88,3.539,458
14.01.2023 00:00,10.38,27.52,15.68,14.05,17.55,2.681,532
15.01.2023 00:00,6.8,33.45,16.6,13.55,19.88,4.343,447
16.01.2023 00:00,7.35,31.73,16.95,14.18,19.7,3.854,495
17.01.2023 00:00,11.35,34.08,20.64,17.63,24.3,4.68,494
18.01.2023 00:00,12.52,37.4,20.63,18.29,24.67,4.869,421
19.01.2023 00:00,14.52,64.93,33.08,23.49,43.45,11.419,529
20.01.2023 00:00,9.63,42.7,27.5,22.02,31.24,6.503,512
21.01.2023 00:00,4.07,21.08,8.23,6.8,10.55,2.711,492
22.01.2023 00:00,9.52,44.75,25.75,18.95,29.23,6.855,543
23.01.2023 00:00,10.27,40.33,23.08,18.42,29.03,7.139,445
24.01.2023 00:00,5.93,23.85,12.63,10.23,15.15,3.468,511
25.01.2023 00:00,5.53,20.35,10.75,8.77,13.35,2.868,467
26.01.2023 00:00,7.88,22.6,13.56,11.77,15.43,2.646,520
27.01.2023 00:00,3.58,44,10.75,7.45,14.13,5.452,400
28.01.2023 00:00,3.65,39.97,16.77,13.14,24.06,8.708,513
29.01.2023 00:00,4.05,35.38,10,6.9,12.3,5.569,489
30.01.2023 00:00,3.58,21.02,11.6,7.47,14.48,4.035,485
31.01.2023 00:00,6.47,26.92,13.47,11.13,18.88,4.708,482
01.02.2023 00:00,15.6,35.88,25.39,22.42,28.1,3.65,514
02.02.2023 00:00,18.57,41.88,28.3,25.8,31,3.894,491
03.02.2023 00:00,4.18,50.05,31.02,19.95,37.15,11.392,389
04.02.2023 00:00,7.3,36.25,18.52,12.18,22.8,5.784,551
05.02.2023 00:00,5.38,28.08,12.57,10.76,14.81,3.337,473
06.02.2023 00:00,5.3,26.42,11.63,8.59,14.47,4.256,421
07.02.2023 00:00,6.22,19.64,12.73,11.6,14.23,2.202,447
08.02.2023 00:00,6.07,19.2,10.73,9.14,12.18,2.036,389
09.02.2023 00:00,3.92,27.88,11.72,7.93,14.6,4.822,446
10.02.2023 00:00,6.57,26.2,14.17,11.02,16.92,4.101,454
11.02.2023 00:00,3.75,25.65,12.82,9.98,16.42,4.096,427
12.02.2023 00:00,1.67,35.92,4.95,3.9,6.53,2.44,495
13.02.2023 00:00,3.53,52.65,7,5.75,9.32,5.231,375
14.02.2023 00:00,1.7,43.13,4.96,4.09,6.05,3.435,432
15.02.2023 00:00,1.85,9.93,4.03,3.22,5.4,1.573,363
16.02.2023 00:00,1.75,19.82,5.19,3.83,12.07,4.703,402
17.02.2023 00:00,9.68,38.9,19.32,15.25,24.17,5.959,383
18.02.2023 00:00,6.97,34.33,12.15,10.4,17.29,6.206,497
19.02.2023 00:00,7.63,30.58,14.57,11.88,19.72,5.247,429
20.02.2023 00:00,10.32,49.33,22.45,19.69,33.07,7.772,504
21.02.2023 00:00,7.25,47.13,18.97,15.68,26.2,8.052,490
22.02.2023 00:00,5.53,32.15,13.1,10.39,16.09,4.234,393
23.02.2023 00:00,3.38,25.4,10.5,8.77,12.57,3.026,367
24.02.2023 00:00,6.53,35.08,19.05,12.72,25.69,6.858,500
25.02.2023 00:00,6.78,37.04,22.35,17.35,24.88,5.341,398
26.02.2023 00:00,1.85,22.35,6.71,4.53,9.73,4.112,484
27.02.2023 00:00,3.25,12.55,7.02,6,8.13,1.561,492
28.02.2023 00:00,1.02,21.08,5.55,4.28,6.92,2.551,416
01.03.2023 00:00,1.02,24.25,3.58,2.7,4.9,1.84,516
02.03.2023 00:00,1.7,13.25,4.03,3.32,4.82,1.283,521
03.03.2023 00:00,2.72,15.45,5.93,4.8,7.32,1.925,383
04.03.2023 00:00,0.93,18.1,7.5,4.9,9.98,3.66,530
05.03.2023 00:00,1.27,17.67,5.78,3.45,8.52,3.396,537
06.03.2023 00:00,1.7,15.98,5.28,4.09,8.03,2.561,512
07.03.2023 00:00,1.95,30.45,8.3,5.8,12.85,5.395,515
08.03.2023 00:00,1.88,40.54,18.5,11.22,24.08,8.902,533
09.03.2023 00:00,2.35,18.82,5.45,4.2,7.65,2.578,457
10.03.2023 00:00,2.13,18.92,6.22,5.09,8.69,2.51,545
11.03.2023 00:00,5.32,22.45,11.51,9.01,14.02,3.363,532
12.03.2023 00:00,1.6,31.35,7.15,3.35,14.35,7.568,529
13.03.2023 00:00,1.55,21.27,4.34,3.26,5.89,2.624,525
14.03.2023 00:00,2.88,17.85,7.63,5.94,9.36,2.386,388
15.03.2023 00:00,3.92,23.77,9.82,8.23,12.45,3.302,523
16.03.2023 00:00,4.93,48.17,15.82,11.95,21.3,8.557,521
17.03.2023 00:00,1.67,21.02,5.05,3.83,7.05,2.588,522
18.03.2023 00:00,2.15,18.52,6.2,4.98,7.55,2.055,420
19.03.2023 00:00,5.47,32.15,11.68,9.1,15.52,5.002,499
20.03.2023 00:00,8.57,32.65,15.66,13.18,18.85,4.465,494
21.03.2023 00:00,4.59,23.73,10.93,9.07,12.99,3.343,532
22.03.2023 00:00,3.2,14.38,6.75,5.4,8.9,2.452,514
23.03.2023 00:00,4.3,22.98,9.38,7.57,11.23,2.736,499
24.03.2023 00:00,3.28,41.47,10.73,7.57,15.25,6.636,495
25.03.2023 00:00,6.05,29.42,13.3,11.7,15.05,2.748,489
26.03.2023 00:00,4.45,64.81,24.28,15.95,32.77,12.888,392
27.03.2023 00:00,5.15,24.13,11.02,8.94,16.17,4.359,460
28.03.2023 00:00,4.4,24.6,9.76,7.92,12.76,4.169,492
29.03.2023 00:00,4.5,39.08,8.6,6.85,13.6,7.441,431
30.03.2023 00:00,4.05,43.28,9.25,7.32,11.51,6.22,489
31.03.2023 00:00,4.13,28.38,13.4,8.75,18.17,5.775,491
01.04.2023 00:00,8.55,45.47,20.84,17.6,24.83,5.971,290
02.04.2023 00:00,8.23,37.92,17.1,13.27,20.58,6.002,423
03.04.2023 00:00,8.52,36.38,17.89,15.06,21.07,4.406,508
04.04.2023 00:00,5.35,30.38,16.35,13.63,19.09,3.855,556
05.04.2023 00:00,6.15,31.63,14.04,10.49,17.38,4.443,548
06.04.2023 00:00,2.58,26.42,7.7,5.82,9.44,2.917,567
07.04.2023 00:00,3.2,23.95,8.35,6.52,10.45,3.174,541
08.04.2023 00:00,6.32,42.13,13.57,10.72,18.66,7.009,565
09.04.2023 00:00,8.57,41.35,18.7,15.38,23.77,5.969,563
10.04.2023 00:00,10.98,64.05,24.9,19.39,34.88,10.016,463
11.04.2023 00:00,10.6,75.59,32.92,20.73,40.67,13.635,567
12.04.2023 00:00,7.97,90.28,22.9,15.06,42.22,17.013,556
13.04.2023 00:00,2.65,47.35,10.65,6.6,20,8.23,555
14.04.2023 00:00,2.58,24.77,5.47,4.45,6.88,2.277,566
15.04.2023 00:00,3.17,21.52,7.1,5.43,9.9,3.221,552
16.04.2023 00:00,5.05,27.38,10.99,8.81,14.55,3.94,572
17.04.2023 00:00,5.18,36.33,14.99,10.63,20.85,6.195,566
18.04.2023 00:00,8.68,44.13,17.14,13.8,21.99,6.664,557
19.04.2023 00:00,5.65,24.2,11.27,9.1,13.73,3.075,479
