date,min,max,median,q1,q3,stdev,count
2022-08-22T00:00:00.000Z,15.13,20.1,17.16,15.59,18.3,1.61,8
2022-08-23T00:00:00.000Z,17.67,60.28,39.02,26.8,48.38,12.328,166
2022-08-24T00:00:00.000Z,1.55,35.9,12.09,5.05,18.7,9.691,454
2022-08-25T00:00:00.000Z,4.28,32.03,10.54,8.15,13.23,4.111,482
2022-08-26T00:00:00.000Z,6.13,35.67,12.93,8.93,20.73,8.093,531
2022-08-27T00:00:00.000Z,10.38,118.63,45.28,22.47,57.1,26.688,525
2022-08-28T00:00:00.000Z,8.1,77.97,38.17,30.03,42.48,13.756,525
2022-08-29T00:00:00.000Z,1.75,39.22,5.45,3.9,16.17,9.421,519
2022-08-30T00:00:00.000Z,3.35,16.38,7.65,6.03,10.63,2.99,529
2022-08-31T00:00:00.000Z,0.05,6.45,0.79,0.3,3.13,1.714,512
2022-09-01T00:00:00.000Z,0.05,1.9,0.3,0.2,0.45,0.226,477
2022-09-02T00:00:00.000Z,0,2.27,0.32,0.2,0.56,0.314,461
2022-09-03T00:00:00.000Z,0.1,4.28,0.63,0.4,0.95,0.673,386
2022-09-04T00:00:00.000Z,0.2,3.33,0.77,0.5,1.14,0.53,216
2022-09-05T00:00:00.000Z,0.13,5.07,0.82,0.6,1.09,0.469,325
2022-09-06T00:00:00.000Z,0.1,2.63,0.73,0.5,1,0.412,515
2022-09-07T00:00:00.000Z,0.2,3.35,1.1,0.8,1.4,0.467,498
2022-09-08T00:00:00.000Z,0.1,4.72,0.8,0.51,1.33,0.654,333
2022-09-09T00:00:00.000Z,0.1,8.93,0.9,0.45,3.35,2.159,515
2022-09-10T00:00:00.000Z,0.7,17.52,7.23,2.25,11.98,4.885,488
2022-09-11T00:00:00.000Z,0.38,24.67,5.5,1.3,8.68,6.182,514
2022-09-12T00:00:00.000Z,0.9,11.1,3.58,2.22,5.59,2.23,453
2022-09-13T00:00:00.000Z,0.4,6.45,2.6,1.5,3.88,1.401,466
2022-09-14T00:00:00.000Z,0.8,19.52,8.3,4.84,11.68,4.53,502
2022-09-15T00:00:00.000Z,0.65,13.02,3.85,2.1,6.38,2.822,507
2022-09-16T00:00:00.000Z,2.15,38.78,6.99,5.25,8.85,4.255,470
2022-09-17T00:00:00.000Z,0.2,9.32,2.1,0.93,3.2,1.599,466
2022-09-18T00:00:00.000Z,0.95,13.25,6.05,4.45,7.43,2.443,489
2022-09-19T00:00:00.000Z,0.1,11.25,0.35,0.2,0.73,2.621,471
2022-09-20T00:00:00.000Z,0.1,30.38,0.94,0.5,3.38,4.833,418
2022-09-21T00:00:00.000Z,0.7,27.92,3.78,2.63,8.34,6.147,461
2022-09-22T00:00:00.000Z,2,19.67,8.53,6.79,10.37,2.932,492
2022-09-23T00:00:00.000Z,1.35,11.73,4.43,3.53,5.44,1.853,485
2022-09-24T00:00:00.000Z,0.1,6.07,0.65,0.43,1.1,0.748,507
2022-09-25T00:00:00.000Z,0.1,10.95,2.2,0.68,4.8,2.335,493
2022-09-26T00:00:00.000Z,0.38,9.85,3.26,1.67,4.72,1.89,458
2022-09-27T00:00:00.000Z,0.9,79.72,3.53,2.63,6.44,11.545,485
2022-09-28T00:00:00.000Z,0.3,9.4,2.67,1.69,3.57,1.7,469
2022-09-29T00:00:00.000Z,0.9,16.8,8.15,5.2,11.88,3.898,467
2022-09-30T00:00:00.000Z,6.15,19.13,12.4,9.9,15.63,3.099,479
2022-10-01T00:00:00.000Z,3.05,29.15,21.92,17.75,23.77,5.483,431
2022-10-02T00:00:00.000Z,0,15.18,1.85,0.95,3.5,3.021,246
2022-10-03T00:00:00.000Z,0.1,17.25,1.05,0.6,3.63,4.364,255
2022-10-04T00:00:00.000Z,0.2,4.45,1.42,0.88,2.1,0.81,299
2022-10-05T00:00:00.000Z,0.13,3.28,0.9,0.63,1.38,0.553,287
2022-10-06T00:00:00.000Z,0.4,19.32,4.57,2.5,6.67,3.613,512
2022-10-07T00:00:00.000Z,0.32,5.55,1.7,1.25,2.35,0.957,505
2022-10-08T00:00:00.000Z,0.5,8.44,2.1,1.5,3.42,1.507,514
2022-10-09T00:00:00.000Z,0.56,6.65,2.33,1.75,3.17,1.123,538
2022-10-10T00:00:00.000Z,0.43,4.32,1.6,1.23,2.25,0.755,524
2022-10-11T00:00:00.000Z,0.28,11.45,2.92,1.6,6.45,2.846,498
2022-10-12T00:00:00.000Z,0.75,20.52,4.07,2.45,9.75,4.718,523
2022-10-13T00:00:00.000Z,0.7,12.13,2.95,1.88,3.9,1.465,523
2022-10-14T00:00:00.000Z,0.52,8.93,2.65,1.95,4.55,1.712,484
2022-10-15T00:00:00.000Z,1.25,14.35,3.1,2.4,4.4,2.476,506
2022-10-16T00:00:00.000Z,0.73,11.38,3.03,2.29,3.84,1.202,405
2022-10-17T00:00:00.000Z,1.58,7.35,2.97,2.6,3.88,1.079,252
2022-10-21T00:00:00.000Z,1.14,7.18,2.4,1.94,2.92,1.081,293
2022-10-22T00:00:00.000Z,1.02,8.93,3.92,2.6,4.96,1.542,521
2022-10-23T00:00:00.000Z,3.5,20.9,9.35,6.44,13.23,4.314,517
2022-10-24T00:00:00.000Z,0.2,10,1.35,0.82,4.09,2.359,504
2022-10-25T00:00:00.000Z,0.88,9.07,3.85,2.97,4.63,1.501,506
2022-10-26T00:00:00.000Z,1.4,7.88,3.25,2.75,3.95,1.085,502
2022-10-27T00:00:00.000Z,1.88,14.95,6.15,4,8.93,3.171,511
2022-10-28T00:00:00.000Z,3.3,13.43,6.25,5.03,7.4,1.762,489
2022-10-29T00:00:00.000Z,0.73,17.38,4.05,3.2,5.07,1.775,498
2022-10-30T00:00:00.000Z,0.1,4.3,0.4,0.3,0.7,0.626,498
2022-10-31T00:00:00.000Z,0.1,1.98,0.38,0.22,0.5,0.229,503
2022-11-01T00:00:00.000Z,0.1,3.33,0.68,0.45,0.95,0.424,501
2022-11-02T00:00:00.000Z,0.1,8.63,2.52,1.4,4.15,1.749,493
2022-11-03T00:00:00.000Z,0.2,4.88,1.14,0.8,1.65,0.688,529
2022-11-04T00:00:00.000Z,0.3,8.69,3.2,2.46,4.53,1.546,504
2022-11-05T00:00:00.000Z,0.1,8.52,1.33,0.73,4.76,2.083,501
2022-11-06T00:00:00.000Z,3.88,11.32,7.13,6.3,7.85,1.22,502
2022-11-07T00:00:00.000Z,3.65,12.77,8.23,5.97,9.18,1.897,524
2022-11-08T00:00:00.000Z,1.14,15.15,8.3,5.38,9.93,3.173,505
2022-11-09T00:00:00.000Z,3.6,12.05,7.07,5.97,8.44,1.759,487
2022-11-10T00:00:00.000Z,5.07,16.52,9.49,7.97,12.6,2.669,454
2022-11-11T00:00:00.000Z,0.85,17.39,3.75,2.6,4.84,3.363,437
2022-11-12T00:00:00.000Z,0.1,3.85,0.47,0.3,1.14,0.786,481
2022-11-13T00:00:00.000Z,0,1.45,0.3,0.2,0.4,0.181,469
2022-11-14T00:00:00.000Z,0.08,2.42,0.32,0.2,0.5,0.282,463
2022-11-15T00:00:00.000Z,0.1,7.07,1.75,0.73,2.88,1.714,491
2022-11-16T00:00:00.000Z,2.02,11.18,4.22,3.42,5.35,1.705,502
2022-11-17T00:00:00.000Z,0.38,9.85,1.95,1.27,4.84,2.347,512
2022-11-18T00:00:00.000Z,0.38,5.47,2.08,1.58,2.75,0.78,529
2022-11-19T00:00:00.000Z,1.77,8.69,4.4,3.6,5.22,1.128,486
2022-11-20T00:00:00.000Z,4.15,117.53,8.93,6.8,12.26,8.188,521
2022-11-21T00:00:00.000Z,3.42,12.1,7.45,6.3,8.82,1.731,509
2022-11-22T00:00:00.000Z,0.47,12.55,3.25,1.73,6.2,2.722,523
2022-11-23T00:00:00.000Z,0.4,10.93,2.33,1.65,3.42,1.961,496
2022-11-24T00:00:00.000Z,0.73,7.88,4.43,3.58,5.07,1.189,519
2022-11-25T00:00:00.000Z,1.02,7.2,3.24,2.22,4.78,1.462,496
2022-11-26T00:00:00.000Z,1.1,12.73,5.88,3.5,8.25,2.531,510
2022-11-27T00:00:00.000Z,2.4,12.68,5.93,4.82,7.24,1.944,521
2022-11-28T00:00:00.000Z,1.02,7.93,3.85,2.75,4.88,1.436,465
2022-11-29T00:00:00.000Z,2.45,13.68,7.18,5.32,8.52,2.048,391
2022-11-30T00:00:00.000Z,6.72,16.13,11.27,9.68,12.77,2.047,487
2022-12-01T00:00:00.000Z,10.18,28.08,15.74,13.41,18.02,3.693,468
2022-12-02T00:00:00.000Z,5.88,20.27,12.35,9.11,14.19,3.202,552
2022-12-03T00:00:00.000Z,2.2,11.98,7.03,4.95,8.19,2.07,543
2022-12-04T00:00:00.000Z,1.65,6.6,3.75,3.13,4.34,0.874,520
