date,min,max,median,q1,q3,stdev,count
09.12.2019 00:00,12.46,27.24,18.7,16.52,19.97,2.345,296
10.12.2019 00:00,8.77,65.64,29.88,23.5,36.56,11.183,395
11.12.2019 00:00,2.46,39.24,10.81,7.56,29.11,10.837,402
12.12.2019 00:00,10.41,29.08,19.66,17.77,22.09,3.607,360
13.12.2019 00:00,8.66,32.52,16.43,14.88,18.71,4.721,414
14.12.2019 00:00,7.38,18.72,12.54,10.81,15.52,2.724,144
15.12.2019 00:00,4.62,38.58,15.3,10.64,19.2,7.388,515
16.12.2019 00:00,5.38,20.85,11.12,9.8,13.21,2.846,260
17.12.2019 00:00,1.58,59.26,10.26,8.26,15.56,6.583,278
18.12.2019 00:00,8.41,71.73,24.17,17.18,38.69,13.383,454
19.12.2019 00:00,0.28,25.98,1.93,1.27,3.02,3.374,489
20.12.2019 00:00,0.55,38.68,7.34,2.31,15.38,9.761,466
21.12.2019 00:00,2.96,49.26,10.86,7.36,25.68,12.584,543
22.12.2019 00:00,30.4,69,47.52,42.94,52.65,8.048,553
23.12.2019 00:00,16.46,71.84,33.11,26.7,38.92,9.285,554
24.12.2019 00:00,20.21,199.74,52.49,33.97,66.52,26.434,142
25.12.2019 00:00,10.8,33.79,28.51,26.52,29.63,3.893,153
26.12.2019 00:00,16.69,190.38,36.97,29.42,42.26,13.641,577
27.12.2019 00:00,7.2,42.44,19.1,13.76,24.31,7.438,568
28.12.2019 00:00,2.78,22.32,7.25,5.45,10.65,4.075,576
29.12.2019 00:00,2.39,100.49,9.57,5.53,12.64,8.032,547
30.12.2019 00:00,2.25,123.72,8.66,4.7,10.7,7.326,570
31.12.2019 00:00,3.35,87.6,9.77,6.28,12.43,6.706,544
01.01.2020 00:00,0.2,35.38,2.52,1.54,3.78,3.781,553
02.01.2020 00:00,1.48,19.88,4.36,3.64,5.41,1.913,562
03.01.2020 00:00,2.04,79.97,10.5,6.72,14.91,6.597,545
04.01.2020 00:00,6.94,42.32,22.33,19.07,27.19,6.883,549
05.01.2020 00:00,0.51,55.79,2.85,2.18,3.79,4.204,554
06.01.2020 00:00,0.65,24.67,3.03,2.13,4.05,2.416,524
07.01.2020 00:00,1.23,80.92,7.21,3.87,9.08,5.816,515
08.01.2020 00:00,3.74,40.47,9.5,8.06,11.04,2.995,488
09.01.2020 00:00,3.12,95.6,11.98,6.66,20.83,9.637,511
10.01.2020 00:00,2.61,40.06,8.05,5.05,13.83,5.911,421
11.01.2020 00:00,7.85,44.29,22.95,14.58,29.36,8.767,495
12.01.2020 00:00,1.59,50.85,7.91,4.82,12.03,6.037,534
13.01.2020 00:00,0.83,106.08,2.99,2.24,3.82,6.473,467
14.01.2020 00:00,0.75,45.74,3.44,2.16,4.5,3.64,408
15.01.2020 00:00,2.74,25.96,12.49,8.31,15.77,4.986,453
16.01.2020 00:00,14.96,62.75,23.93,22.12,25.89,4.378,454
17.01.2020 00:00,4.05,94.49,8.8,7.18,11.62,7.889,466
18.01.2020 00:00,4.7,73.31,12.81,8.82,17.38,6.539,462
19.01.2020 00:00,8.57,34.75,16.98,13.3,20.81,4.365,437
