date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,7.82,17.54,11.74,9.63,12.57,1.741,296
2019-12-10T00:00:00.000Z,5.67,31.56,16.12,14.09,18.19,5.011,395
2019-12-11T00:00:00.000Z,1.86,18.46,5.83,3.92,15.31,5.318,402
2019-12-12T00:00:00.000Z,6.6,16.75,11.93,11.01,13.23,2.167,360
2019-12-13T00:00:00.000Z,5.92,18.48,9.52,8.76,10.72,2.744,414
2019-12-14T00:00:00.000Z,4.84,9.93,7.04,6.4,8.5,1.251,144
2019-12-15T00:00:00.000Z,3.7,16.72,8.99,6.08,10.65,3.299,515
2019-12-16T00:00:00.000Z,3.84,12.02,6.47,5.96,7.32,1.489,260
2019-12-17T00:00:00.000Z,0.8,38.36,6.65,5.22,9.74,4.212,278
2019-12-18T00:00:00.000Z,5.92,31.24,12.7,10.24,21.42,5.94,455
2019-12-19T00:00:00.000Z,0.2,17.26,0.57,0.48,0.71,2.031,489
2019-12-20T00:00:00.000Z,0.55,11.18,2.79,1.17,5.8,2.74,466
2019-12-21T00:00:00.000Z,1.78,24.08,3.95,2.92,10.34,6.32,543
2019-12-22T00:00:00.000Z,15.77,28.21,22.48,20.59,23.87,2.54,553
2019-12-23T00:00:00.000Z,10.16,41.8,18.72,15.32,21.47,4.353,554
2019-12-24T00:00:00.000Z,14.48,35.15,23.55,20.58,28.75,5.542,142
2019-12-25T00:00:00.000Z,5.97,16.44,14.02,13.43,14.45,1.554,153
2019-12-26T00:00:00.000Z,8.65,73.48,16.28,13.68,17.68,4.538,577
2019-12-27T00:00:00.000Z,3.92,19.32,9.39,7.31,11.67,3.138,568
2019-12-28T00:00:00.000Z,1.92,10.97,3.61,2.95,5.2,1.802,576
2019-12-29T00:00:00.000Z,1.7,58.88,5.67,3.22,7.64,4.547,547
2019-12-30T00:00:00.000Z,1.64,65.95,4.65,2.5,5.68,3.845,570
2019-12-31T00:00:00.000Z,2.22,44.24,5.75,3.72,7.26,3.734,544
2020-01-01T00:00:00.000Z,0.2,19.26,1.18,0.8,1.7,2.109,553
2020-01-02T00:00:00.000Z,1.18,12.05,2.12,1.84,2.38,1.002,562
2020-01-03T00:00:00.000Z,1.55,49.04,5.16,3.51,7.8,3.744,545
2020-01-04T00:00:00.000Z,4.15,21.08,11.46,9.5,14.17,3.662,549
2020-01-05T00:00:00.000Z,0.4,28.99,1.22,1.02,1.54,2.382,554
