date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,min,max,median,q1,q3,stdev,count
24.02.2020,1.9,731.2,745.6,-0.6,84,"Ветер, дующий с западо-юго-запада",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,-0.6,,,,,,,0.8,14.4,1.98,1.62,2.37,1.158,518
25.02.2020,1.0,734.3,748.9,0.7,82,"Ветер, дующий с западо-северо-запада",1,,,60%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-1.8,,,,,,,0.46,18.55,1.13,0.89,1.98,1.449,451
26.02.2020,-2.7,737.3,752.2,0.1,70,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-7.5,,,,,,,2.08,11.24,6.62,4.59,8.05,2.123,402
27.02.2020,1.2,734.2,748.6,1.0,96,"Штиль, безветрие",0,,,"90  или более, но не 100%",Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,0.6,,,,,,,1.08,30.0,12.91,10.47,18.8,6.582,537
28.02.2020,2.3,731.0,745.3,0.0,97,"Ветер, дующий с запада",1,,,100%.,Дождь (незамерзающий) неливневый. ,Дождь.,Морось.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,1.9,,,,,,,1.42,40.26,2.65,2.2,3.61,2.87,546
29.02.2020,0.5,736.6,751.2,0.5,78,"Ветер, дующий с западо-юго-запада",2,,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",,-2.9,,,,,,,0.44,6.56,1.48,1.08,1.96,0.781,554
01.03.2020,-3.2,742.9,757.9,1.2,86,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,,-5.2,,,,,,,3.12,10.98,6.16,5.04,7.14,1.522,559
02.03.2020,5.1,742.6,757.2,0.9,67,"Ветер, дующий с западо-юго-запада",2,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,,-0.6,,,,,,,5.4,21.47,8.96,7.43,12.59,2.747,474
03.03.2020,4.4,745.4,760.0,0.4,77,"Ветер, дующий с юга",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,0.7,,,,,,,6.34,32.14,17.73,9.11,20.05,6.982,418
04.03.2020,3.3,745.6,760.3,0.7,95,"Штиль, безветрие",0,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,100-200,,,,2.6,,,,,,,13.54,37.9,19.88,16.64,28.24,6.097,564
05.03.2020,3.5,751.0,765.8,0.2,93,"Ветер, дующий с востоко-юго-востока",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.",100%.,300-600,,,,2.4,,,,,,,5.53,16.89,9.64,7.14,13.26,3.223,551
06.03.2020,4.9,746.9,761.5,0.0,85,"Ветер, дующий с юго-юго-востока",3,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,2.6,,,,,,,7.02,32.04,9.82,9.18,10.65,1.964,557
07.03.2020,6.4,745.5,760.0,0.6,81,"Ветер, дующий с юго-юго-востока",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,3.4,,,,,,,10.19,41.45,15.96,13.99,18.29,2.752,563
08.03.2020,7.7,744.6,759.0,-0.5,87,"Ветер, дующий с юга",1,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,,,,5.7,,,,,,,1.68,32.33,14.33,6.06,23.05,9.203,561
09.03.2020,2.1,749.9,764.7,0.0,93,"Штиль, безветрие",0,,,70 – 80%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",,1.0,,,,,,,3.59,32.39,8.47,6.11,12.65,4.759,554
10.03.2020,7.8,749.5,763.9,-0.3,74,"Ветер, дующий с юго-юго-востока",1,,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,,3.5,,,,,,,2.4,33.24,11.34,5.36,19.03,8.048,560
11.03.2020,4.9,743.2,757.6,-0.7,97,"Штиль, безветрие",0,,,"90  или более, но не 100%",Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.",,4.4,,,,,,,3.4,33.81,21.14,14.18,23.0,8.071,567
12.03.2020,6.0,731.9,746.2,-0.8,84,"Ветер, дующий с западо-юго-запада",2,,,100%.,Дымка. ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,Высокослоистые непросвечивающие или слоисто-дождевые.,,,3.4,,,,,,,0.55,13.79,1.74,1.08,2.84,1.384,505
13.03.2020,6.8,730.3,744.4,-3.0,65,"Ветер, дующий с юго-запада",2,,,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,300-600,Высокослоистые непросвечивающие или слоисто-дождевые.,,,0.5,,,,,,,0.18,6.14,0.76,0.62,1.0,0.701,514
14.03.2020,2.9,735.5,750.0,1.0,79,"Ветер, дующий с западо-юго-запада",1,,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",,-0.5,,,,,,,0.1,6.35,1.61,1.01,2.04,1.232,535
