date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,1.92,21.65,4.2,3.35,7.87,3.846,348
2022-02-02T00:00:00.000Z,2.63,15.88,4.53,3.97,5.93,1.485,511
2022-02-03T00:00:00.000Z,6.72,28.75,13.98,10.64,17.95,4.752,441
2022-02-04T00:00:00.000Z,5.65,25.08,12.58,9.8,16.6,4.349,498
2022-02-05T00:00:00.000Z,5.9,40.29,13.71,10.69,18.76,5.498,544
2022-02-06T00:00:00.000Z,8,57.45,15.7,12.7,18.98,5.62,519
2022-02-07T00:00:00.000Z,7.35,25.75,11.85,10.4,18.42,4.607,526
2022-02-08T00:00:00.000Z,0.7,25.67,3.79,2.33,7.5,6.867,538
2022-02-09T00:00:00.000Z,0.8,9.5,3.22,2.04,5.5,2.084,457
2022-02-10T00:00:00.000Z,1.02,7.65,1.9,1.58,2.67,0.966,501
2022-02-11T00:00:00.000Z,0.98,43.83,2.08,1.75,2.45,1.914,513
2022-02-12T00:00:00.000Z,0.85,9.55,1.5,1.3,1.8,0.536,522
2022-02-13T00:00:00.000Z,1.02,4.18,1.85,1.5,2.42,0.627,541
2022-02-14T00:00:00.000Z,1.5,8.85,5.28,2.4,6.24,1.937,536
2022-02-15T00:00:00.000Z,2.88,11.3,6.65,5.3,7.57,1.693,534
2022-02-16T00:00:00.000Z,3.28,18.82,11.26,6.95,13.4,3.663,530
2022-02-17T00:00:00.000Z,6.93,25.15,13.6,11.52,17.37,3.771,480
2022-02-18T00:00:00.000Z,0.88,20.32,3.15,1.5,13.57,6.198,418
2022-02-19T00:00:00.000Z,2.33,7.07,4.34,3.55,5.85,1.259,95
2022-02-20T00:00:00.000Z,0.9,3.8,1.55,1.3,1.9,0.517,520
2022-02-21T00:00:00.000Z,1.42,26.45,4.21,3.17,8.6,6.088,502
2022-02-22T00:00:00.000Z,1.17,15.13,2.17,1.8,4.95,2.97,534
2022-02-23T00:00:00.000Z,0.65,4.45,1.6,1.23,2.1,0.546,475
2022-02-24T00:00:00.000Z,1.6,5.6,2.8,2.4,3.13,0.546,474
2022-02-25T00:00:00.000Z,2.78,17.52,6.8,4.65,8.34,2.411,405
2022-02-26T00:00:00.000Z,1.25,9.57,5,2.6,6.95,2.325,431
2022-02-27T00:00:00.000Z,0.93,6.1,1.92,1.7,2.33,0.614,302
2022-02-28T00:00:00.000Z,1.23,5.9,3.15,2.49,3.92,0.941,493
2022-03-01T00:00:00.000Z,1.7,7.18,3.75,3.15,4.75,1.052,511
2022-03-02T00:00:00.000Z,2.22,6.9,3.89,3.42,4.65,0.906,432
2022-03-03T00:00:00.000Z,3,9.52,5.28,4.47,6.5,1.481,335
2022-03-04T00:00:00.000Z,0.9,12.88,3.83,1.83,5.65,2.717,299
2022-03-05T00:00:00.000Z,0.93,3.97,2.33,1.88,2.83,0.658,452
2022-03-06T00:00:00.000Z,1.1,5.47,1.77,1.55,3.15,0.941,505
2022-03-07T00:00:00.000Z,1.1,40.7,2.2,1.7,3.85,2.224,482
2022-03-08T00:00:00.000Z,1.6,5.25,3.42,2.78,4.03,0.825,473
2022-03-09T00:00:00.000Z,0.82,4.09,1.98,1.69,2.29,0.474,333
2022-03-10T00:00:00.000Z,0.98,4.47,1.95,1.66,2.22,0.442,421
2022-03-11T00:00:00.000Z,1.5,7.07,3,2.44,3.83,0.933,392
2022-03-12T00:00:00.000Z,2.17,8.9,4.18,3.3,5.45,1.551,211
2022-03-13T00:00:00.000Z,1.88,7.03,4.22,3.4,5.03,1.006,374
2022-03-14T00:00:00.000Z,0.7,10.27,4.93,2.4,5.42,2.056,141
2022-03-15T00:00:00.000Z,0.35,4.47,1.7,0.93,2.38,0.985,98
2022-03-16T00:00:00.000Z,1.85,7.32,3.97,3.65,4.4,0.937,103
2022-03-17T00:00:00.000Z,1.58,5.57,3.72,2.7,4.13,0.83,276
2022-03-18T00:00:00.000Z,2.58,6.03,4.5,4.09,4.88,0.625,392
2022-03-19T00:00:00.000Z,2.54,7.72,4.97,3.92,5.68,1.092,465
2022-03-20T00:00:00.000Z,1.2,10.05,3.15,2.4,5.72,2.021,429
2022-03-21T00:00:00.000Z,2,7.45,3.38,2.9,4.13,0.938,292
2022-03-22T00:00:00.000Z,1.05,5.75,3.01,2.1,3.51,0.876,496
2022-03-23T00:00:00.000Z,2.4,10.35,4.05,3.3,5.07,1.165,447
2022-03-24T00:00:00.000Z,4,17.55,7.24,5.96,8.14,1.649,308
