date,min,max,median,q1,q3,stdev,count
01.02.2022 00:00,1.92,21.65,4.2,3.35,7.87,3.846,348
02.02.2022 00:00,2.63,15.88,4.53,3.97,5.93,1.485,511
03.02.2022 00:00,6.72,28.75,13.98,10.64,17.95,4.752,441
04.02.2022 00:00,5.65,25.08,12.58,9.8,16.6,4.349,498
05.02.2022 00:00,5.9,40.29,13.71,10.69,18.76,5.498,544
06.02.2022 00:00,8,57.45,15.7,12.7,18.98,5.62,519
07.02.2022 00:00,7.35,25.75,11.85,10.4,18.42,4.607,526
08.02.2022 00:00,0.7,25.67,3.79,2.33,7.5,6.867,538
09.02.2022 00:00,0.8,9.5,3.22,2.04,5.5,2.084,457
10.02.2022 00:00,1.02,7.65,1.9,1.58,2.67,0.966,501
11.02.2022 00:00,0.98,43.83,2.08,1.75,2.45,1.914,513
12.02.2022 00:00,0.85,9.55,1.5,1.3,1.8,0.536,522
13.02.2022 00:00,1.02,4.18,1.85,1.5,2.42,0.627,541
14.02.2022 00:00,1.5,8.85,5.28,2.4,6.24,1.937,536
15.02.2022 00:00,2.88,11.3,6.65,5.3,7.57,1.693,534
16.02.2022 00:00,3.28,18.82,11.26,6.95,13.4,3.663,530
17.02.2022 00:00,6.93,25.15,13.6,11.52,17.37,3.771,480
18.02.2022 00:00,0.88,20.32,3.15,1.5,13.57,6.198,418
19.02.2022 00:00,2.33,7.07,4.34,3.55,5.85,1.259,95
20.02.2022 00:00,0.9,3.8,1.55,1.3,1.9,0.517,520
21.02.2022 00:00,1.42,26.45,4.21,3.17,8.6,6.088,502
22.02.2022 00:00,1.17,15.13,2.17,1.8,4.95,2.97,534
23.02.2022 00:00,0.65,4.45,1.6,1.23,2.1,0.546,475
24.02.2022 00:00,1.6,5.6,2.8,2.4,3.13,0.546,474
25.02.2022 00:00,2.78,17.52,6.8,4.65,8.34,2.411,405
26.02.2022 00:00,1.25,9.57,5,2.6,6.95,2.325,431
27.02.2022 00:00,0.93,6.1,1.92,1.7,2.33,0.614,302
28.02.2022 00:00,1.23,5.9,3.15,2.49,3.92,0.941,493
01.03.2022 00:00,1.7,7.18,3.75,3.15,4.75,1.052,511
02.03.2022 00:00,2.22,6.9,3.89,3.42,4.65,0.906,432
03.03.2022 00:00,3,9.52,5.28,4.47,6.5,1.481,335
04.03.2022 00:00,0.9,12.88,3.83,1.83,5.65,2.717,299
05.03.2022 00:00,0.93,3.97,2.33,1.88,2.83,0.658,452
06.03.2022 00:00,1.1,5.47,1.77,1.55,3.15,0.941,505
07.03.2022 00:00,1.1,40.7,2.2,1.7,3.85,2.224,482
08.03.2022 00:00,1.6,5.25,3.42,2.78,4.03,0.825,473
09.03.2022 00:00,0.82,4.09,1.98,1.69,2.29,0.474,333
10.03.2022 00:00,0.98,4.47,1.95,1.66,2.22,0.442,421
11.03.2022 00:00,1.5,7.07,3,2.44,3.83,0.933,392
12.03.2022 00:00,2.17,8.9,4.18,3.3,5.45,1.551,211
13.03.2022 00:00,1.88,7.03,4.22,3.4,5.03,1.006,374
14.03.2022 00:00,0.7,10.27,4.93,2.4,5.42,2.056,141
15.03.2022 00:00,0.35,4.47,1.7,0.93,2.38,0.985,98
16.03.2022 00:00,1.85,7.32,3.97,3.65,4.4,0.937,103
17.03.2022 00:00,1.58,5.57,3.72,2.7,4.13,0.83,276
18.03.2022 00:00,2.58,6.03,4.5,4.09,4.88,0.625,392
19.03.2022 00:00,2.54,7.72,4.97,3.92,5.68,1.092,465
20.03.2022 00:00,1.2,10.05,3.15,2.4,5.72,2.021,429
21.03.2022 00:00,2,7.45,3.38,2.9,4.13,0.938,292
22.03.2022 00:00,1.05,5.75,3.01,2.1,3.51,0.876,496
23.03.2022 00:00,2.4,10.35,4.05,3.3,5.07,1.165,447
24.03.2022 00:00,4,17.55,7.24,5.96,8.14,1.649,308
25.03.2022 00:00,4.95,17.7,8,7.32,9.88,2.245,405
26.03.2022 00:00,0.52,13.15,1.67,1.14,6.75,3.518,441
27.03.2022 00:00,0.43,2.63,0.98,0.8,1.1,0.245,502
28.03.2022 00:00,0.52,12.7,1.7,1.25,3.75,1.823,534
29.03.2022 00:00,0.8,7.9,1.83,1.4,3.53,1.394,489
30.03.2022 00:00,1,10.95,2.31,1.5,3.6,1.201,530
31.03.2022 00:00,1.7,26.17,4.7,2.65,12.41,5.697,421
01.04.2022 00:00,1.8,13.73,3.89,2.58,6.2,2.817,388
02.04.2022 00:00,1.9,7.15,3.57,2.9,4.25,0.959,400
03.04.2022 00:00,1.45,18.55,2.52,2.25,2.88,0.852,520
04.04.2022 00:00,1.2,5.95,2.5,1.98,3.22,0.986,510
05.04.2022 00:00,1.98,20.88,3.66,2.8,12.98,5.567,522
06.04.2022 00:00,0.56,15.35,1.05,0.9,1.58,3.378,366
07.04.2022 00:00,5.47,10.57,7.5,6.71,8.52,1.285,101
08.04.2022 00:00,3.53,9.94,6.13,5.35,7.25,1.31,506
09.04.2022 00:00,1.88,8.48,4.05,3.3,4.9,1.208,510
10.04.2022 00:00,1.1,18.89,4.82,2.78,7.18,4.429,468
11.04.2022 00:00,1.1,13.25,4.4,2.24,6.67,2.69,397
12.04.2022 00:00,1.52,19.82,12.5,6.11,15.15,5.197,349
13.04.2022 00:00,1.02,8.69,4.84,2.1,7,2.399,481
14.04.2022 00:00,0.9,5.25,1.5,1.3,1.8,0.484,523
15.04.2022 00:00,1.3,20.38,3.59,2.6,5.38,3.535,510
16.04.2022 00:00,0.98,24.67,1.7,1.5,2.02,5.385,486
17.04.2022 00:00,0.7,2.35,1.3,1.14,1.45,0.24,409
18.04.2022 00:00,0.93,7.53,2.04,1.6,2.74,0.815,308
19.04.2022 00:00,1.2,5.68,2.4,2.04,2.8,0.612,406
20.04.2022 00:00,1.12,2.92,1.5,1.4,1.64,0.247,105
21.04.2022 00:00,1.08,19,2.74,2.2,3.85,4.586,146
22.04.2022 00:00,4.93,20.35,10.7,7.43,13.05,3.279,263
23.04.2022 00:00,4.3,22.4,10.23,7.84,15.38,4.738,376
24.04.2022 00:00,5.25,21.42,10.27,8.27,12.7,3.821,342
25.04.2022 00:00,3.17,18.75,8.38,5.55,11.73,3.683,291
26.04.2022 00:00,1.7,21.35,15.63,9.35,18.48,6.301,117
27.04.2022 00:00,1.2,3.5,1.88,1.6,2.4,0.502,221
28.04.2022 00:00,1.3,8.15,2.29,1.92,2.9,1.401,468
29.04.2022 00:00,1.3,13.7,2.62,1.8,5.32,3.182,470
30.04.2022 00:00,0.98,6.4,2.14,1.5,2.91,1.055,460
01.05.2022 00:00,1.6,17.77,3.34,2.27,3.65,1.523,154
03.05.2022 00:00,1.38,3.47,2.15,2,2.4,0.337,124
04.05.2022 00:00,0.9,9.77,1.48,1.3,1.7,0.746,145
05.05.2022 00:00,1,7.47,1.88,1.5,2.91,0.946,321
06.05.2022 00:00,2.04,4.9,3.15,2.8,3.6,0.545,469
07.05.2022 00:00,2.04,6.35,2.97,2.6,3.4,0.759,348
08.05.2022 00:00,1.3,8.02,5.43,2.27,6.22,1.973,373
09.05.2022 00:00,0.8,3.05,1.6,1.33,1.98,0.453,219
10.05.2022 00:00,0.75,2.02,1.41,1.27,1.6,0.257,96
11.05.2022 00:00,1.08,7,2.1,1.42,2.85,1.046,343
