date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,7.69,18.6,13.89,10.23,14.9,2.543,301
2019-12-10T00:00:00.000Z,7.88,25.88,18.91,13.5,20.55,4.85,387
2019-12-11T00:00:00.000Z,2.12,20.34,9.22,5.45,16.62,5.559,423
2019-12-12T00:00:00.000Z,10.19,21.66,14.25,12.84,16.73,2.825,491
2019-12-13T00:00:00.000Z,5.14,24.33,12.79,10.92,15.19,3.607,558
2019-12-14T00:00:00.000Z,7.58,17.1,11.75,10.55,12.93,1.823,396
2019-12-15T00:00:00.000Z,2.17,23.56,10.68,7.94,14.07,5.195,564
2019-12-16T00:00:00.000Z,4.84,12.08,7.18,6.76,8.39,1.204,285
2019-12-17T00:00:00.000Z,0.82,19.73,7.37,5.04,10.81,3.738,285
2019-12-18T00:00:00.000Z,5.78,27.64,11.69,9.19,18.07,6.128,465
2019-12-19T00:00:00.000Z,0.35,10.55,0.7,0.57,0.84,1.713,547
2019-12-20T00:00:00.000Z,0.6,6.3,2.25,1.28,3.97,1.471,581
2019-12-21T00:00:00.000Z,2.48,19.87,5.2,3.6,12.51,5.581,569
2019-12-22T00:00:00.000Z,17.17,40.61,20.71,19.51,25.58,3.531,579
2019-12-23T00:00:00.000Z,9.36,29.14,19.36,14.72,22.79,4.719,582
2019-12-24T00:00:00.000Z,10.86,31.02,20.79,16.88,23.56,4.376,581
2019-12-25T00:00:00.000Z,11.5,25.96,18.27,15.36,21.41,3.496,582
2019-12-26T00:00:00.000Z,15.92,75.02,23.57,20.37,27.37,5.539,580
2019-12-27T00:00:00.000Z,6.18,28.86,16.18,11.08,21.25,5.808,582
2019-12-28T00:00:00.000Z,2.27,19.27,5.42,4.41,6.53,4.053,584
2019-12-29T00:00:00.000Z,3.22,16.51,7.62,5.39,9.72,2.842,587
2019-12-30T00:00:00.000Z,1.07,9.11,4.72,2.04,6.39,2.213,579
2019-12-31T00:00:00.000Z,2.86,31.28,6.78,4.3,8.11,5.201,571
2020-01-01T00:00:00.000Z,0.45,13.99,1.42,0.92,2.31,1.595,576
2020-01-02T00:00:00.000Z,1.3,5.36,2.1,1.89,2.29,0.364,564
2020-01-03T00:00:00.000Z,1.82,12.05,5.36,3.2,6.62,2.083,547
2020-01-04T00:00:00.000Z,3.99,22.3,13.07,10.31,16.17,4.21,552
2020-01-05T00:00:00.000Z,0.37,28.54,1.38,1.15,1.71,1.798,557
2020-01-06T00:00:00.000Z,0.72,7.92,2.23,1.22,3.4,1.159,524
2020-01-07T00:00:00.000Z,0.79,6.28,3.74,1.41,5.15,1.746,521
2020-01-08T00:00:00.000Z,3.25,11.48,5.44,4.8,7.08,1.794,510
2020-01-09T00:00:00.000Z,1.23,13.47,6.44,2.35,10.36,3.922,526
2020-01-10T00:00:00.000Z,1.13,10.11,3.8,1.92,6.9,2.515,428
2020-01-11T00:00:00.000Z,3.84,17.23,9.13,5.4,10.64,3.369,428
2020-01-12T00:00:00.000Z,1,8.46,2.99,1.78,5.18,1.783,551
2020-01-14T00:00:00.000Z,1.67,3.26,2.25,2.11,2.49,0.283,97
2020-01-15T00:00:00.000Z,1.94,17.82,8.1,3.69,11.54,4.183,461
2020-01-16T00:00:00.000Z,11.28,23.48,17.48,16.23,19.23,2.24,471
2020-01-17T00:00:00.000Z,2.04,16.94,3.24,2.77,4.74,2.172,466
2020-01-18T00:00:00.000Z,1.66,11.61,6.98,4.12,8.81,2.794,487
