date,min,max,median,q1,q3,stdev,count
09.12.2019 00:00,7.69,18.6,13.89,10.23,14.9,2.543,301
10.12.2019 00:00,7.88,25.88,18.91,13.5,20.55,4.85,387
11.12.2019 00:00,2.12,20.34,9.22,5.45,16.62,5.559,423
12.12.2019 00:00,10.19,21.66,14.25,12.84,16.73,2.825,491
13.12.2019 00:00,5.14,24.33,12.79,10.92,15.19,3.607,558
14.12.2019 00:00,7.58,17.1,11.75,10.55,12.93,1.823,396
15.12.2019 00:00,2.17,23.56,10.68,7.94,14.07,5.195,564
16.12.2019 00:00,4.84,12.08,7.18,6.76,8.39,1.204,285
17.12.2019 00:00,0.82,19.73,7.37,5.04,10.81,3.738,285
18.12.2019 00:00,5.78,27.64,11.69,9.19,18.07,6.128,465
19.12.2019 00:00,0.35,10.55,0.7,0.57,0.84,1.713,547
20.12.2019 00:00,0.6,6.3,2.25,1.28,3.97,1.471,581
21.12.2019 00:00,2.48,19.87,5.2,3.6,12.51,5.581,569
22.12.2019 00:00,17.17,40.61,20.71,19.51,25.58,3.531,579
23.12.2019 00:00,9.36,29.14,19.36,14.72,22.79,4.719,582
24.12.2019 00:00,10.86,31.02,20.79,16.88,23.56,4.376,581
25.12.2019 00:00,11.5,25.96,18.27,15.36,21.41,3.496,582
26.12.2019 00:00,15.92,75.02,23.57,20.37,27.37,5.539,580
27.12.2019 00:00,6.18,28.86,16.18,11.08,21.25,5.808,582
28.12.2019 00:00,2.27,19.27,5.42,4.41,6.53,4.053,584
29.12.2019 00:00,3.22,16.51,7.62,5.39,9.72,2.842,587
30.12.2019 00:00,1.07,9.11,4.72,2.04,6.39,2.213,579
31.12.2019 00:00,2.86,31.28,6.78,4.3,8.11,5.201,571
01.01.2020 00:00,0.45,13.99,1.42,0.92,2.31,1.595,576
02.01.2020 00:00,1.3,5.36,2.1,1.89,2.29,0.364,564
03.01.2020 00:00,1.82,12.05,5.36,3.2,6.62,2.083,547
04.01.2020 00:00,3.99,22.3,13.07,10.31,16.17,4.21,552
05.01.2020 00:00,0.37,28.54,1.38,1.15,1.71,1.798,557
06.01.2020 00:00,0.72,7.92,2.23,1.22,3.4,1.159,524
07.01.2020 00:00,0.79,6.28,3.74,1.41,5.15,1.746,521
08.01.2020 00:00,3.25,11.48,5.44,4.8,7.08,1.794,510
09.01.2020 00:00,1.23,13.47,6.44,2.35,10.36,3.922,526
10.01.2020 00:00,1.13,10.11,3.8,1.92,6.9,2.515,428
11.01.2020 00:00,3.84,17.23,9.13,5.4,10.64,3.369,428
12.01.2020 00:00,1,8.46,2.99,1.78,5.18,1.783,551
14.01.2020 00:00,1.67,3.26,2.25,2.11,2.49,0.283,97
15.01.2020 00:00,1.94,17.82,8.1,3.69,11.54,4.183,461
16.01.2020 00:00,11.28,23.48,17.48,16.23,19.23,2.24,471
17.01.2020 00:00,2.04,16.94,3.24,2.77,4.74,2.172,466
18.01.2020 00:00,1.66,11.61,6.98,4.12,8.81,2.794,487
19.01.2020 00:00,6.9,31.76,11.06,9.26,11.86,1.993,466
20.01.2020 00:00,0.6,9.27,1.59,1.26,3.14,2.21,358
21.01.2020 00:00,0.42,5.27,1.26,0.74,1.74,1.022,460
22.01.2020 00:00,0.6,1.06,0.78,0.68,0.94,0.138,14
23.01.2020 00:00,0.81,6.02,1.14,1.04,1.27,0.555,84
24.01.2020 00:00,0.49,6.99,2.34,1.15,3.04,1.104,271
25.01.2020 00:00,0.35,5.58,0.75,0.62,1.08,0.541,297
26.01.2020 00:00,0.25,6.88,0.95,0.72,1.58,0.784,301
27.01.2020 00:00,0.3,3.7,1.32,0.66,2.14,0.808,256
28.01.2020 00:00,2.12,34.17,5.07,3.64,12.56,5.813,274
29.01.2020 00:00,17.26,44.54,25.77,21.45,30.16,6.291,311
30.01.2020 00:00,4.15,19.98,8.75,6.08,14.42,4.574,291
31.01.2020 00:00,6.99,26.59,14.88,10.07,16.8,4.572,287
01.02.2020 00:00,9.41,28.01,16.54,13.16,18.89,3.673,325
02.02.2020 00:00,1.54,21.01,5.65,2.31,11.09,6.239,334
