date,min,max,median,q1,q3,stdev,count
2020-03-19T00:00:00.000Z,38.81,65.53,41.62,40.39,42.84,5.564,21
2020-03-20T00:00:00.000Z,1.83,43.55,3.66,2.92,10.27,8.749,336
2020-03-21T00:00:00.000Z,0.97,11.86,4.21,3.54,4.92,1.071,473
2020-03-22T00:00:00.000Z,1.43,11.8,2.96,2.6,3.38,0.942,1075
2020-03-23T00:00:00.000Z,1.75,8.13,3.5,2.94,4.05,1.058,253
2020-03-24T00:00:00.000Z,3.01,8.68,4.82,4.18,5.72,1.15,282
2021-01-20T00:00:00.000Z,0.25,2.5,0.82,0.49,1.24,0.621,52
2021-01-21T00:00:00.000Z,0.2,39.72,14.43,4.72,25.5,11.172,243
2021-01-22T00:00:00.000Z,26.05,114.95,49.46,40.35,62.83,18.088,254
2021-01-23T00:00:00.000Z,25.48,136.75,58.42,51.29,69.55,16.487,261
2021-01-24T00:00:00.000Z,15.15,112.2,33.1,27.08,41.24,12.926,277
2021-01-25T00:00:00.000Z,8.13,28.45,14.93,11.99,20.49,5.237,237
2021-01-26T00:00:00.000Z,7.6,47.85,17.38,12.69,22.63,9.568,249
2021-01-27T00:00:00.000Z,1.48,14.88,4.7,3.42,6.4,2.729,230
2021-01-28T00:00:00.000Z,7.7,46.28,16.5,12.26,21.35,6.34,268
2021-01-29T00:00:00.000Z,3.03,40.04,8.82,6.67,12.54,7.62,212
2021-01-30T00:00:00.000Z,3.2,20.48,10.32,6.95,13.8,3.9,247
2021-01-31T00:00:00.000Z,1.6,30.05,10.93,5.19,16.47,6.823,256
2021-02-01T00:00:00.000Z,2.13,12.5,5.13,3.79,7,2.432,181
2021-02-02T00:00:00.000Z,5.9,38.15,17.38,11.95,21.67,6.423,238
2021-02-03T00:00:00.000Z,7.97,41.4,22.03,17.63,26.45,6.731,138
2021-02-04T00:00:00.000Z,1.45,39.85,24.02,9.35,29.63,10.687,263
2021-02-05T00:00:00.000Z,1.02,20.52,6.59,4.2,8.9,3.44,230
2021-02-06T00:00:00.000Z,0.56,17.27,3.75,2.35,5.7,2.824,242
2021-02-07T00:00:00.000Z,0.4,23.67,3.8,2.12,5.98,3.328,240
2021-02-08T00:00:00.000Z,0.32,33.97,5.07,2.92,7.5,4.501,259
2021-02-09T00:00:00.000Z,1.35,29.35,9.57,6.43,15.02,6.274,239
2021-02-10T00:00:00.000Z,1.38,19.7,5.67,3.95,7.32,3.006,242
2021-02-11T00:00:00.000Z,1.17,21.67,8.85,5.77,11.89,4.332,217
2021-02-12T00:00:00.000Z,0.6,19.63,4.84,3.2,6.3,2.826,258
2021-02-13T00:00:00.000Z,0.6,21.95,3.13,1.83,4.68,2.813,249
2021-02-14T00:00:00.000Z,0.3,16.1,1.6,0.98,2.83,1.881,219
2021-02-15T00:00:00.000Z,0.2,24.65,3.42,1.75,4.84,2.853,237
2021-02-16T00:00:00.000Z,1.02,13.55,3.51,2.6,4.95,2.012,226
2021-02-17T00:00:00.000Z,1.58,24.52,7.12,4.71,10.7,4.614,220
2021-02-18T00:00:00.000Z,0.56,13.9,5.3,3.55,7.45,2.696,259
2021-02-19T00:00:00.000Z,0.98,15.48,4.32,3.14,5.68,2.304,221
2021-02-20T00:00:00.000Z,1.9,25.6,10.78,7.82,16.1,5.553,246
2021-02-21T00:00:00.000Z,11.38,69.9,25.38,19.27,31.52,11.935,255
2021-02-22T00:00:00.000Z,0.3,20.5,8,4.2,11.86,4.551,220
2021-02-23T00:00:00.000Z,0.3,19.14,2.78,1.48,4.97,2.936,232
2021-02-24T00:00:00.000Z,1.98,22.25,6.18,4.59,8.6,3.035,235
2021-02-25T00:00:00.000Z,3.7,66.55,17.85,8.98,28.4,13.952,231
2021-02-26T00:00:00.000Z,1.58,104.18,14.38,4.63,63.14,30.863,221
2021-02-27T00:00:00.000Z,0.77,12.7,4.22,2.38,5.93,2.515,250
2021-02-28T00:00:00.000Z,1.17,31.02,7.23,3.83,10.81,4.81,228
2021-03-01T00:00:00.000Z,1.2,27.35,3.54,2.4,7.5,4.467,234
2021-03-02T00:00:00.000Z,0.6,10.25,2.72,2.02,3.75,1.54,247
2021-03-03T00:00:00.000Z,0.4,9.15,2.58,1.65,3.75,1.599,227
2021-03-04T00:00:00.000Z,0.7,12.35,3,2.12,4.4,1.979,229
2021-03-05T00:00:00.000Z,0.98,11.93,3.25,2.29,4.68,1.796,248
2021-03-06T00:00:00.000Z,1,18.57,4.25,3,6.05,2.681,237
2021-03-07T00:00:00.000Z,0.4,13.38,2.84,1.83,4.82,2.413,252
2021-03-08T00:00:00.000Z,0.4,12.65,3.2,1.73,4.72,2.093,238
2021-03-09T00:00:00.000Z,1.58,22.92,6.32,4.58,8.18,3.186,240
