date,min,max,median,q1,q3,stdev,count
09.12.2019 00:00,16.53,51.68,27.49,22.12,30.32,6.763,199
10.12.2019 00:00,17.42,97.63,55.33,35.54,63.92,20.065,395
11.12.2019 00:00,5.25,58.39,17.5,10.78,42.1,16.093,409
12.12.2019 00:00,16.23,60.64,33.58,29.66,38.65,8.418,477
13.12.2019 00:00,11.85,42.24,23.39,20.14,26.92,5.64,526
14.12.2019 00:00,12.95,41.52,22.08,20.18,25.51,5.851,377
15.12.2019 00:00,5.17,63.7,28.68,17.01,39.57,15.605,517
16.12.2019 00:00,9.35,18.07,14.95,13.84,15.86,1.785,185
17.12.2019 00:00,3.03,41.22,17.78,12.14,27.08,9.104,215
18.12.2019 00:00,17.23,75.31,27.78,24,41.39,14.944,292
19.12.2019 00:00,0.75,21.38,3.62,2.38,5.09,3.739,363
20.12.2019 00:00,1.32,100.9,11.75,6.04,16.1,9.074,523
21.12.2019 00:00,5.48,61.4,15.34,11.71,37.39,15.523,544
22.12.2019 00:00,48.3,153.6,72.53,60.29,87.85,21.232,557
23.12.2019 00:00,27.22,119.98,57.18,40.84,76.19,22.553,563
24.12.2019 00:00,17.82,164.52,53.8,39.06,83.74,30.916,580
25.12.2019 00:00,28.76,91.23,52.86,46.05,61.1,10.916,582
26.12.2019 00:00,35.92,220.57,68.97,52.66,121.56,42.525,584
27.12.2019 00:00,15.52,78.48,40.32,28.87,53.5,14.605,564
28.12.2019 00:00,5.45,48.57,11.42,8.59,15.36,10.733,580
29.12.2019 00:00,5.15,38.9,15.45,9.93,19.59,6.414,581
30.12.2019 00:00,3.42,36.82,13.26,6.95,16.36,5.214,573
31.12.2019 00:00,5.67,118.91,14.68,9.55,18.38,11.173,558
01.01.2020 00:00,0.62,36,3.96,2.46,6.74,4.022,550
02.01.2020 00:00,3.24,17.75,6.25,5.5,7.1,1.597,557
03.01.2020 00:00,3.45,30.34,12.17,7.55,19.21,6.334,544
04.01.2020 00:00,9.43,64.36,33.65,28.22,42.61,11.739,546
05.01.2020 00:00,0.53,10.48,3.93,2.71,4.9,1.869,556
06.01.2020 00:00,1.58,10.09,4.17,3.09,5.47,1.669,520
07.01.2020 00:00,1.98,19.77,4.82,3.2,8.3,2.904,330
08.01.2020 00:00,6.51,21.08,13.43,10.16,16.23,3.484,334
09.01.2020 00:00,5.22,47.8,15.42,9.49,27.46,11.259,509
10.01.2020 00:00,4.51,31.45,12.78,8.76,21.04,6.411,415
11.01.2020 00:00,11.84,59,27.81,16.95,37.59,11.702,505
12.01.2020 00:00,3.04,25.48,9.64,5.91,12.06,4.718,543
13.01.2020 00:00,1.86,7.7,4.34,3.37,5.28,1.204,470
14.01.2020 00:00,1.34,12.78,4.44,3.1,6.34,2.111,429
15.01.2020 00:00,3.42,32.64,15.45,8.46,24.56,8.58,454
16.01.2020 00:00,21.16,46.11,36.54,33.27,39.74,4.648,466
17.01.2020 00:00,7.18,23.05,12.1,10.51,14.05,2.799,465
18.01.2020 00:00,6.84,28.38,15.22,12.02,19.12,4.605,495
19.01.2020 00:00,14.71,42.73,24.72,19.03,29,5.939,460
20.01.2020 00:00,1.85,20.38,5.09,3.61,7.86,4.552,355
21.01.2020 00:00,0.45,16.73,3.88,2.33,5.15,2.993,451
22.01.2020 00:00,3.38,6.1,4.79,4,5.3,0.834,10
23.01.2020 00:00,1.95,6.53,3.4,2.99,3.96,0.823,81
24.01.2020 00:00,0.82,13.48,5.68,3.92,7.74,2.523,272
25.01.2020 00:00,0.45,7.48,2.6,1.37,3.67,1.441,297
26.01.2020 00:00,0.45,16.02,3.84,2.27,6.12,2.642,306
27.01.2020 00:00,0.3,12.15,3.14,1.56,5.24,2.315,249
28.01.2020 00:00,4.08,116.78,9.64,7.95,24.66,28.83,273
29.01.2020 00:00,37.65,133.24,82.84,70.12,106.51,22.758,309
30.01.2020 00:00,6.32,42.78,17.55,12.18,26.74,8.763,287
31.01.2020 00:00,10.54,78.29,28.55,22.21,33.58,9.632,287
01.02.2020 00:00,26.28,61.78,36.03,32.95,40.42,6.752,320
02.02.2020 00:00,3.26,63.74,14.26,6.7,32.36,18.235,317
03.02.2020 00:00,0.41,11.54,3.2,1.82,5.03,2.096,315
04.02.2020 00:00,0.5,10.01,2.48,1.64,3.24,1.293,251
05.02.2020 00:00,1.63,11.17,4.01,2.97,5.19,1.894,232
06.02.2020 00:00,0.98,11.7,4.18,2.83,5.62,2.035,229
07.02.2020 00:00,1.18,7.92,3.3,2.72,4.16,1.199,211
08.02.2020 00:00,3.1,33.84,9.98,6.84,16.87,6.153,183
09.02.2020 00:00,3.97,17.66,10.34,6.77,12.62,3.36,344
10.02.2020 00:00,5.68,46.4,13.14,10.18,16.11,5.818,363
11.02.2020 00:00,4.4,24.93,12.14,9.35,15,4.444,334
12.02.2020 00:00,7.2,66.42,21.46,17.73,29.47,14.904,363
13.02.2020 00:00,12.08,54.34,17.12,15.55,20.84,7.614,359
14.02.2020 00:00,3.86,69.56,16.07,10.23,55.31,22.417,375
15.02.2020 00:00,4.84,24.08,11.18,8.71,15.84,4.21,301
16.02.2020 00:00,9.27,31.85,14.96,13.38,21.35,5.645,376
17.02.2020 00:00,7.78,28.26,12.39,10.74,17.72,5.048,344
18.02.2020 00:00,8.24,131.32,19.2,11.77,25.84,9.978,302
19.02.2020 00:00,3.44,19.2,7.48,6.2,9.96,3.343,441
20.02.2020 00:00,5.85,25,12.45,9.15,16.22,4.291,488
21.02.2020 00:00,5.28,41.81,20.05,14.99,25.16,6.893,412
22.02.2020 00:00,7.62,38.47,14.33,12.28,22.71,7.378,422
23.02.2020 00:00,4.94,41.65,9.52,7.7,13.29,5.639,443
24.02.2020 00:00,2.31,14.94,9.35,7.64,10.86,2.682,503
25.02.2020 00:00,2.64,25.26,7.12,5.41,10.11,3.483,453
26.02.2020 00:00,6.43,48.83,17.05,13.82,20.72,6.597,389
27.02.2020 00:00,2.22,103.42,38.67,23.87,61.22,25.264,540
28.02.2020 00:00,3.14,15.18,6.64,5.68,8.03,1.877,543
29.02.2020 00:00,1.67,74.28,4.8,3.74,6.22,4.684,560
01.03.2020 00:00,5.78,20.29,12.07,9.42,14.3,2.961,562
02.03.2020 00:00,6.09,40.04,18.42,13.68,26.74,8.319,449
03.03.2020 00:00,15.33,233.56,41.51,22.6,55.61,37.629,416
04.03.2020 00:00,18.78,351.8,60.66,44.78,92.42,44.125,569
05.03.2020 00:00,10.56,47.6,19.32,14.54,32.28,10.054,567
06.03.2020 00:00,15.12,1999.9,23.7,21.5,26.05,104.77,531
07.03.2020 00:00,18.32,94.42,41.36,35.78,53.43,16.641,574
08.03.2020 00:00,3,88.74,26.79,9.64,47,23.041,572
09.03.2020 00:00,6.32,36.44,17.26,13.47,22.93,6.188,569
10.03.2020 00:00,2.38,198.12,15.35,8.82,23.63,25.442,568
11.03.2020 00:00,6.92,112.53,54.3,23.7,63.44,24.951,571
12.03.2020 00:00,2.59,32.06,7.74,5.91,9.02,2.883,489
13.03.2020 00:00,1.06,13.7,4.32,3.33,5.7,2.085,504
14.03.2020 00:00,0,78.26,8.18,5.18,10.59,6.156,530
15.03.2020 00:00,1.9,8.25,4.53,3.76,5.55,1.189,285
16.03.2020 00:00,1.25,18.89,4.47,3.54,5.72,1.892,576
17.03.2020 00:00,4,33.44,10.16,8.06,21.75,7.875,575
18.03.2020 00:00,3.79,21.89,9.88,7.5,15.72,4.866,498
19.03.2020 00:00,2.1,17.61,8.06,5.47,11.92,3.9,541
20.03.2020 00:00,1.15,33.04,4.62,3.64,5.97,3.605,458
21.03.2020 00:00,0.78,9.11,4.36,3.45,5.39,1.567,423
22.03.2020 00:00,1.33,17.51,4.01,3.29,4.86,1.647,446
23.03.2020 00:00,2.5,22.68,5.74,4.63,7.4,2.228,428
24.03.2020 00:00,2.62,28.03,7.07,5.79,9.44,4.331,432
25.03.2020 00:00,6.68,24.18,13.02,10.41,15.47,3.217,429
26.03.2020 00:00,5.2,55.21,13.62,10.1,17.67,9.94,411
27.03.2020 00:00,12.05,104,26.08,21.87,36.06,19.043,359
28.03.2020 00:00,8.8,38.9,28.42,17.11,31.14,7.948,177
29.03.2020 00:00,4.34,57.26,28.98,18.27,40,13.354,335
30.03.2020 00:00,0.87,7.63,2.29,1.9,2.98,1.13,134
31.03.2020 00:00,0.9,10.13,3.66,2.63,4.83,1.558,311
01.04.2020 00:00,2.54,12.57,4.61,3.94,5.32,1.203,190
02.04.2020 00:00,3.01,21.5,7.3,5.69,8.63,2.175,400
03.04.2020 00:00,7.3,23.38,12.37,10.53,16.57,3.649,417
04.04.2020 00:00,1.74,15.39,5.07,3.9,6.95,2.197,496
05.04.2020 00:00,1.08,12.76,4.36,3.11,6.66,2.341,531
06.04.2020 00:00,1.1,11.25,3.46,2.68,4.46,1.535,469
07.04.2020 00:00,3.28,39.94,8.99,6.68,12.06,4.855,339
14.04.2020 00:00,0.85,12.92,4.4,2.97,5.61,2.134,406
15.04.2020 00:00,0.68,9.49,4.23,2.84,5.51,1.741,520
16.04.2020 00:00,0.32,10.58,1.98,1.3,3.73,1.942,518
17.04.2020 00:00,0.62,6.32,2.59,1.94,3.26,0.934,564
18.04.2020 00:00,0.55,14.08,2.17,1.46,4.22,1.977,576
19.04.2020 00:00,0.89,240.05,4.13,2.52,11.48,21.607,558
20.04.2020 00:00,1.11,21.45,5.45,3.29,8.61,4.689,508
21.04.2020 00:00,0.86,11.51,4.08,3.09,5.24,1.693,382
22.04.2020 00:00,1.66,27.58,5.19,4.01,6.43,2.705,422
23.04.2020 00:00,1.7,953.55,5.47,4.09,7.32,63.098,472
24.04.2020 00:00,3.6,260.79,8.93,7.53,12.51,19.081,541
25.04.2020 00:00,2.12,21.49,4.8,4.05,5.72,1.577,502
26.04.2020 00:00,2.12,454.7,6.84,4.59,11.22,48.713,541
27.04.2020 00:00,2.65,22.58,5.92,4.48,13.13,5.312,400
28.04.2020 00:00,1.02,349.98,3.94,2.64,7.66,30.904,401
29.04.2020 00:00,0.74,11.48,3.48,2.22,5.91,2.535,511
30.04.2020 00:00,1.2,755.65,3.65,2.41,6.99,80.822,520
01.05.2020 00:00,2.24,17.39,6.78,4.5,9.11,2.848,517
02.05.2020 00:00,1.62,18.34,6.13,3.58,11.02,4.374,540
03.05.2020 00:00,3.43,18.64,7.58,6.35,8.69,1.757,567
