date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,12.32,31.2,17.92,14.34,19.39,3.877,199
2019-12-10T00:00:00.000Z,11.32,37.95,25.05,21.96,28.95,6.235,395
2019-12-11T00:00:00.000Z,2.6,25.06,9.76,5.98,19.87,6.838,409
2019-12-12T00:00:00.000Z,10.1,30.67,18.02,16.23,20.89,3.497,477
2019-12-13T00:00:00.000Z,7.65,22.02,13.36,11.72,14.88,2.861,526
2019-12-14T00:00:00.000Z,7.44,20.02,12.51,10.88,14.15,2.682,377
2019-12-15T00:00:00.000Z,3.94,25.63,14.8,9.97,18.98,5.602,517
2019-12-16T00:00:00.000Z,6.6,12.3,9.4,8.77,10.14,1.099,185
2019-12-17T00:00:00.000Z,1.4,23.15,11.58,7.74,15.11,5.417,215
2019-12-18T00:00:00.000Z,11.52,37.01,15.39,13.78,20.74,6.953,292
2019-12-19T00:00:00.000Z,0.3,13.19,0.64,0.55,0.82,2.512,363
2019-12-20T00:00:00.000Z,0.75,39.03,3.32,1.54,5.94,3.988,523
2019-12-21T00:00:00.000Z,2.35,28.65,6.25,4.08,17.17,7.624,544
2019-12-22T00:00:00.000Z,22.2,41.54,29.47,26.21,33.77,4.357,557
2019-12-23T00:00:00.000Z,16.19,43.18,28.39,20.81,33.36,7.145,563
2019-12-24T00:00:00.000Z,13.96,52.72,27.65,21.54,33.15,7.96,580
2019-12-25T00:00:00.000Z,14.66,31.1,23.69,21.38,25.94,3.6,582
2019-12-26T00:00:00.000Z,15.85,37.47,25.59,21.54,33.08,5.921,584
2019-12-27T00:00:00.000Z,8.96,32.22,21.56,14.73,25.78,5.915,564
2019-12-28T00:00:00.000Z,3.45,24.73,6.24,4.68,8.28,5.527,580
2019-12-29T00:00:00.000Z,3.5,24.78,9.15,6.4,11.5,3.941,581
2019-12-30T00:00:00.000Z,2.5,12.12,7.82,3.96,9.27,2.7,573
2019-12-31T00:00:00.000Z,3.55,76.44,9.28,5.8,11.54,7.032,558
2020-01-01T00:00:00.000Z,0.38,16.68,1.6,1.07,3.16,2.363,550
2020-01-02T00:00:00.000Z,1.62,9.5,2.8,2.54,3.16,0.787,557
2020-01-03T00:00:00.000Z,2.1,15.63,6.24,4.01,10.93,3.53,544
2020-01-04T00:00:00.000Z,4.72,33.43,18.43,14.75,23.02,6.097,546
2020-01-05T00:00:00.000Z,0.36,4.92,1.54,1.27,1.94,0.826,556
2020-01-06T00:00:00.000Z,1.06,5.24,2.21,1.54,3.28,1.067,520
2020-01-07T00:00:00.000Z,1.12,12.8,2.09,1.5,4.23,1.55,330
2020-01-08T00:00:00.000Z,4.12,13.42,7.95,5.88,10.32,2.468,334
2020-01-09T00:00:00.000Z,1.67,26.06,7.65,2.5,15.37,7.048,509
2020-01-10T00:00:00.000Z,1.45,11.71,4.26,2.54,8.26,2.933,415
2020-01-11T00:00:00.000Z,4.62,29.49,12.32,6.38,18.82,6.651,505
2020-01-12T00:00:00.000Z,1.5,12.38,4.55,2.86,7.28,2.317,543
2020-01-13T00:00:00.000Z,0.77,4.48,1.74,1.36,3.32,1.061,470
2020-01-14T00:00:00.000Z,0.65,5.9,2.29,1.29,3.1,1.027,429
2020-01-15T00:00:00.000Z,2.19,19,9.77,5.2,15.28,5.156,453
2020-01-16T00:00:00.000Z,12.66,28.3,22.19,20.3,23.82,2.713,466
2020-01-17T00:00:00.000Z,2.22,12.94,3.71,3.2,5.44,2.174,465
2020-01-18T00:00:00.000Z,1.65,16.39,7.02,3.96,9.73,3.556,495
2020-01-19T00:00:00.000Z,8.88,25.46,13.15,10.63,15.1,2.88,460
2020-01-20T00:00:00.000Z,0.98,10.48,2.16,1.6,4.11,2.752,355
2020-01-21T00:00:00.000Z,0.35,5.05,1.42,0.8,2.06,1.137,451
2020-01-22T00:00:00.000Z,0.86,1.3,1,0.98,1.25,0.154,10
2020-01-23T00:00:00.000Z,0.96,1.74,1.28,1.14,1.41,0.184,81
2020-01-24T00:00:00.000Z,0.71,7.34,3.14,1.54,3.76,1.356,272
2020-01-25T00:00:00.000Z,0.36,2.54,0.88,0.65,1.17,0.455,297
2020-01-26T00:00:00.000Z,0.35,8.01,1.09,0.74,1.99,1.186,306
2020-01-27T00:00:00.000Z,0.25,3.33,1.38,0.72,1.83,0.75,249
2020-01-28T00:00:00.000Z,2.29,32.11,4.62,3.73,12.99,8.53,273
2020-01-29T00:00:00.000Z,16.28,47.2,30.94,28.09,35.25,5.991,309
2020-01-30T00:00:00.000Z,4.22,20.65,9.73,5.9,16.54,5.172,287
2020-01-31T00:00:00.000Z,7.72,38.74,18.42,14.18,20.7,5.416,287
2020-02-01T00:00:00.000Z,14.24,31.94,20.34,18.2,21.33,2.753,320
2020-02-02T00:00:00.000Z,1.75,25.09,8.52,3.77,17.52,7.509,317
2020-02-03T00:00:00.000Z,0.25,5.14,1.3,0.9,2.46,0.979,315
2020-02-04T00:00:00.000Z,0.44,4.43,0.95,0.69,1.28,0.481,251
2020-02-05T00:00:00.000Z,0.84,4.03,1.46,1.21,2,0.644,233
2020-02-06T00:00:00.000Z,0.42,4.82,1.4,0.96,1.76,0.691,229
2020-02-07T00:00:00.000Z,0.7,2.75,1.35,1.02,1.75,0.438,211
2020-02-08T00:00:00.000Z,1.5,16.57,4.32,2.68,7.2,2.697,183
2020-02-09T00:00:00.000Z,2.2,9.25,5.18,3.76,5.98,1.408,344
2020-02-10T00:00:00.000Z,2.86,32.7,7,4.86,9.19,4.265,363
2020-02-11T00:00:00.000Z,2.88,15.63,7.63,6.42,9.69,2.746,334
2020-02-12T00:00:00.000Z,5.25,34.76,12.76,11.05,17.48,7.055,363
2020-02-13T00:00:00.000Z,6.95,24.32,9.72,8.77,11.38,3.451,359
2020-02-14T00:00:00.000Z,1.6,30.34,8.99,3.72,23.89,10.085,375
2020-02-15T00:00:00.000Z,2.15,12.58,5.34,4.01,8.21,2.599,301
2020-02-16T00:00:00.000Z,6.51,20.02,10,8.56,13.18,3.195,376
2020-02-17T00:00:00.000Z,4.2,16.07,7.45,5.78,10.96,3.064,344
2020-02-18T00:00:00.000Z,5.52,67.4,11.73,7.36,16.36,5.72,302
2020-02-19T00:00:00.000Z,1.3,10.64,2.54,2.12,5.74,2.378,441
2020-02-20T00:00:00.000Z,2,10.3,4.3,3.08,6.13,1.959,488
2020-02-21T00:00:00.000Z,3.29,14.14,8.61,6.86,10.74,2.694,412
2020-02-22T00:00:00.000Z,3.96,20.07,7.14,6.1,12.11,4.393,422
2020-02-23T00:00:00.000Z,1.54,18.75,4.29,2.38,8.88,3.968,443
2020-02-24T00:00:00.000Z,0.98,4.88,2.36,1.84,2.7,0.655,503
2020-02-25T00:00:00.000Z,0.85,8.61,1.45,1.22,2.83,0.993,453
2020-02-26T00:00:00.000Z,2.34,30.95,9.34,5.28,12.91,5,389
2020-02-27T00:00:00.000Z,1.56,33.42,16.02,13.61,21.47,7.949,540
2020-02-28T00:00:00.000Z,1.73,7.88,3.54,2.99,4.54,1.058,543
2020-02-29T00:00:00.000Z,0.94,33.95,1.98,1.51,2.88,2.262,560
2020-03-01T00:00:00.000Z,3.78,15.01,7.47,5.76,8.65,1.958,562
2020-03-02T00:00:00.000Z,5.48,23.66,12.86,9.82,18.13,4.87,449
2020-03-03T00:00:00.000Z,9.56,38.65,26.5,14.75,31.28,9.146,416
2020-03-04T00:00:00.000Z,10.26,43.1,27.78,22.56,31.43,6.723,569
2020-03-05T00:00:00.000Z,7.01,25.98,11.58,9.23,18.55,5.207,567
2020-03-06T00:00:00.000Z,10.1,426.03,14.6,13.26,15.7,21.882,531
2020-03-07T00:00:00.000Z,11.94,33.61,23.63,18.16,25.92,5.135,574
2020-03-08T00:00:00.000Z,1.88,43.74,12.92,4.63,30.11,13.148,572
2020-03-09T00:00:00.000Z,4.84,18.07,9.46,7.29,12.49,3.329,569
2020-03-10T00:00:00.000Z,1.8,110.31,8.36,5.62,14.76,14.825,568
2020-03-11T00:00:00.000Z,4.65,48.22,29.08,14.15,32.5,11.418,571
2020-03-12T00:00:00.000Z,0.9,14.62,2.12,1.62,3.6,1.906,489
2020-03-13T00:00:00.000Z,0.42,6.18,1.1,0.92,1.52,0.918,504
2020-03-14T00:00:00.000Z,0,33.28,2.17,1.45,2.76,2.141,530
2020-03-15T00:00:00.000Z,1.05,3.1,2.08,1.77,2.41,0.43,285
2020-03-16T00:00:00.000Z,0.8,7.66,1.75,1.38,2.54,0.865,576
2020-03-17T00:00:00.000Z,1.99,14.07,5.34,4.09,9.94,3.678,575
2020-03-18T00:00:00.000Z,2.25,12.08,5.15,3.2,9.78,3.122,499
2020-03-19T00:00:00.000Z,0.52,9.66,1.85,1.25,6.85,2.934,541
2020-03-20T00:00:00.000Z,0.68,16.5,1.24,1.08,1.48,1.562,458
